equipe,player_id,player_name,player_country_code,age,positions,matches_played,starts,min,gls,ast,non_pen_gls,xg,non_pen_xg,xag,pk_made,pk_att,yellow_cards,red_cards,carries_prog,passes_prog,sh,sot,pct_sot,gls_per_sh,gls_per_sot,avg_sh_dist,fk_sh,npxg_per_sh,gls_xg_diff,non_pen_gls_xg_diff,pass_cmp,pass_att,pct_pass_cmp,pass_ttl_dist,pass_cmp_s,pass_att_s,pct_pass_cmp_s,pass_cmp_m,pass_att_m,pct_pass_cmp_m,pass_cmp_l,pass_att_l,pct_pass_cmp_l,xa,ast_xag_diff,pass_prog,pass_prog_ttl_dist,key_passes,pass_fthird,pass_opp_box,cross_opp_box,pass_live,pass_dead,pass_fk,through_balls,switches,crosses,pass_offside,pass_blocked,throw_ins,ck,ck_in_swinger,ck_out_swinger,ck_straight,ttl_sca,pass_live_sca,pass_dead_sca,take_on_sca,sh_sca,fld_sca,def_sca,gca,pass_live_gca,pass_dead_gca,take_on_gca,sh_gca,fld_gca,def_gca,tkl,tkl_won,tkl_def_third,tkl_mid_third,tkl_att_third,tkl_drb,tkl_drb_att,pct_tkl_drb_suc,blocks,sh_blocked,int,clearances,def_error,touches,touch_def_box,touch_def_third,touch_mid_third,touch_fthird,touch_opp_box,touch_live,take_on_att,take_on_suc,pct_take_on_suc,take_on_tkld,pct_take_on_tkld,carries,ttl_carries_dist,ttl_carries_prog_dist,carries_fthird,carries_opp_box,carries_miscontrolled,carries_dispossessed,pass_recvd,pass_prog_rcvd,pct_squad_min,avg_min_starter,subs,avg_min_sub,unused_sub,team_gls_on_pitch,team_gls_ag_on_pitch,per90_on_off,team_xg_on_pitch,team_xg_ag_on_pitch,per90_x_on_off,second_yellow_cards,fls_com,fls_drawn,offside,pk_won,pk_conceded,og,ball_recov,air_dual_won,air_dual_lost,pct_air_dual_won
Saint,b49729cb,Gautier Larsonneur,FRA,27.0,GK,34,34,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0,1185.0,66.0,20526.0,152.0,152.0,100.0,414.0,423.0,97.9,214.0,606.0,35.3,0.0,0.0,0.0,15608.0,1.0,11.0,0.0,0.0,866.0,317.0,112.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,25.0,1.0,1303.0,1082.0,1292.0,12.0,0.0,0.0,1303.0,0.0,0.0,0.0,0.0,0.0,712.0,3299.0,2029.0,0.0,0.0,0.0,0.0,608.0,0.0,100.0,90.0,0,0.0,0,39.0,77.0,0.0,36.4,74.3,-1.15,0.0,0.0,13.0,0.0,0.0,0.0,0.0,41.0,7.0,4.0,63.6
Angers,c3e4ecbb,Jordan Lefort,FRA,30.0,DF,34,34,3060.0,0.0,1.0,0.0,0.6,0.6,1.1,0.0,0.0,3.0,0.0,6.0,89.0,9.0,1.0,11.1,0.0,0.0,12.9,1.0,0.06,-0.6,-0.6,1446.0,1749.0,82.7,27893.0,522.0,564.0,92.6,769.0,829.0,92.8,148.0,307.0,48.2,1.2,-0.1,89.0,12926.0,10.0,89.0,11.0,4.0,1649.0,90.0,80.0,5.0,9.0,12.0,10.0,21.0,5.0,0.0,0.0,0.0,0.0,26.0,23.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,30.0,42.0,9.0,1.0,30.0,44.0,68.2,56.0,37.0,32.0,206.0,3.0,2144.0,335.0,1304.0,765.0,87.0,19.0,2144.0,17.0,8.0,47.1,7.0,41.2,1196.0,6463.0,4191.0,6.0,0.0,16.0,2.0,1420.0,13.0,100.0,90.0,0,0.0,0,32.0,53.0,0.0,36.0,57.8,0.0,0.0,14.0,15.0,1.0,0.0,1.0,0.0,110.0,40.0,28.0,58.8
Marseille,625c144a,Gerónimo Rulli,ARG,32.0,GK,34,34,3060.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.0,1204.0,87.9,22890.0,313.0,315.0,99.4,534.0,543.0,98.3,196.0,329.0,59.6,0.0,-0.1,1.0,14976.0,2.0,7.0,0.0,0.0,1013.0,189.0,84.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,4.0,0.0,0.0,4.0,8.0,50.0,1.0,0.0,1.0,25.0,3.0,1300.0,1008.0,1285.0,15.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,789.0,3335.0,1782.0,0.0,0.0,1.0,0.0,758.0,0.0,100.0,90.0,0,0.0,0,74.0,47.0,0.0,63.8,45.2,0.0,0.0,2.0,11.0,0.0,0.0,2.0,0.0,37.0,7.0,1.0,87.5
Lille,b3d76d84,Lucas Chevalier,FRA,22.0,GK,34,34,3060.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.0,1083.0,79.6,21173.0,209.0,209.0,100.0,437.0,445.0,98.2,212.0,422.0,50.2,0.2,-0.9,1.0,14738.0,3.0,13.0,0.0,0.0,907.0,173.0,61.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,13.0,4.0,1150.0,914.0,1144.0,7.0,0.0,0.0,1150.0,0.0,0.0,0.0,0.0,0.0,736.0,3821.0,2320.0,0.0,0.0,0.0,0.0,645.0,0.0,100.0,90.0,0,0.0,0,52.0,36.0,0.0,54.7,42.5,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,70.0,6.0,0.0,100.0
Nice,db87a2c4,Marcin Bułka,POL,24.0,GK,34,34,3060.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.0,1110.0,80.9,21944.0,208.0,211.0,98.6,448.0,465.0,96.3,236.0,426.0,55.4,0.1,-0.2,2.0,15371.0,1.0,12.0,0.0,0.0,878.0,232.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,6.0,1196.0,957.0,1187.0,9.0,1.0,1.0,1196.0,1.0,0.0,0.0,1.0,100.0,702.0,3363.0,2185.0,0.0,0.0,2.0,0.0,605.0,0.0,100.0,90.0,0,0.0,0,66.0,41.0,0.0,61.6,40.2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,62.0,8.0,0.0,100.0
Reims,eedea60b,Yehvann Diouf,SEN,24.0,GK,34,34,3060.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,11.8,0.0,0.06,-0.1,-0.1,848.0,1219.0,69.6,23052.0,159.0,161.0,98.8,417.0,429.0,97.2,268.0,617.0,43.4,0.0,0.0,1.0,16792.0,0.0,12.0,0.0,0.0,874.0,339.0,119.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,1.0,22.0,4.0,1324.0,1062.0,1304.0,19.0,1.0,1.0,1324.0,2.0,2.0,100.0,0.0,0.0,684.0,3495.0,2108.0,0.0,0.0,2.0,0.0,575.0,0.0,100.0,90.0,0,0.0,0,33.0,47.0,0.0,37.4,57.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,45.0,6.0,0.0,100.0
Lyon,5dbd461a,Lucas Perri,BRA,26.0,GK,33,33,2970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,1040.0,76.8,19720.0,173.0,173.0,100.0,451.0,460.0,98.0,174.0,400.0,43.5,0.1,0.0,0.0,12981.0,1.0,20.0,0.0,0.0,831.0,205.0,53.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,22.0,1.0,1123.0,937.0,1113.0,10.0,0.0,0.0,1123.0,0.0,0.0,0.0,0.0,0.0,696.0,3170.0,2124.0,0.0,0.0,1.0,2.0,576.0,0.0,97.1,90.0,0,0.0,0,64.0,44.0,1.61,59.5,44.1,1.31,0.0,1.0,4.0,0.0,0.0,0.0,0.0,29.0,12.0,0.0,100.0
Angers,9d420dad,Yahia Fofana,CIV,23.0,GK,33,33,2970.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,1014.0,68.7,20260.0,93.0,93.0,100.0,361.0,367.0,98.4,242.0,550.0,44.0,0.0,-0.1,0.0,14214.0,1.0,11.0,0.0,0.0,654.0,358.0,97.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,25.0,2.0,1110.0,981.0,1104.0,6.0,0.0,0.0,1110.0,2.0,2.0,100.0,0.0,0.0,555.0,3389.0,2288.0,0.0,0.0,0.0,0.0,366.0,0.0,97.1,90.0,0,0.0,1,32.0,51.0,1.42,35.6,53.9,2.91,0.0,0.0,11.0,0.0,0.0,0.0,0.0,36.0,6.0,3.0,66.7
Brest,3d214e5f,Marco Bizot,NED,33.0,GK,32,32,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,1121.0,69.1,24224.0,90.0,91.0,98.9,377.0,380.0,99.2,306.0,645.0,47.4,0.0,0.0,1.0,18621.0,0.0,8.0,0.0,0.0,818.0,300.0,84.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,33.0,0.0,1204.0,1035.0,1197.0,7.0,0.0,0.0,1204.0,0.0,0.0,0.0,0.0,0.0,658.0,3269.0,1538.0,0.0,0.0,2.0,0.0,587.0,0.0,94.1,90.0,0,0.0,0,47.0,54.0,-0.22,42.2,55.3,-0.99,0.0,1.0,5.0,0.0,0.0,0.0,0.0,34.0,5.0,0.0,100.0
Auxerre,51c83a90,Donovan Léon,GUF,31.0,GK,32,32,2880.0,0.0,2.0,0.0,0.0,0.0,0.4,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,1132.0,59.2,22274.0,93.0,94.0,98.9,279.0,283.0,98.6,296.0,750.0,39.5,0.1,1.6,1.0,17974.0,3.0,32.0,2.0,0.0,810.0,320.0,124.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,9.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,26.0,1.0,1231.0,1033.0,1225.0,5.0,1.0,0.0,1231.0,2.0,2.0,100.0,0.0,0.0,708.0,3787.0,2184.0,0.0,0.0,0.0,0.0,521.0,0.0,94.1,90.0,0,0.0,0,47.0,48.0,0.97,38.8,54.3,0.6,0.0,1.0,4.0,0.0,0.0,1.0,0.0,33.0,7.0,1.0,87.5
