equipe,player_name,player_id,player_country_code,positions,age,per90_gls,per90_ast,per90_non_pen_gls,per90_xg,per90_xag,per90_non_pen_xg,pct_sot,per90_sh,per90_sot,gls_per_sh,npxg_per_sh,pct_pass_cmp,pct_pass_cmp_s,pct_pass_cmp_m,pct_pass_cmp_l,per90_sca,per90_gca,pct_tkl_drb_suc,pct_take_on_suc,pct_take_on_tkld,pct_squad_min,per90_plus_minus,per90_on_off,per90_x_plus_minus,per90_x_on_off,pct_air_dual_won,gls_and_ast_per90,pk_made_per90,pk_att_per90,yellow_cards_per90,red_cards_per90,carries_prog_per90,passes_prog_per90,fk_sh_per90,gls_xg_diff_per90,non_pen_gls_xg_diff_per90,pass_cmp_per90,pass_att_per90,pass_ttl_dist_per90,pass_cmp_s_per90,pass_att_s_per90,pass_cmp_m_per90,pass_att_m_per90,pass_cmp_l_per90,pass_att_l_per90,xa_per90,ast_xag_diff_per90,pass_prog_per90,pass_prog_ttl_dist_per90,key_passes_per90,pass_fthird_per90,pass_opp_box_per90,cross_opp_box_per90,pass_live_per90,pass_dead_per90,pass_fk_per90,through_balls_per90,switches_per90,crosses_per90,pass_offside_per90,pass_blocked_per90,throw_ins_per90,ck_per90,ck_in_swinger_per90,ck_out_swinger_per90,ck_straight_per90,ttl_sca_per90,pass_live_sca_per90,pass_dead_sca_per90,take_on_sca_per90,sh_sca_per90,fld_sca_per90,def_sca_per90,pass_live_gca_per90,pass_dead_gca_per90,take_on_gca_per90,sh_gca_per90,fld_gca_per90,def_gca_per90,tkl_per90,tkl_won_per90,tkl_def_third_per90,tkl_mid_third_per90,tkl_att_third_per90,tkl_drb_per90,tkl_drb_att_per90,blocks_per90,sh_blocked_per90,int_per90,tkl_plus_int_per90,clearances_per90,def_error_per90,touches_per90,touch_def_box_per90,touch_def_third_per90,touch_mid_third_per90,touch_fthird_per90,touch_opp_box_per90,touch_live_per90,take_on_att_per90,take_on_suc_per90,take_on_tkld_per90,carries_per90,ttl_carries_dist_per90,ttl_carries_prog_dist_per90,carries_fthird_per90,carries_opp_box_per90,carries_miscontrolled_per90,carries_dispossessed_per90,pass_recvd_per90,pass_prog_rcvd_per90,team_gls_on_pitch_per90,team_gls_ag_on_pitch_per90,team_xg_on_pitch_per90,team_xg_ag_on_pitch_per90,second_yellow_cards_per90,fls_com_per90,fls_drawn_per90,offside_per90,pk_won_per90,pk_conceded_per90,og_per90,ball_recov_per90,air_dual_won_per90,air_dual_lost_per90
Saint,Gautier Larsonneur,b49729cb,FRA,GK,27.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.08,0.09,66.0,100.0,97.9,35.3,0.09,0.03,0.0,46.0,49.6,100.0,-1.12,0.0,-1.15,-1.15,63.6,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,23.0,34.85294117647059,603.7058823529412,4.470588235294118,4.470588235294118,12.176470588235293,12.441176470588236,6.294117647058823,17.823529411764707,0.0,0.0,0.0,459.05882352941177,0.029411764705882353,0.3235294117647059,0.0,0.0,25.470588235294116,9.323529411764707,3.2941176470588234,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353,0.0,0.0,0.029411764705882353,0.7352941176470589,0.029411764705882353,38.3235294117647,31.823529411764707,38.0,0.35294117647058826,0.0,0.0,38.3235294117647,0.0,0.0,0.0,20.941176470588236,97.02941176470588,59.6764705882353,0.0,0.0,0.0,0.0,17.88235294117647,0.0,1.1470588235294117,2.264705882352941,1.0705882352941176,2.1852941176470586,0.0,0.0,0.38235294117647056,0.0,0.0,0.0,0.0,1.2058823529411764,0.20588235294117646,0.11764705882352941
Angers,Jordan Lefort,c3e4ecbb,FRA,DF,30.0,0.0,0.03,0.0,0.02,0.03,0.02,11.1,0.26,0.03,0.0,0.06,82.7,92.6,92.8,48.2,0.76,0.03,68.2,47.1,41.2,100.0,-0.62,0.0,-0.64,0.0,58.8,0.029411764705882353,0.0,0.0,0.08823529411764706,0.0,0.17647058823529413,2.6176470588235294,0.029411764705882353,-0.01764705882352941,-0.01764705882352941,42.529411764705884,51.44117647058823,820.3823529411765,15.352941176470589,16.58823529411765,22.61764705882353,24.38235294117647,4.352941176470588,9.029411764705882,0.03529411764705882,-0.0029411764705882353,2.6176470588235294,380.1764705882353,0.29411764705882354,2.6176470588235294,0.3235294117647059,0.11764705882352941,48.5,2.6470588235294117,2.3529411764705883,0.14705882352941177,0.2647058823529412,0.35294117647058826,0.29411764705882354,0.6176470588235294,0.14705882352941177,0.0,0.0,0.0,0.0,0.7647058823529411,0.6764705882352942,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,1.5294117647058822,0.8823529411764706,1.2352941176470589,0.2647058823529412,0.029411764705882353,0.8823529411764706,1.2941176470588236,1.6470588235294117,1.088235294117647,0.9411764705882353,2.4705882352941178,6.0588235294117645,0.08823529411764706,63.05882352941177,9.852941176470589,38.35294117647059,22.5,2.5588235294117645,0.5588235294117647,63.05882352941177,0.5,0.23529411764705882,0.20588235294117646,35.1764705882353,190.08823529411765,123.26470588235294,0.17647058823529413,0.0,0.47058823529411764,0.058823529411764705,41.76470588235294,0.38235294117647056,0.9411764705882353,1.5588235294117647,1.0588235294117647,1.7,0.0,0.4117647058823529,0.4411764705882353,0.029411764705882353,0.0,0.029411764705882353,0.0,3.235294117647059,1.1764705882352942,0.8235294117647058
Marseille,Gerónimo Rulli,625c144a,ARG,GK,32.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.08,0.09,87.9,99.4,98.3,59.6,0.24,0.06,50.0,46.0,49.6,100.0,0.79,0.0,0.55,0.0,87.5,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,31.11764705882353,35.411764705882355,673.2352941176471,9.205882352941176,9.264705882352942,15.705882352941176,15.970588235294118,5.764705882352941,9.676470588235293,0.0,-0.0029411764705882353,0.029411764705882353,440.47058823529414,0.058823529411764705,0.20588235294117646,0.0,0.0,29.794117647058822,5.5588235294117645,2.4705882352941178,0.0,0.08823529411764706,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.20588235294117646,0.0,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.11764705882352941,0.08823529411764706,0.11764705882352941,0.0,0.0,0.11764705882352941,0.23529411764705882,0.029411764705882353,0.0,0.029411764705882353,0.14705882352941177,0.7352941176470589,0.08823529411764706,38.23529411764706,29.647058823529413,37.794117647058826,0.4411764705882353,0.0,0.0,38.23529411764706,0.0,0.0,0.0,23.205882352941178,98.08823529411765,52.411764705882355,0.0,0.0,0.029411764705882353,0.0,22.294117647058822,0.0,2.176470588235294,1.3823529411764706,1.8764705882352941,1.3294117647058825,0.0,0.058823529411764705,0.3235294117647059,0.0,0.0,0.058823529411764705,0.0,1.088235294117647,0.20588235294117646,0.029411764705882353
Lille,Lucas Chevalier,b3d76d84,FRA,GK,22.0,0.0,0.0,0.0,0.0,0.03,0.0,34.3,0.0,0.0,0.08,0.09,79.6,100.0,98.2,50.2,0.18,0.03,75.0,46.0,49.6,100.0,0.47,0.0,0.36,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,25.352941176470587,31.852941176470587,622.7352941176471,6.147058823529412,6.147058823529412,12.852941176470589,13.088235294117647,6.235294117647059,12.411764705882353,0.0058823529411764705,-0.026470588235294117,0.029411764705882353,433.47058823529414,0.08823529411764706,0.38235294117647056,0.0,0.0,26.676470588235293,5.088235294117647,1.7941176470588236,0.029411764705882353,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.14705882352941177,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.058823529411764705,0.08823529411764706,0.0,0.0,0.08823529411764706,0.11764705882352941,0.0,0.0,0.0,0.08823529411764706,0.38235294117647056,0.11764705882352941,33.8235294117647,26.88235294117647,33.64705882352941,0.20588235294117646,0.0,0.0,33.8235294117647,0.0,0.0,0.0,21.647058823529413,112.38235294117646,68.23529411764706,0.0,0.0,0.0,0.0,18.970588235294116,0.0,1.5294117647058822,1.0588235294117647,1.6088235294117648,1.25,0.0,0.0,0.20588235294117646,0.0,0.0,0.0,0.0,2.0588235294117645,0.17647058823529413,0.0
Nice,Marcin Bułka,db87a2c4,POL,GK,24.0,0.0,0.0,0.0,0.0,0.01,0.0,34.3,0.0,0.0,0.08,0.09,80.9,98.6,96.3,55.4,0.09,0.03,0.0,0.0,100.0,100.0,0.74,0.0,0.63,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,26.41176470588235,32.64705882352941,645.4117647058823,6.117647058823529,6.205882352941177,13.176470588235293,13.676470588235293,6.9411764705882355,12.529411764705882,0.0029411764705882353,-0.0058823529411764705,0.058823529411764705,452.0882352941176,0.029411764705882353,0.35294117647058826,0.0,0.0,25.823529411764707,6.823529411764706,2.0588235294117645,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.47058823529411764,0.17647058823529413,35.1764705882353,28.147058823529413,34.911764705882355,0.2647058823529412,0.029411764705882353,0.029411764705882353,35.1764705882353,0.029411764705882353,0.0,0.029411764705882353,20.647058823529413,98.91176470588235,64.26470588235294,0.0,0.0,0.058823529411764705,0.0,17.794117647058822,0.0,1.9411764705882353,1.2058823529411764,1.811764705882353,1.1823529411764708,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,1.8235294117647058,0.23529411764705882,0.0
Reims,Yehvann Diouf,eedea60b,SEN,GK,24.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.03,0.03,0.0,0.06,69.6,98.8,97.2,43.4,0.21,0.0,33.3,100.0,0.0,100.0,-0.41,0.0,-0.59,0.0,100.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.0,-0.0029411764705882353,-0.0029411764705882353,24.941176470588236,35.85294117647059,678.0,4.676470588235294,4.735294117647059,12.264705882352942,12.617647058823529,7.882352941176471,18.147058823529413,0.0,0.0,0.029411764705882353,493.88235294117646,0.0,0.35294117647058826,0.0,0.0,25.705882352941178,9.970588235294118,3.5,0.0,0.058823529411764705,0.0,0.17647058823529413,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.20588235294117646,0.17647058823529413,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.0,0.0,0.029411764705882353,0.08823529411764706,0.0,0.0,0.029411764705882353,0.08823529411764706,0.6470588235294118,0.11764705882352941,38.94117647058823,31.235294117647058,38.35294117647059,0.5588235294117647,0.029411764705882353,0.029411764705882353,38.94117647058823,0.058823529411764705,0.058823529411764705,0.0,20.11764705882353,102.79411764705883,62.0,0.0,0.0,0.058823529411764705,0.0,16.91176470588235,0.0,0.9705882352941176,1.3823529411764706,1.1,1.688235294117647,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,1.3235294117647058,0.17647058823529413,0.0
Lyon,Lucas Perri,5dbd461a,BRA,GK,26.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.08,0.09,76.8,100.0,98.0,43.5,0.12,0.0,0.0,46.0,49.6,97.1,0.61,1.61,0.47,1.31,100.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,24.21212121212121,31.515151515151516,597.5757575757576,5.242424242424242,5.242424242424242,13.666666666666666,13.93939393939394,5.2727272727272725,12.121212121212121,0.0030303030303030303,0.0,0.0,393.3636363636364,0.030303030303030304,0.6060606060606061,0.0,0.0,25.181818181818183,6.212121212121212,1.606060606060606,0.0,0.09090909090909091,0.0,0.12121212121212122,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.06060606060606061,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.12121212121212122,0.030303030303030304,0.0,0.0,0.030303030303030304,0.6666666666666666,0.030303030303030304,34.03030303030303,28.393939393939394,33.72727272727273,0.30303030303030304,0.0,0.0,34.03030303030303,0.0,0.0,0.0,21.09090909090909,96.06060606060606,64.36363636363636,0.0,0.0,0.030303030303030304,0.06060606060606061,17.454545454545453,0.0,1.9393939393939394,1.3333333333333333,1.803030303030303,1.3363636363636364,0.0,0.030303030303030304,0.12121212121212122,0.0,0.0,0.0,0.0,0.8787878787878788,0.36363636363636365,0.0
Angers,Yahia Fofana,9d420dad,CIV,GK,23.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.08,0.09,68.7,100.0,98.4,44.0,0.12,0.0,0.0,100.0,0.0,97.1,-0.58,1.42,-0.56,2.91,66.7,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,21.12121212121212,30.727272727272727,613.939393939394,2.8181818181818183,2.8181818181818183,10.93939393939394,11.121212121212121,7.333333333333333,16.666666666666668,0.0,-0.0030303030303030303,0.0,430.72727272727275,0.030303030303030304,0.3333333333333333,0.0,0.0,19.818181818181817,10.848484848484848,2.9393939393939394,0.0,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.030303030303030304,0.7575757575757576,0.06060606060606061,33.63636363636363,29.727272727272727,33.45454545454545,0.18181818181818182,0.0,0.0,33.63636363636363,0.06060606060606061,0.06060606060606061,0.0,16.818181818181817,102.6969696969697,69.33333333333333,0.0,0.0,0.0,0.0,11.090909090909092,0.0,0.9696969696969697,1.5454545454545454,1.0787878787878789,1.6333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0909090909090908,0.18181818181818182,0.09090909090909091
Brest,Marco Bizot,3d214e5f,NED,GK,33.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.08,0.09,69.1,98.9,99.2,47.4,0.06,0.0,50.0,46.0,49.6,94.1,-0.22,-0.22,-0.41,-0.99,100.0,0.0,0.0,0.0,0.125,0.0,0.0,0.03125,0.0,0.0,0.0,24.21875,35.03125,757.0,2.8125,2.84375,11.78125,11.875,9.5625,20.15625,0.0,0.0,0.03125,581.90625,0.0,0.25,0.0,0.0,25.5625,9.375,2.625,0.0,0.0625,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0.0625,0.0,0.0,0.03125,0.0625,0.0,0.0,0.0,0.0625,1.03125,0.0,37.625,32.34375,37.40625,0.21875,0.0,0.0,37.625,0.0,0.0,0.0,20.5625,102.15625,48.0625,0.0,0.0,0.0625,0.0,18.34375,0.0,1.46875,1.6875,1.31875,1.728125,0.0,0.03125,0.15625,0.0,0.0,0.0,0.0,1.0625,0.15625,0.0
Auxerre,Donovan Léon,51c83a90,GUF,GK,31.0,0.0,0.06,0.0,0.0,0.01,0.0,34.3,0.0,0.0,0.08,0.09,59.2,98.9,98.6,39.5,0.37,0.06,0.0,100.0,0.0,94.1,-0.03,0.97,-0.48,0.6,87.5,0.0625,0.0,0.0,0.125,0.0,0.0,0.03125,0.0,0.0,0.0,20.9375,35.375,696.0625,2.90625,2.9375,8.71875,8.84375,9.25,23.4375,0.003125,0.05,0.03125,561.6875,0.09375,1.0,0.0625,0.0,25.3125,10.0,3.875,0.0,0.125,0.0,0.0625,0.0,0.03125,0.0,0.0,0.0,0.0,0.375,0.28125,0.09375,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0625,0.0,0.0,0.0,0.8125,0.03125,38.46875,32.28125,38.28125,0.15625,0.03125,0.0,38.46875,0.0625,0.0625,0.0,22.125,118.34375,68.25,0.0,0.0,0.0,0.0,16.28125,0.0,1.46875,1.5,1.2125,1.696875,0.0,0.03125,0.125,0.0,0.0,0.03125,0.0,1.03125,0.21875,0.03125
