equipe,player_id,player_name,player_country_code,age,positions,matches_played,min,gls,ast,xg,xag,pk_made,pk_att,yellow_cards,red_cards,carries_prog,passes_prog,sh,sot,avg_sh_dist,fk_sh,npxg_per_sh,pass_cmp,pass_att,pass_ttl_dist,pass_cmp_s,pass_att_s,pass_cmp_m,pass_att_m,pass_cmp_l,pass_att_l,xa,pass_prog,pass_prog_ttl_dist,key_passes,pass_fthird,pass_opp_box,cross_opp_box,pass_live,pass_dead,pass_fk,through_balls,switches,crosses,pass_offside,pass_blocked,throw_ins,ck,ck_in_swinger,ck_out_swinger,ck_straight,ttl_sca,pass_live_sca,pass_dead_sca,take_on_sca,sh_sca,fld_sca,def_sca,gca,pass_live_gca,pass_dead_gca,take_on_gca,sh_gca,fld_gca,def_gca,tkl,tkl_won,tkl_def_third,tkl_mid_third,tkl_att_third,tkl_drb,tkl_drb_att,blocks,sh_blocked,int,clearances,def_error,touches,touch_def_box,touch_def_third,touch_mid_third,touch_fthird,touch_opp_box,take_on_att,take_on_suc,take_on_tkld,carries,ttl_carries_dist,ttl_carries_prog_dist,carries_fthird,carries_opp_box,carries_miscontrolled,carries_dispossessed,pass_recvd,pass_prog_rcvd,second_yellow_cards,fls_com,fls_drawn,offside,pk_won,pk_conceded,og,ball_recov,air_dual_won,air_dual_lost
Angers,c3e4ecbb,Jordan Lefort,FRA,30.0,DF,34,3060.0,0.0,1.0,0.6,1.1,0.0,0.0,3.0,0.0,6.0,89.0,9.0,1.0,12.9,1.0,0.06,1446.0,1749.0,27893.0,522.0,564.0,769.0,829.0,148.0,307.0,1.2,89.0,12926.0,10.0,89.0,11.0,4.0,1649.0,90.0,80.0,5.0,9.0,12.0,10.0,21.0,5.0,0.0,0.0,0.0,0.0,26.0,23.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,30.0,42.0,9.0,1.0,30.0,44.0,56.0,37.0,32.0,206.0,3.0,2144.0,335.0,1304.0,765.0,87.0,19.0,17.0,8.0,7.0,1196.0,6463.0,4191.0,6.0,0.0,16.0,2.0,1420.0,13.0,0.0,14.0,15.0,1.0,0.0,1.0,0.0,110.0,40.0,28.0
Strasbourg,dd745366,Andrey Santos,BRA,20.0,MF,32,2855.0,10.0,3.0,5.1,3.3,0.0,0.0,8.0,0.0,29.0,149.0,46.0,16.0,16.2,0.0,0.11,1401.0,1588.0,23008.0,659.0,726.0,647.0,708.0,77.0,96.0,2.0,149.0,7859.0,27.0,141.0,15.0,0.0,1519.0,62.0,61.0,8.0,1.0,0.0,7.0,23.0,1.0,0.0,0.0,0.0,0.0,56.0,47.0,0.0,1.0,1.0,2.0,5.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,110.0,74.0,47.0,51.0,12.0,51.0,87.0,46.0,14.0,32.0,67.0,1.0,1983.0,108.0,634.0,1159.0,213.0,36.0,37.0,18.0,14.0,1015.0,4117.0,2383.0,14.0,3.0,44.0,11.0,1276.0,26.0,0.0,29.0,63.0,0.0,1.0,1.0,0.0,188.0,37.0,24.0
Reims,6b5edd5d,Valentin Atangana Edoa,FRA,18.0,MF,34,2854.0,1.0,0.0,2.5,1.1,0.0,0.0,7.0,0.0,41.0,93.0,33.0,6.0,18.4,0.0,0.08,908.0,1056.0,13649.0,489.0,532.0,374.0,417.0,23.0,49.0,0.7,93.0,3710.0,12.0,66.0,8.0,1.0,1037.0,13.0,11.0,2.0,0.0,17.0,6.0,14.0,1.0,0.0,0.0,0.0,0.0,49.0,33.0,0.0,3.0,5.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,50.0,32.0,30.0,7.0,28.0,38.0,31.0,15.0,37.0,64.0,0.0,1433.0,115.0,457.0,760.0,234.0,54.0,48.0,14.0,29.0,735.0,4761.0,2212.0,35.0,8.0,57.0,23.0,889.0,38.0,0.0,57.0,50.0,8.0,0.0,0.0,0.0,117.0,47.0,34.0
Angers,7978cbf0,Himad Abdelli,ALG,24.0,"MF,FW",32,2842.0,6.0,1.0,6.4,3.2,3.0,4.0,4.0,0.0,107.0,207.0,35.0,8.0,22.6,0.0,0.09,1373.0,1672.0,21646.0,710.0,807.0,531.0,612.0,82.0,151.0,3.7,207.0,6031.0,39.0,171.0,38.0,3.0,1555.0,107.0,41.0,23.0,13.0,44.0,10.0,31.0,15.0,10.0,5.0,2.0,0.0,94.0,80.0,2.0,5.0,1.0,3.0,3.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,48.0,32.0,13.0,20.0,15.0,15.0,48.0,24.0,1.0,26.0,28.0,2.0,1993.0,38.0,293.0,1149.0,597.0,49.0,121.0,57.0,61.0,1183.0,7595.0,4388.0,90.0,17.0,55.0,51.0,1446.0,111.0,0.0,48.0,32.0,3.0,0.0,0.0,0.0,193.0,13.0,20.0
Marseille,58eee997,Mason Greenwood,ENG,22.0,"FW,MF",34,2804.0,21.0,5.0,16.3,5.7,7.0,9.0,3.0,0.0,126.0,157.0,111.0,45.0,19.8,3.0,0.08,1089.0,1389.0,18128.0,555.0,646.0,395.0,475.0,104.0,186.0,7.8,157.0,4250.0,47.0,78.0,70.0,14.0,1313.0,71.0,13.0,13.0,25.0,110.0,5.0,26.0,8.0,43.0,29.0,4.0,0.0,123.0,78.0,13.0,12.0,12.0,7.0,1.0,19.0,15.0,0.0,1.0,2.0,1.0,0.0,35.0,18.0,10.0,14.0,11.0,16.0,39.0,7.0,0.0,12.0,5.0,2.0,1746.0,4.0,107.0,726.0,929.0,151.0,129.0,54.0,66.0,1214.0,7040.0,3609.0,71.0,67.0,63.0,44.0,1451.0,295.0,0.0,24.0,37.0,2.0,2.0,0.0,0.0,88.0,8.0,7.0
Saint,88b4d2e3,Zuriko Davitashvili,GEO,23.0,"FW,MF",33,2778.0,9.0,8.0,8.1,4.7,2.0,2.0,3.0,0.0,95.0,73.0,68.0,24.0,19.4,5.0,0.1,737.0,938.0,10639.0,426.0,485.0,238.0,297.0,36.0,83.0,5.5,73.0,2497.0,50.0,38.0,23.0,4.0,799.0,134.0,40.0,6.0,1.0,85.0,5.0,22.0,16.0,68.0,13.0,34.0,0.0,115.0,55.0,23.0,16.0,13.0,8.0,0.0,15.0,8.0,1.0,4.0,0.0,2.0,0.0,22.0,14.0,9.0,7.0,6.0,15.0,49.0,20.0,0.0,14.0,14.0,0.0,1298.0,17.0,138.0,478.0,710.0,123.0,123.0,46.0,71.0,764.0,5467.0,2388.0,56.0,47.0,74.0,57.0,905.0,224.0,0.0,20.0,40.0,5.0,2.0,0.0,0.0,117.0,14.0,47.0
Le Havre,ac89503b,Gautier Lloris,FRA,29.0,DF,31,2768.0,2.0,1.0,1.2,0.9,0.0,0.0,5.0,0.0,13.0,99.0,11.0,2.0,12.8,0.0,0.11,1317.0,1511.0,25779.0,399.0,436.0,786.0,827.0,118.0,207.0,0.5,99.0,9345.0,5.0,88.0,5.0,1.0,1464.0,42.0,34.0,0.0,6.0,3.0,5.0,10.0,4.0,0.0,0.0,0.0,0.0,21.0,17.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,68.0,43.0,52.0,16.0,0.0,38.0,53.0,33.0,21.0,34.0,192.0,0.0,1885.0,267.0,1018.0,818.0,58.0,21.0,7.0,4.0,3.0,1028.0,4501.0,2369.0,10.0,0.0,13.0,3.0,1240.0,7.0,0.0,31.0,7.0,2.0,0.0,2.0,0.0,100.0,64.0,34.0
Nantes,0e46fa2f,Matthis Abline,FRA,21.0,FW,34,2768.0,9.0,2.0,8.5,3.8,1.0,1.0,3.0,0.0,75.0,48.0,73.0,26.0,15.0,0.0,0.11,351.0,538.0,5145.0,185.0,256.0,119.0,160.0,20.0,38.0,3.4,48.0,976.0,27.0,23.0,15.0,4.0,510.0,26.0,1.0,3.0,4.0,30.0,2.0,27.0,1.0,0.0,0.0,0.0,0.0,61.0,43.0,0.0,8.0,6.0,3.0,1.0,9.0,6.0,0.0,2.0,1.0,0.0,0.0,11.0,5.0,2.0,4.0,5.0,3.0,9.0,15.0,1.0,4.0,36.0,1.0,878.0,34.0,75.0,382.0,438.0,142.0,86.0,35.0,48.0,587.0,3670.0,1743.0,42.0,42.0,92.0,65.0,689.0,169.0,0.0,34.0,53.0,5.0,0.0,0.0,0.0,83.0,64.0,76.0
Lille,1bfb6fef,Bafodé Diakité,FRA,23.0,DF,31,2766.0,4.0,1.0,2.3,0.2,0.0,0.0,8.0,1.0,15.0,90.0,16.0,7.0,8.3,0.0,0.15,2086.0,2239.0,38535.0,706.0,746.0,1216.0,1255.0,145.0,196.0,0.8,90.0,12423.0,3.0,141.0,0.0,0.0,2155.0,82.0,63.0,2.0,5.0,4.0,2.0,19.0,6.0,0.0,0.0,0.0,0.0,19.0,17.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,31.0,18.0,17.0,11.0,3.0,18.0,26.0,30.0,17.0,27.0,99.0,5.0,2475.0,199.0,973.0,1416.0,92.0,21.0,9.0,9.0,0.0,1606.0,7489.0,4516.0,15.0,0.0,13.0,6.0,1891.0,3.0,1.0,44.0,17.0,1.0,0.0,1.0,0.0,139.0,61.0,23.0
Rennes,5d0e0a1f,Adrien Truffert,FRA,22.0,"DF,MF",33,2752.0,2.0,2.0,2.4,3.2,0.0,0.0,3.0,0.0,69.0,104.0,23.0,10.0,19.7,0.0,0.1,1263.0,1601.0,19719.0,669.0,743.0,490.0,620.0,70.0,144.0,4.0,104.0,6114.0,39.0,56.0,39.0,20.0,1312.0,283.0,27.0,1.0,3.0,145.0,6.0,39.0,218.0,38.0,11.0,19.0,0.0,76.0,53.0,12.0,2.0,5.0,3.0,1.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,61.0,36.0,27.0,21.0,13.0,32.0,48.0,44.0,6.0,27.0,56.0,1.0,1906.0,71.0,455.0,791.0,674.0,57.0,44.0,16.0,22.0,971.0,5126.0,2605.0,45.0,15.0,36.0,25.0,1186.0,243.0,0.0,25.0,34.0,4.0,0.0,0.0,0.0,139.0,27.0,27.0
Lyon,00242715,Moussa Niakhate,SEN,28.0,DF,31,2726.0,0.0,0.0,0.1,1.0,0.0,0.0,2.0,0.0,34.0,111.0,2.0,1.0,7.8,0.0,0.06,1688.0,1869.0,29756.0,671.0,706.0,897.0,955.0,97.0,162.0,1.1,111.0,11730.0,7.0,88.0,13.0,3.0,1748.0,119.0,44.0,4.0,6.0,5.0,2.0,14.0,34.0,0.0,0.0,0.0,0.0,21.0,20.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,27.0,37.0,8.0,2.0,24.0,32.0,26.0,17.0,25.0,143.0,3.0,2133.0,277.0,1034.0,1032.0,77.0,7.0,3.0,3.0,0.0,1331.0,7461.0,4792.0,14.0,0.0,9.0,4.0,1510.0,5.0,0.0,34.0,16.0,1.0,0.0,0.0,0.0,119.0,43.0,24.0
