player_name,cluster,per90_gls,per90_ast,carries_prog,pct_take_on_suc,tkl_plus_int,pct_air_dual_won,ball_recov,age
Gautier Larsonneur,2,0.0,0.0,0.0,,1.0,63.6,41.0,27.0
Jordan Lefort,4,0.0,0.03,6.0,47.1,84.0,58.8,110.0,30.0
Gerónimo Rulli,2,0.0,0.0,0.0,,5.0,87.5,37.0,32.0
Lucas Chevalier,2,0.0,0.0,0.0,,3.0,100.0,70.0,22.0
Marcin Bułka,2,0.0,0.0,0.0,0.0,0.0,100.0,62.0,24.0
Yehvann Diouf,2,0.0,0.0,0.0,100.0,3.0,100.0,45.0,24.0
Lucas Perri,2,0.0,0.0,0.0,,1.0,100.0,29.0,26.0
Yahia Fofana,2,0.0,0.0,0.0,100.0,1.0,66.7,36.0,23.0
Marco Bizot,2,0.0,0.0,0.0,,2.0,100.0,34.0,33.0
Donovan Léon,2,0.0,0.06,0.0,100.0,0.0,87.5,33.0,31.0
Andrey Santos,0,0.32,0.09,29.0,48.6,142.0,60.7,188.0,20.0
Valentin Atangana Edoa,0,0.03,0.0,41.0,29.2,106.0,58.0,117.0,18.0
Himad Abdelli,1,0.19,0.03,107.0,47.1,74.0,39.4,193.0,24.0
Mason Greenwood,1,0.67,0.16,126.0,41.9,47.0,53.3,88.0,22.0
Đorđe Petrović,2,0.0,0.0,1.0,100.0,1.0,100.0,58.0,24.0
Zuriko Davitashvili,1,0.29,0.26,95.0,37.4,36.0,23.0,117.0,23.0
Gautier Lloris,4,0.07,0.03,13.0,57.1,102.0,65.3,100.0,29.0
Matthis Abline,1,0.29,0.07,75.0,40.7,15.0,45.7,83.0,21.0
Bafodé Diakité,4,0.13,0.03,15.0,100.0,58.0,72.6,139.0,23.0
Adrien Truffert,3,0.07,0.07,69.0,36.4,88.0,50.0,139.0,22.0
Moussa Niakhate,4,0.0,0.0,34.0,100.0,72.0,64.2,119.0,28.0
Guela Doué,0,0.03,0.07,51.0,65.9,99.0,61.1,162.0,21.0
Alexsandro Ribeiro,4,0.03,0.03,25.0,62.5,59.0,71.9,175.0,24.0
Benjamin Lecomte,2,0.0,0.0,0.0,,0.0,100.0,35.0,33.0
Cristian Cásseres Jr.,0,0.03,0.1,31.0,57.9,138.0,58.5,172.0,24.0
Benjamin André,0,0.0,0.1,29.0,40.9,151.0,53.4,189.0,33.0
Gaëtan Perrin,3,0.33,0.37,83.0,47.2,61.0,18.8,124.0,28.0
Junya Ito,3,0.13,0.1,100.0,42.7,58.0,37.8,135.0,31.0
Aron Dønnum,3,0.07,0.07,94.0,45.2,84.0,41.4,171.0,26.0
Kenny Lala,3,0.1,0.07,58.0,62.5,91.0,38.1,154.0,32.0
