player_name,equipe,positions,cluster,tsne_1,tsne_2,tsne_3,tsne_4
Gautier Larsonneur,Saint,GK,5,-1.5756592081736196,-0.21788348912122849,1.519558140089522,-2.6197450198688226
Jordan Lefort,Angers,DF,0,-0.719525938858966,0.94541758641422,0.7581064525976393,-1.0732939117581786
Gerónimo Rulli,Marseille,GK,5,-1.7768367605702104,0.15199773144498824,1.5666798437031453,-2.2927736621763666
Lucas Chevalier,Lille,GK,5,-1.761098371479818,0.06739147650358306,1.4965771173878786,-2.2927051531855236
Marcin Bułka,Nice,GK,5,-1.9865717314071714,0.022929186530969915,1.7171834701889535,-2.3820123415910213
Yehvann Diouf,Reims,GK,5,-1.3216622516711625,0.10896638615320296,1.3577838115232392,-2.606777887915422
Lucas Perri,Lyon,GK,5,-1.8443185350135975,0.2321947342418955,1.592545406663499,-2.5184323627517577
Yahia Fofana,Angers,GK,5,-1.4733066843845442,0.25149628290022624,1.4092283090764672,-2.780125152979146
Marco Bizot,Brest,GK,5,-1.5377390475195687,-0.15554052258374065,1.4480094923281166,-2.4802196091180297
Donovan Léon,Auxerre,GK,5,-1.4120331166393238,0.11533233171147252,1.3541708944215645,-2.7178316647281933
Andrey Santos,Strasbourg,MF,6,0.7633698190135867,0.6069992835825618,0.5520142665755357,-0.0894374653561446
Valentin Atangana Edoa,Reims,MF,6,0.4019860495296487,-0.18377934015203937,0.8880717873097503,-0.09631623647432302
Himad Abdelli,Angers,"MF,FW",1,0.5566822321076168,0.0658134926799876,-0.5220472806640283,0.8665304737775038
Mason Greenwood,Marseille,"FW,MF",4,0.9137577020914073,-0.802580351515244,-2.1354900454196253,1.1648490683481707
Đorđe Petrović,Strasbourg,GK,5,-1.3766195487894812,0.23277108506530897,1.401052584811974,-2.4215442543857497
Zuriko Davitashvili,Saint,"FW,MF",4,0.719438107266409,-1.4227903058960134,-1.3978967311971038,0.897816012043688
Gautier Lloris,Le Havre,DF,0,-0.7285890229344489,0.9705886446277001,1.2672992523584348,-1.003838716112335
Matthis Abline,Nantes,FW,7,1.488538659177621,-1.3782084152026477,-0.09159986187322543,0.9037777385961212
Bafodé Diakité,Lille,DF,2,-0.942765883295849,2.0210940450662163,0.309606302906952,-0.8208274674018541
Adrien Truffert,Rennes,"DF,MF",3,-0.4616137866138737,-0.323895361030416,-0.542543095452481,0.45523637640534337
Moussa Niakhate,Lyon,DF,2,-0.676578966734629,1.5656958168062247,0.2059732546374764,-0.7888987253509865
Guela Doué,Strasbourg,DF,2,-0.8931617582563246,1.0089116508625566,-0.02437883996063436,-0.05465139481676489
Alexsandro Ribeiro,Lille,DF,2,-0.9771847160809259,1.844358354376135,-0.33625742615403675,-0.6707371114609109
Benjamin Lecomte,Montpellier,GK,5,-1.5047596998166017,-0.20073972032868792,1.3645133709204753,-2.5380073527769262
Cristian Cásseres Jr.,Toulouse,MF,1,0.888396767067607,0.49853847869895884,-0.2691146397890533,0.0724810154783213
Benjamin André,Lille,MF,2,-0.1279025536882816,1.2847155524977754,0.2513579173178387,0.4921031918651256
Gaëtan Perrin,Auxerre,"MF,FW",4,0.4827285504628286,-1.1276719366181953,-1.9770775450708942,0.5531485673159519
Junya Ito,Reims,"FW,MF",4,-0.20715261727130543,-0.8238350583342646,-1.8042808039653937,0.6611874800940879
Aron Dønnum,Toulouse,"DF,MF",3,-0.20053760551645972,-0.4515329092125265,-0.814167350295949,0.5337761374921988
Kenny Lala,Brest,DF,3,-0.9772002750235449,0.184280449000164,-0.6446364077766025,0.027480259478994816
Florent Hanin,Angers,DF,3,-0.9397102012621278,-0.08912090608255802,0.07751649614184476,0.05690965579594754
Pierre Højbjerg,Marseille,MF,2,-0.6510241578561354,1.6196635488655164,-1.4016154147749311,-0.00928455760917857
Mahdi Camara,Brest,"MF,FW",1,0.5965167556318294,-0.22241934215334508,0.37166039512389193,0.3382252060874234
Keito Nakamura,Reims,"FW,MF",7,1.268618191574315,-1.1107825334817978,-0.4254920422155121,0.8386696433606896
Jubal,Auxerre,DF,0,-0.9718238116791331,0.8095547483785879,1.7912073455976747,-1.2516470175288816
Ismaël Doukouré,Strasbourg,"DF,MF",0,-0.9152066111249374,1.9223230879914226,0.8386654547848923,-0.9136470005139541
Léo Pétrot,Saint,DF,3,-0.9186140195584666,-0.28314765136441694,0.6635282804766546,-0.30023318916373065
Jean-Charles Castelletto,Nantes,"DF,MF",0,-0.5762699921877626,1.0130474139716932,0.9817544131343809,-1.5374380307084794
Adrien Thomasson,Lens,MF,1,0.07292754866030574,0.5596918857978402,-0.48752742751946615,0.720740530638398
Luis Henrique,Marseille,"DF,FW",4,0.493304199502419,-0.31876019373896425,-1.1734989727589364,0.6175996398591451
Moses Simon,Nantes,"FW,MF",4,0.45685747071437366,-1.352697055468883,-1.5974355947120396,1.0008014205947202
Charlie Cresswell,Toulouse,DF,0,-0.9038168993482041,1.2607520793401534,1.1809870528817674,-0.8681703810642322
Arnaud Kalimuendo,Rennes,"FW,MF",7,2.1899501255221274,-1.5901849379061093,-0.689832832905736,1.054446692977107
Pierre Ekwah Elimby,Saint,MF,6,0.016764174173315383,0.47364875422820246,0.20520057515087622,-0.47279090274666263
