player_name,positions,equipe,cluster,UMAP_1,UMAP_2,UMAP_3,age
Jordan Lefort,DF,Angers,2,14.566432,9.810942,4.3364706,30.0
Andrey Santos,MF,Strasbourg,1,17.77826,7.2307134,4.855935,20.0
Valentin Atangana Edoa,MF,Reims,1,18.493729,7.7016582,4.936848,18.0
Himad Abdelli,"MF,FW",Angers,4,18.176573,6.276661,3.6805966,24.0
Mason Greenwood,"FW,MF",Marseille,4,18.485327,5.3003182,1.0539836,22.0
Zuriko Davitashvili,"FW,MF",Saint,4,19.02887,6.164304,0.8803614,23.0
Gautier Lloris,DF,Le Havre,3,14.960215,9.743692,4.656247,29.0
Matthis Abline,FW,Nantes,4,20.989386,7.7847767,1.6321763,21.0
Bafodé Diakité,DF,Lille,3,13.5362215,8.133282,4.527286,23.0
Adrien Truffert,"DF,MF",Rennes,4,17.745232,7.5702567,2.3583736,22.0
Moussa Niakhate,DF,Lyon,3,13.912039,8.364356,4.3792176,28.0
Guela Doué,DF,Strasbourg,1,15.2596245,7.791269,3.6796932,21.0
Alexsandro Ribeiro,DF,Lille,3,13.506,7.446962,4.3263006,24.0
Cristian Cásseres Jr.,MF,Toulouse,3,17.466461,7.313201,4.085968,24.0
Benjamin André,MF,Lille,2,16.875225,6.660762,4.7749753,33.0
Gaëtan Perrin,"MF,FW",Auxerre,0,18.144314,6.587411,1.2736174,28.0
Junya Ito,"FW,MF",Reims,2,17.748806,6.4732413,1.4155877,31.0
Aron Dønnum,"DF,MF",Toulouse,0,17.988817,6.8594227,2.2098172,26.0
Kenny Lala,DF,Brest,2,16.8956,7.626625,2.5259252,32.0
Florent Hanin,DF,Angers,2,17.169981,8.530726,2.8516243,34.0
Pierre Højbjerg,MF,Marseille,3,15.487354,5.5646763,4.0771194,28.0
Mahdi Camara,"MF,FW",Brest,0,18.843008,6.984657,3.8456633,26.0
Keito Nakamura,"FW,MF",Reims,4,20.15567,7.186357,1.8396051,24.0
Jubal,DF,Auxerre,2,15.029839,10.536875,4.945206,30.0
Ismaël Doukouré,"DF,MF",Strasbourg,1,14.068963,9.418449,4.349471,21.0
Léo Pétrot,DF,Saint,3,17.271538,9.777144,3.8662326,27.0
Jean-Charles Castelletto,"DF,MF",Nantes,3,14.330967,9.897345,4.552334,29.0
Adrien Thomasson,MF,Lens,2,17.336332,6.1018634,3.95306,30.0
Luis Henrique,"DF,FW",Marseille,4,18.565557,6.068884,2.1685705,22.0
Moses Simon,"FW,MF",Nantes,0,19.292082,5.6898966,1.1961627,29.0
Charlie Cresswell,DF,Toulouse,1,14.383927,10.098691,4.813608,21.0
Arnaud Kalimuendo,"FW,MF",Rennes,4,20.65279,8.206199,1.1187456,22.0
Pierre Ekwah Elimby,MF,Saint,1,16.357164,7.3680544,4.8422875,22.0
Diego Moreira,"DF,MF",Strasbourg,4,18.714336,6.692329,2.824118,19.0
Evann Guessand,"FW,MF",Nice,4,20.282295,6.010812,0.9448691,23.0
Jonathan David,FW,Lille,4,20.622025,8.345456,0.86077714,24.0
Facundo Medina,DF,Lens,3,15.301927,7.2776275,4.3487973,25.0
Sergio Akieme,DF,Reims,3,18.358292,8.965826,3.4067032,26.0
Dilane Bakwa,"MF,DF",Strasbourg,4,18.187275,5.849275,1.2592982,21.0
Mark McKenzie,DF,Toulouse,3,14.862516,9.554653,4.7712593,25.0
Ludovic Ajorque,FW,Brest,0,21.935062,7.9629936,2.2085507,30.0
Clément Akpa,DF,Auxerre,1,15.675986,9.876862,4.8722854,22.0
Adrien Rabiot,MF,Marseille,0,18.260235,6.255766,3.2608085,29.0
Loïc Nego,"DF,FW",Le Havre,2,17.928293,8.87703,3.4280639,33.0
Michael Amir Murillo,DF,Marseille,3,15.664992,7.417244,3.6596863,28.0
Hicham Boudaoui,MF,Nice,4,18.394588,6.8431463,4.2524014,24.0
Brendan Chardonnet,DF,Brest,3,15.030173,10.345138,4.736109,29.0
