player_name,equipe,positions,tsne_1,tsne_2,tsne_3,tsne_4,cluster
Jordan Lefort,Angers,DF,4.2987223,0.6346081,1.0969087,0.5026766,0
Andrey Santos,Strasbourg,MF,0.8036503,0.38813692,0.034078777,-1.8503034,1
Valentin Atangana Edoa,Reims,MF,0.25520378,1.6162491,0.2282855,-1.023757,1
Himad Abdelli,Angers,"MF,FW",-1.0241029,-1.028841,-1.2282674,-0.58854574,1
Mason Greenwood,Marseille,"FW,MF",-3.9558356,-2.7314885,0.06381463,-0.03509763,1
Zuriko Davitashvili,Saint,"FW,MF",-3.815068,-1.4653304,0.7812483,-0.7493701,1
Gautier Lloris,Le Havre,DF,4.0820866,1.2234948,1.0078319,0.95352703,0
Matthis Abline,Nantes,FW,-4.344041,1.1211973,-0.05344379,-1.3296293,1
Bafodé Diakité,Lille,DF,4.9453015,-0.7792463,0.005701324,1.3613212,0
Adrien Truffert,Rennes,"DF,MF",-0.50406235,-0.74829096,0.6825088,1.2326066,0
Moussa Niakhate,Lyon,DF,4.315497,-0.28754038,0.26491487,1.1251006,0
Guela Doué,Strasbourg,DF,2.5385022,-0.8218216,0.0074878135,1.2386047,0
Alexsandro Ribeiro,Lille,DF,4.7315674,-1.5417051,-0.47646144,1.1677663,0
Cristian Cásseres Jr.,Toulouse,MF,0.47551614,0.096929096,0.557136,-2.1476262,1
Benjamin André,Lille,MF,1.5581511,-1.1052449,-1.4260799,-1.7133626,1
Gaëtan Perrin,Auxerre,"MF,FW",-2.965513,-1.8622395,1.7311314,-0.27328295,0
Junya Ito,Reims,"FW,MF",-1.9216912,-2.2979438,1.5398068,0.16440637,0
Aron Dønnum,Toulouse,"DF,MF",-1.2852633,-1.1040974,0.58238024,0.68191093,0
Kenny Lala,Brest,DF,0.96589,-1.1696821,1.3980316,1.0028002,0
Florent Hanin,Angers,DF,0.75233775,-0.111824274,1.1530297,1.4204625,0
Pierre Højbjerg,Marseille,MF,2.4347627,-2.9846497,-0.9629661,0.44803587,1
Mahdi Camara,Brest,"MF,FW",-0.60912323,0.60966426,-0.15765466,-0.94716036,1
Keito Nakamura,Reims,"FW,MF",-3.5352855,0.33676937,-0.13007453,-0.9503499,1
Jubal,Auxerre,DF,4.1322103,2.2149494,2.035175,1.2627121,0
Ismaël Doukouré,Strasbourg,"DF,MF",4.686278,0.24651554,0.89043343,1.4640166,0
Léo Pétrot,Saint,DF,1.1560267,1.5905639,1.1765989,1.4748061,0
Jean-Charles Castelletto,Nantes,"DF,MF",4.7745695,1.35301,1.1786805,0.6167757,0
Adrien Thomasson,Lens,MF,0.2574427,-1.9140416,-0.77898306,-0.7969164,1
Luis Henrique,Marseille,"DF,FW",-2.0677307,-1.374841,-0.44154483,0.4678059,1
Moses Simon,Nantes,"FW,MF",-3.818291,-2.1402786,0.75178254,-0.7417047,1
Charlie Cresswell,Toulouse,DF,4.7860274,1.2606161,1.1331036,1.3788043,0
Arnaud Kalimuendo,Rennes,"FW,MF",-5.484644,1.2571126,-1.1627771,-0.21438314,1
Pierre Ekwah Elimby,Saint,MF,2.0640426,0.08073423,-0.20953906,-0.49477455,1
Diego Moreira,Strasbourg,"DF,MF",-1.5334114,-0.9491132,-0.15519151,0.32764336,1
Evann Guessand,Nice,"FW,MF",-4.3416967,-0.5354922,-0.26397178,-1.1505121,1
Jonathan David,Lille,FW,-5.5587406,1.1539676,-1.11906,-0.18404135,1
Facundo Medina,Lens,DF,2.746779,-1.2309548,-0.23356518,0.24386135,1
Sergio Akieme,Reims,DF,0.01900647,1.1073304,0.87627167,1.1695219,0
Dilane Bakwa,Strasbourg,"MF,DF",-2.8959816,-2.1103609,0.6990534,-0.269454,1
Mark McKenzie,Toulouse,DF,4.0147867,1.2593862,0.9114694,0.86899406,0
Ludovic Ajorque,Brest,FW,-4.7535458,2.541462,-0.7515951,-1.8732355,1
Clément Akpa,Auxerre,DF,3.0769193,1.3702879,1.4954054,0.4929616,0
Adrien Rabiot,Marseille,MF,-0.41522753,-1.5311404,-1.1177433,0.120669335,1
Loïc Nego,Le Havre,"DF,FW",0.47485396,0.5815833,1.090563,1.2662145,0
Michael Amir Murillo,Marseille,DF,2.3003,-0.93692523,-0.11887843,1.080869,0
Hicham Boudaoui,Nice,MF,-0.16189772,0.35428363,-0.54235005,-1.0873485,1
Brendan Chardonnet,Brest,DF,4.4186525,1.6016973,1.4999211,1.1745355,0
Maghnes Akliouche,Monaco,"FW,MF",-2.8641398,-2.5411172,-0.89582646,-0.4213594,1
Vincent Sierro,Toulouse,MF,1.1277615,-0.8434772,0.9121353,-0.78264797,1
Thilo Kehrer,Monaco,DF,4.394717,-0.55651456,-0.22026344,0.9628121,0
Clinton Mata,Lyon,DF,3.2736485,-0.5216109,0.1401015,0.879945,0
Mamadou Sarr,Strasbourg,DF,4.8963585,0.013439201,0.24940868,1.507971,0
Téji Savanier,Montpellier,MF,-0.024536373,-2.7612307,1.7055024,-0.28021833,0
Lorenz Assignon,Rennes,"DF,MF",-1.0434986,-0.79044384,-0.052660625,0.76520467,1
Habib Diarra,Strasbourg,"MF,FW",-2.4316385,0.07439111,-0.38546744,0.690451,1
Pedro Chirivella,Nantes,MF,2.331518,-0.8894115,-0.15271595,-0.25995132,1
Elisha Owusu,Auxerre,MF,0.6895806,1.8284113,0.087406166,-0.99936557,1
Yann Gboho,Toulouse,"MF,FW",-3.5170572,-1.0521693,-0.34967008,-1.2989217,1
Corentin Tolisso,Lyon,MF,0.4425654,-2.0136151,-0.9040296,-0.4049709,1
Abdoulaye Touré,Le Havre,MF,1.53813,-0.14038436,1.6300336,-1.4437057,1
Hugo Magnetti,Brest,MF,1.2261893,1.2477822,0.15979493,-0.5104749,1
Etienne Youte Kinkoue,Le Havre,DF,5.1047316,1.240719,1.0706263,0.43480846,0
Douglas,Nantes,MF,1.1145658,0.6295471,0.100288324,-1.1298608,1
Mickael Nade,Saint,DF,4.624513,0.27431974,1.5544853,1.4843323,0
Jonathan Clauss,Nice,"DF,MF",-0.58350354,-1.8547834,2.0488207,0.28216958,0
Lassine Sinayoko,Auxerre,"FW,MF",-4.834529,-0.31802863,-0.19457023,-1.0790545,1
Ludovic Blas,Rennes,"MF,FW",-3.070184,-1.854613,1.5612563,-0.3680733,0
Emanuel Emegha,Strasbourg,FW,-4.9465485,2.0014195,0.06182163,-0.8017605,1
Gideon Mensah,Auxerre,DF,0.502501,-0.15509757,0.6796233,1.7935574,0
Leonardo Balerdi,Marseille,DF,4.6302204,-1.903658,-0.66976905,1.5346276,0
Takumi Minamino,Monaco,"MF,FW",-3.0882375,0.3789176,-0.27012676,-0.65433836,1
Andy Diouf,Lens,MF,-1.3497784,-0.8882956,-0.9966239,-0.59291136,1
Moïse Bombito,Nice,DF,4.9405437,0.1002274,1.1760179,1.0565006,0
Cédric Kipré,Reims,DF,4.4285774,0.6685438,0.75493073,0.5486733,0
Bradley Barcola,Paris S,FW,-3.3287973,-2.5416412,-1.1473091,-0.7323977,1
