player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,cluster
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,26.47476,36.032944,18.825506,0
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,26.997084,35.51854,21.511608,0
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,26.383383,36.51733,21.620106,0
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,28.023428,35.335,22.47759,1
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,29.157242,34.831852,23.868542,1
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,29.07603,36.110096,24.064857,1
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,25.824543,35.94686,19.197058,0
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,28.406425,36.080368,25.46509,1
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,27.070871,34.316944,18.763372,0
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,28.557251,36.534126,22.077923,1
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,27.237152,34.694824,19.105986,0
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,27.550165,35.12114,19.859768,0
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,27.59628,34.094925,19.140406,0
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,27.625399,36.011726,21.78309,0
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,27.621675,34.904465,21.058752,0
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,29.601328,36.023838,23.090788,1
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,29.120144,36.11678,23.039396,1
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,28.838951,36.117165,22.56815,1
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,28.958271,36.085182,21.198284,1
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,27.635826,37.072483,20.528214,0
Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN,28.081758,34.082527,20.308737,0
Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA,27.278332,35.91247,23.059801,0
Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN,28.306513,35.65342,24.52945,1
Jubal,Auxerre,DF,30.0,56ae428b,BRA,25.690042,36.358345,18.694107,0
Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA,26.12167,34.913647,18.788198,0
Léo Pétrot,Saint,DF,27.0,00638016,FRA,26.871155,37.352562,20.313168,0
Jean-Charles Castelletto,Nantes,"DF,MF",29.0,e0f3a1f6,CMR,26.340229,35.968384,18.28758,0
Adrien Thomasson,Lens,MF,30.0,c76b7567,FRA,28.088387,35.01401,21.82906,1
Luis Henrique,Marseille,"DF,FW",22.0,f36d5624,BRA,28.881721,35.145668,23.004715,1
Moses Simon,Nantes,"FW,MF",29.0,5f3eaaf5,NGA,29.47664,35.913315,24.046797,1
Charlie Cresswell,Toulouse,DF,21.0,4654e5f5,ENG,25.670206,35.24183,18.991108,0
Arnaud Kalimuendo,Rennes,"FW,MF",22.0,bf4c41f9,FRA,27.840712,35.506577,25.343843,1
Pierre Ekwah Elimby,Saint,MF,22.0,830371be,FRA,26.597467,35.66902,20.725044,0
Diego Moreira,Strasbourg,"DF,MF",19.0,12de1b0d,BEL,28.563066,36.012806,23.08642,1
Evann Guessand,Nice,"FW,MF",23.0,b73f17f8,CIV,28.922335,35.277203,24.55641,1
Jonathan David,Lille,FW,24.0,ce50fd99,CAN,28.080187,35.270058,25.10225,1
Facundo Medina,Lens,DF,25.0,6f5ec8bb,ARG,27.905972,34.668785,19.859882,0
Sergio Akieme,Reims,DF,26.0,06efa9dc,ESP,27.274467,37.42026,21.536814,0
Dilane Bakwa,Strasbourg,"MF,DF",21.0,2b5a35e5,FRA,29.235756,35.567383,23.314924,1
Mark McKenzie,Toulouse,DF,25.0,a5f5d094,USA,26.04325,35.604847,19.56316,0
Ludovic Ajorque,Brest,FW,30.0,462475ed,FRA,27.490734,35.7905,25.81987,1
Clément Akpa,Auxerre,DF,22.0,0abb5072,CIV,25.957674,35.971375,19.751923,0
Adrien Rabiot,Marseille,MF,29.0,8794e251,FRA,28.548254,34.704685,22.785545,1
Loïc Nego,Le Havre,"DF,FW",33.0,c3b6fa1e,HUN,27.408825,37.124672,20.980742,0
Michael Amir Murillo,Marseille,DF,28.0,349cae8f,PAN,27.961079,34.75629,20.163492,0
Hicham Boudaoui,Nice,MF,24.0,f9d5908e,ALG,27.254198,35.509804,22.118526,0
Brendan Chardonnet,Brest,DF,29.0,16aa7d4c,FRA,25.636522,35.676212,18.92792,0
Maghnes Akliouche,Monaco,"FW,MF",22.0,b625b241,FRA,28.693264,35.003242,23.343258,1
Vincent Sierro,Toulouse,MF,28.0,92ffb8f9,SUI,28.19814,35.76859,21.865088,1
Thilo Kehrer,Monaco,DF,27.0,51dbeea9,GER,27.129375,33.979134,19.215986,0
Clinton Mata,Lyon,DF,31.0,55abe554,ANG,27.119333,34.724625,19.59901,0
Mamadou Sarr,Strasbourg,DF,18.0,61f80c89,FRA,26.89037,34.755867,18.507246,0
Téji Savanier,Montpellier,MF,32.0,6bde367b,FRA,29.414412,35.959763,22.157644,1
Lorenz Assignon,Rennes,"DF,MF",24.0,b026bbf6,TOG,28.248165,36.26669,22.383211,1
Habib Diarra,Strasbourg,"MF,FW",20.0,6d0fe035,SEN,28.146471,36.039722,23.41889,1
Pedro Chirivella,Nantes,MF,27.0,68a26d51,ESP,27.235817,34.858913,20.747227,0
Elisha Owusu,Auxerre,MF,26.0,e2781082,GHA,25.905468,36.065956,21.713253,0
Yann Gboho,Toulouse,"MF,FW",23.0,6be41a31,FRA,28.513874,35.711956,24.120398,1
Corentin Tolisso,Lyon,MF,29.0,652d4c37,FRA,28.20806,34.62049,21.637613,1
Abdoulaye Touré,Le Havre,MF,30.0,ef7cd87a,GUI,26.7962,36.172707,22.047354,0
Hugo Magnetti,Brest,MF,26.0,d4d35152,FRA,26.526083,36.223373,21.129944,0
Etienne Youte Kinkoue,Le Havre,DF,22.0,12a4e38c,FRA,26.447111,36.314556,18.356672,0
Douglas,Nantes,MF,27.0,301c287b,BRA,26.496399,35.63133,21.55724,0
Mickael Nade,Saint,DF,25.0,a6b6fa6e,FRA,25.305922,35.80373,18.910397,0
Jonathan Clauss,Nice,"DF,MF",31.0,5219ab4a,FRA,29.246508,36.00247,22.215292,1
Lassine Sinayoko,Auxerre,"FW,MF",24.0,5e5249c8,MLI,28.887789,35.452568,24.990847,1
Ludovic Blas,Rennes,"MF,FW",26.0,6191093d,FRA,29.63522,35.696213,23.375574,1
Emanuel Emegha,Strasbourg,FW,21.0,a0c590b9,NED,27.660458,35.368477,25.750742,1
Gideon Mensah,Auxerre,DF,26.0,9bdd8118,GHA,27.777367,36.605167,20.805319,0
