player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,umap_4,umap_5,cluster
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,6.495,6.8230014,18.643335,11.675789,-0.96492094,2
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,6.3692055,8.471104,21.03695,11.557786,-3.4936905,0
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,6.091429,8.5441265,20.330297,11.707547,-4.4016232,0
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,5.4216695,7.8659773,21.922668,12.329681,-3.5608165,0
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,5.161148,8.017251,23.17837,14.678237,-4.205182,3
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,5.1386294,8.692768,23.033527,14.425699,-4.7775164,3
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,6.3285775,7.2569537,18.283499,11.862642,-1.0981919,2
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,5.1976223,8.3500595,22.989613,12.66885,-6.8199563,4
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,5.3781114,5.6181264,19.452217,11.156152,-1.1861647,2
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,5.2297735,8.954085,21.257313,13.836921,-2.9319654,1
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,5.53441,5.996436,19.328201,11.693705,-1.302997,2
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,5.374132,6.9947886,20.232172,12.4832325,-1.806161,2
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,5.3277903,5.54533,20.033138,11.228973,-1.2801677,2
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,6.5047317,8.983155,21.22535,12.376793,-3.0838628,0
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,5.89806,8.007722,21.284977,11.609335,-2.7331526,0
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,5.454586,8.933225,22.507376,14.415452,-3.8945122,3
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,5.1155457,8.627937,22.638206,14.5312605,-3.3733246,3
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,5.25605,8.7708845,22.009573,13.824154,-3.5374968,1
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,5.784315,8.7489605,20.859385,14.002675,-2.5309556,1
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,5.7446957,9.065617,20.122627,13.900961,-2.579098,1
Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN,5.3305454,6.439618,21.969606,12.3315115,-2.0384173,0
Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA,5.7350726,8.481952,21.185923,12.33699,-4.364475,0
Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN,5.078493,8.517754,22.873043,13.015697,-5.641938,4
Jubal,Auxerre,DF,30.0,56ae428b,BRA,6.400272,7.4927735,17.651705,11.690197,-1.0637972,2
Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA,5.9489937,6.1341076,18.404016,11.838952,-1.1839056,2
Léo Pétrot,Saint,DF,27.0,00638016,FRA,5.6401353,9.165538,18.838465,13.132781,-2.6576054,1
Jean-Charles Castelletto,Nantes,"DF,MF",29.0,e0f3a1f6,CMR,6.3227797,6.6141105,17.830315,11.887064,-1.0588505,2
Adrien Thomasson,Lens,MF,30.0,c76b7567,FRA,5.9087973,8.297018,22.007282,12.451121,-2.9414978,0
