player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7,umap_8,umap_9,umap_10,cluster
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,6.405277,5.122335,5.856289,9.122155,4.9710164,5.736353,7.8618803,2.1491182,4.7670097,8.540083,3
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,5.954394,6.074039,6.1049356,7.8471594,4.86024,3.631446,6.022671,3.1305058,5.151732,8.796114,4
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,5.894468,5.8649535,6.296276,7.7726026,4.885701,3.7164943,5.6019206,3.463521,5.3384113,8.650223,4
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,6.203196,5.8118067,6.529578,6.920866,4.4989896,3.4090738,6.581034,2.7152252,4.3601274,9.15233,1
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,6.8590803,5.685326,7.636818,5.632769,3.7030373,2.511763,6.469301,2.7793043,3.345909,8.7568035,1
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,6.6028643,6.022197,7.4525847,6.0344567,3.649634,2.5449026,6.09228,2.9071681,3.342545,8.710494,1
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,6.38022,4.8230677,6.0643344,9.144251,4.858322,5.90707,7.8467627,2.282953,4.7302175,8.444704,3
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,7.1614614,4.906963,8.105177,4.8106956,3.6964905,2.6140819,6.4412622,3.1948438,3.3296852,8.479656,2
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,6.1783285,5.6918764,5.303581,8.84436,5.285534,5.286288,8.004065,2.032844,4.706418,9.113461,3
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,6.0482416,6.551531,6.5138354,7.495663,3.877495,3.1094441,6.392929,2.4570103,3.8790526,8.985813,1
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,6.2404,5.4947767,5.6568,8.792536,4.9947987,5.245912,7.7363033,2.1360254,4.667715,8.913237,3
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,6.0528636,6.3338695,5.9153337,8.60834,4.4066277,4.400134,7.1393085,2.1559644,4.3726444,8.839169,1
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,6.169161,5.652316,5.3010573,8.807349,5.2930303,5.1883655,7.894687,2.0562494,4.748332,9.155049,3
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,5.9716845,6.2028537,6.340669,7.7505116,4.4627895,3.356538,5.8307133,3.1356738,4.710285,8.683592,4
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,5.902953,6.224936,6.0188646,7.806741,4.8186493,3.6380992,6.3146377,2.8186939,5.0039234,9.066669,4
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,6.2755613,6.387191,6.9933667,6.613168,3.7187867,2.5301118,5.9885473,2.8317904,3.552877,8.795575,1
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,6.309141,6.270791,6.9453917,6.523212,3.6693468,2.5708141,6.1276217,2.7882392,3.5279796,8.808219,1
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,6.1460524,6.38278,6.686181,7.0257807,3.9604738,2.9286914,6.2458224,2.651768,3.8642504,8.985152,1
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,6.064212,6.611172,6.3925047,7.947802,3.7759147,3.3079464,6.5002036,2.4039204,3.8192317,8.741039,1
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,5.9546986,6.697702,6.348647,8.451643,3.7498927,3.4427156,6.529455,2.235425,3.9626672,8.842789,1
