method,tag,n_clusters_param,linkage,silhouette,calinski_harabasz,davies_bouldin,n_clusters
pca,joueurs_ligue1_PCA_custom_GK,2,ward,-0.0037296401569379156,10.23128144596763,2.32285352614879,2
pca,joueurs_ligue1_PCA_custom_GK,2,complete,0.541564246485489,8.118884640597802,0.33839046407770856,2
pca,joueurs_ligue1_PCA_custom_GK,2,average,0.541564246485489,8.118884640597802,0.33839046407770856,2
pca,joueurs_ligue1_PCA_custom_GK,3,ward,-0.0005761291975361125,9.388360960419805,1.6562472964568515,3
pca,joueurs_ligue1_PCA_custom_GK,3,complete,0.31257533589899206,6.52751089069921,0.8850765891682958,3
pca,joueurs_ligue1_PCA_custom_GK,3,average,0.31632394127462793,5.65759888417671,0.4751053103945438,3
pca,joueurs_ligue1_PCA_custom_GK,4,ward,0.00706730143768748,8.989732397330533,3.4333506347879412,4
pca,joueurs_ligue1_PCA_custom_GK,4,complete,0.18875337748268287,6.674676688150769,1.858790150915733,4
pca,joueurs_ligue1_PCA_custom_GK,4,average,0.29315138930172846,5.439029917674776,0.7982038427618534,4
pca,joueurs_ligue1_PCA_custom_GK,5,ward,0.013813275526523802,8.800825583639657,3.0346836307233094,5
pca,joueurs_ligue1_PCA_custom_GK,5,complete,0.1897785559945422,7.008957224448801,1.7817866648907768,5
pca,joueurs_ligue1_PCA_custom_GK,5,average,0.2759052413714464,5.21976113971228,0.8968376552953901,5
pca,joueurs_ligue1_PCA_custom_GK,6,ward,0.022280228495327837,8.685690290142457,3.12843244533722,6
pca,joueurs_ligue1_PCA_custom_GK,6,complete,0.18975546381469463,7.063209867669484,1.8577780551445917,6
pca,joueurs_ligue1_PCA_custom_GK,6,average,0.2582033929512307,4.779942644011792,0.8408089033983205,6
pca,joueurs_ligue1_PCA_custom_GK,7,ward,0.02965879719784692,8.628921280311364,2.98244991699638,7
pca,joueurs_ligue1_PCA_custom_GK,7,complete,0.16187272876965356,7.147716200014782,1.6127876284242864,7
pca,joueurs_ligue1_PCA_custom_GK,7,average,0.24581989308417518,4.8171083968262,0.8701566908425081,7
pca,joueurs_ligue1_PCA_custom_GK,8,ward,0.03364172004413439,8.557166080855911,3.075491599661006,8
pca,joueurs_ligue1_PCA_custom_GK,8,complete,0.1610374367139765,6.993814311407762,1.7544517335684553,8
pca,joueurs_ligue1_PCA_custom_GK,8,average,0.23213926146385294,4.542119972696648,0.8333634984432063,8
pca,joueurs_ligue1_PCA_custom_GK,9,ward,0.035891778185137974,8.489986655321017,2.865276082060918,9
pca,joueurs_ligue1_PCA_custom_GK,9,complete,0.16146762246258278,6.892925654142961,1.633125242066613,9
pca,joueurs_ligue1_PCA_custom_GK,9,average,0.21557239316485968,4.318809755125443,0.806289557004387,9
pca,joueurs_ligue1_PCA_custom_GK,10,ward,0.014845349489501005,8.4484517036531,2.8840694136400575,10
pca,joueurs_ligue1_PCA_custom_GK,10,complete,0.12362251894859587,6.950845373967245,2.0047852673849413,10
pca,joueurs_ligue1_PCA_custom_GK,10,average,0.20504816749270457,4.261045870028756,0.873499561829789,10
