method,tag,n_clusters_param,linkage,silhouette,calinski_harabasz,davies_bouldin,n_clusters
pca,joueurs_ligue1_PCA_custom,3,ward,0.0064476891578204715,7.325303734438882,3.6784892281140515,3
pca,joueurs_ligue1_PCA_custom,3,complete,0.38089497796906935,5.805380853095172,0.4372824978457715,3
pca,joueurs_ligue1_PCA_custom,3,average,0.38089497796906935,5.805380853095172,0.4372824978457715,3
pca,joueurs_ligue1_PCA_custom,4,ward,0.011617260370899078,7.152869959150588,3.1572635715460766,4
pca,joueurs_ligue1_PCA_custom,4,complete,0.19036992683979395,5.729596060280693,1.9226287012905237,4
pca,joueurs_ligue1_PCA_custom,4,average,0.32577319434242175,5.009442470622457,0.4723807851861501,4
pca,joueurs_ligue1_PCA_custom,5,ward,0.01729883926126704,7.118742312991895,3.2541187395286415,5
pca,joueurs_ligue1_PCA_custom,5,complete,0.18976711975970129,5.537957090843186,1.8467366082625234,5
pca,joueurs_ligue1_PCA_custom,5,average,0.27083578220683885,4.784946034696735,0.7890969938678489,5
pca,joueurs_ligue1_PCA_custom,6,ward,0.019760916067417048,7.040536299239216,3.360671402731871,6
pca,joueurs_ligue1_PCA_custom,6,complete,0.1869937430622189,5.850084058078726,1.8084756709453982,6
pca,joueurs_ligue1_PCA_custom,6,average,0.24546680031937254,4.385980893116487,0.7549337041815473,6
pca,joueurs_ligue1_PCA_custom,7,ward,0.014344345985209034,7.00532087063237,3.04285257845198,7
pca,joueurs_ligue1_PCA_custom,7,complete,0.17827337329351797,6.072133824023857,1.4900044820830867,7
pca,joueurs_ligue1_PCA_custom,7,average,0.22752251547751784,4.110025993117006,0.7315021835386357,7
pca,joueurs_ligue1_PCA_custom,8,ward,0.0036998813039935546,7.009426887696804,3.1731988087693037,8
pca,joueurs_ligue1_PCA_custom,8,complete,0.15527594539187023,5.806717260900128,1.7391403897478863,8
pca,joueurs_ligue1_PCA_custom,8,average,0.21788256666119538,4.254374405984663,0.8565066960340917,8
pca,joueurs_ligue1_PCA_custom,9,ward,0.00424614770711549,7.016758373820057,2.9476555242292246,9
pca,joueurs_ligue1_PCA_custom,9,complete,0.14607495231003917,5.758769050036238,1.6284267855543881,9
pca,joueurs_ligue1_PCA_custom,9,average,0.20826901965391711,3.981377341871333,0.7592110287582745,9
pca,joueurs_ligue1_PCA_custom,10,ward,0.008676077341934284,6.981117961111049,2.796066147039782,10
pca,joueurs_ligue1_PCA_custom,10,complete,0.13991347433440177,5.689085775087297,1.7478712768135019,10
pca,joueurs_ligue1_PCA_custom,10,average,0.1920987989491689,3.9459773302708556,0.8196533419568757,10
