method,tag,n_clusters_param,linkage,silhouette,calinski_harabasz,davies_bouldin,n_clusters
pca,joueurs_ligue1_PCA_per90,2,ward,0.5690723071937853,9.26444051908756,0.3154943358415132,2
pca,joueurs_ligue1_PCA_per90,2,complete,0.5690723071937853,9.26444051908756,0.3154943358415132,2
pca,joueurs_ligue1_PCA_per90,2,average,0.5690723071937853,9.26444051908756,0.3154943358415132,2
pca,joueurs_ligue1_PCA_per90,3,ward,0.23008441840859795,9.27428729663282,1.468550861400648,3
pca,joueurs_ligue1_PCA_per90,3,complete,0.39752069948850643,6.8348307604482414,0.4135360297140121,3
pca,joueurs_ligue1_PCA_per90,3,average,0.36005588353589246,6.5200214299448005,0.4379998210900286,3
pca,joueurs_ligue1_PCA_per90,4,ward,0.006829451339186779,9.310409327278526,2.7893695199939734,4
pca,joueurs_ligue1_PCA_per90,4,complete,0.16651119442854262,7.170045134454037,2.0706349333676832,4
pca,joueurs_ligue1_PCA_per90,4,average,0.3092095753139721,6.093051127661053,0.7494033397987837,4
pca,joueurs_ligue1_PCA_per90,5,ward,0.017857926796442842,9.280016971841226,2.975075165746617,5
pca,joueurs_ligue1_PCA_per90,5,complete,0.14934175933431776,7.51858679741391,1.68628640378988,5
pca,joueurs_ligue1_PCA_per90,5,average,0.28978594541925656,5.868639607391105,0.8358898832508566,5
pca,joueurs_ligue1_PCA_per90,6,ward,0.0060672559950731885,9.226027326287621,2.6494458908313923,6
pca,joueurs_ligue1_PCA_per90,6,complete,0.13864286516973426,7.179581321595218,2.190592760163174,6
pca,joueurs_ligue1_PCA_per90,6,average,0.27502543393666773,5.345547912472448,0.7864373931423128,6
pca,joueurs_ligue1_PCA_per90,7,ward,0.013006229102374403,9.15629534319422,2.6567407637319502,7
pca,joueurs_ligue1_PCA_per90,7,complete,0.12675547962942396,6.921291976381941,2.009481013373822,7
pca,joueurs_ligue1_PCA_per90,7,average,0.25156499028255797,4.937898160369492,0.7558309141951509,7
pca,joueurs_ligue1_PCA_per90,8,ward,0.02050968636478984,9.018426926703441,2.5150383910682796,8
pca,joueurs_ligue1_PCA_per90,8,complete,0.13124389842481457,7.31280336617712,1.924328559773297,8
pca,joueurs_ligue1_PCA_per90,8,average,0.22846182581003824,4.630043342106683,0.7347275536898608,8
pca,joueurs_ligue1_PCA_per90,9,ward,0.007096670305437979,8.938530695612997,2.345975731418071,9
pca,joueurs_ligue1_PCA_per90,9,complete,0.12626187331432523,7.420124427833081,1.7010693632816893,9
pca,joueurs_ligue1_PCA_per90,9,average,0.21566436772271735,4.5127122459317315,0.8429507647043679,9
pca,joueurs_ligue1_PCA_per90,10,ward,0.01375932061265575,8.90172676849836,2.6799806017127024,10
pca,joueurs_ligue1_PCA_per90,10,complete,0.03704877770970483,7.160376699816253,2.6197527084015055,10
pca,joueurs_ligue1_PCA_per90,10,average,0.20290387001365678,4.317663251030384,0.8173990964593567,10
