method,tag,n_clusters_param,linkage,silhouette,calinski_harabasz,davies_bouldin,n_clusters
pca,joueurs_ligue1_PCA_raw,2,ward,0.3904850883669941,13.149249064587625,1.287517953314117,2
pca,joueurs_ligue1_PCA_raw,2,complete,0.5070758609916616,6.593454210189637,0.36418580846832743,2
pca,joueurs_ligue1_PCA_raw,2,average,0.5070758609916616,6.593454210189637,0.36418580846832743,2
pca,joueurs_ligue1_PCA_raw,3,ward,0.13901976708263528,13.117164419538563,1.865066086598117,3
pca,joueurs_ligue1_PCA_raw,3,complete,0.3918264757667168,10.108519500275554,0.9820264921892541,3
pca,joueurs_ligue1_PCA_raw,3,average,0.3918264757667168,10.108519500275554,0.9820264921892541,3
pca,joueurs_ligue1_PCA_raw,4,ward,0.12027479661481914,12.616698551770892,1.8937267481562046,4
pca,joueurs_ligue1_PCA_raw,4,complete,0.34769878133074933,9.25319149453047,1.4155522102270073,4
pca,joueurs_ligue1_PCA_raw,4,average,0.36764195468999133,8.899184256619465,0.9836997156393446,4
pca,joueurs_ligue1_PCA_raw,5,ward,0.12081239548869996,12.338357847358951,2.8472786495095797,5
pca,joueurs_ligue1_PCA_raw,5,complete,0.10977978739817817,8.78096847548195,2.9468020159538506,5
pca,joueurs_ligue1_PCA_raw,5,average,0.3466306672091349,7.6709097911141395,0.8826545890641586,5
pca,joueurs_ligue1_PCA_raw,6,ward,0.12673115972982624,12.173527906238025,2.5165654702399265,6
pca,joueurs_ligue1_PCA_raw,6,complete,0.11385913522802552,8.529221833119594,2.707066472023721,6
pca,joueurs_ligue1_PCA_raw,6,average,0.3429162077631318,6.691453815613828,0.7983751677556232,6
pca,joueurs_ligue1_PCA_raw,7,ward,0.062116788378273204,12.035618690938204,2.819701517012269,7
pca,joueurs_ligue1_PCA_raw,7,complete,0.11448564166808532,7.919907662850958,2.418094102623855,7
pca,joueurs_ligue1_PCA_raw,7,average,0.3374342550293833,6.064298206903756,0.6691596321003218,7
pca,joueurs_ligue1_PCA_raw,8,ward,0.0707243470348245,11.954535567217137,2.6699340985493354,8
pca,joueurs_ligue1_PCA_raw,8,complete,0.09547862026439076,7.989239038250126,2.3527833396341835,8
pca,joueurs_ligue1_PCA_raw,8,average,0.3185595959387018,6.001918067051951,0.7439756482713954,8
pca,joueurs_ligue1_PCA_raw,9,ward,0.06164794135191554,11.884281859935767,2.541668152273373,9
pca,joueurs_ligue1_PCA_raw,9,complete,0.09784800276271544,7.768985816779761,2.1927963244354314,9
pca,joueurs_ligue1_PCA_raw,9,average,0.2942961151578678,5.679384821525385,0.7190332711716394,9
pca,joueurs_ligue1_PCA_raw,10,ward,0.06897561832585719,11.815100354414009,2.413806911260376,10
pca,joueurs_ligue1_PCA_raw,10,complete,0.10141376307788154,7.654782086842824,2.2205074816689505,10
pca,joueurs_ligue1_PCA_raw,10,average,0.2748536602418754,5.428059110603667,0.6997321194740584,10
