method,tag,n_clusters_param,linkage,silhouette,calinski_harabasz,davies_bouldin,n_clusters
tsne,joueurs_ligue1_tSNE_custom_GK,3,ward,0.2820401961841621,230.13662036615278,1.2699271438108333,3
tsne,joueurs_ligue1_tSNE_custom_GK,3,complete,0.3119643158707507,244.40041917992653,1.1042288423121631,3
tsne,joueurs_ligue1_tSNE_custom_GK,3,average,0.3554764216959397,226.45093138453993,0.8355974014800619,3
tsne,joueurs_ligue1_tSNE_custom_GK,4,ward,0.3011576040794362,224.81259952079756,1.1277005195072856,4
tsne,joueurs_ligue1_tSNE_custom_GK,4,complete,0.2835370153996615,214.72540799693996,1.0244451096760923,4
tsne,joueurs_ligue1_tSNE_custom_GK,4,average,0.3250300449056537,223.5646716868989,1.0665485203138199,4
tsne,joueurs_ligue1_tSNE_custom_GK,5,ward,0.3262118953928057,230.67165015721756,1.0165422938826354,5
tsne,joueurs_ligue1_tSNE_custom_GK,5,complete,0.24919937192643923,199.41364402353943,1.40214627614292,5
tsne,joueurs_ligue1_tSNE_custom_GK,5,average,0.31431814246403234,226.37801572279736,1.018658094614025,5
tsne,joueurs_ligue1_tSNE_custom_GK,6,ward,0.31494090945790953,221.17604247660586,0.9907708966353667,6
tsne,joueurs_ligue1_tSNE_custom_GK,6,complete,0.2960038202196559,221.98491994732754,1.1187748481990258,6
tsne,joueurs_ligue1_tSNE_custom_GK,6,average,0.32923431765421773,236.23357839485405,1.0851145960399677,6
tsne,joueurs_ligue1_tSNE_custom_GK,7,ward,0.3229863314763979,217.0377153334359,1.0269604454909735,7
tsne,joueurs_ligue1_tSNE_custom_GK,7,complete,0.32683040048209683,235.1779235385044,1.0210185843152462,7
tsne,joueurs_ligue1_tSNE_custom_GK,7,average,0.30804422642970514,209.95366783586513,1.0368406955890586,7
tsne,joueurs_ligue1_tSNE_custom_GK,8,ward,0.31797604865744405,213.45565713424884,1.028695505908399,8
tsne,joueurs_ligue1_tSNE_custom_GK,8,complete,0.32954245367380774,226.04414905957458,1.086176926167752,8
tsne,joueurs_ligue1_tSNE_custom_GK,8,average,0.2733157964469073,191.47011505405206,1.0255319419124356,8
tsne,joueurs_ligue1_tSNE_custom_GK,9,ward,0.3081396239733733,207.32332443635994,1.0671558842850384,9
tsne,joueurs_ligue1_tSNE_custom_GK,9,complete,0.3067196299971875,209.8012900691667,1.0621479232722775,9
tsne,joueurs_ligue1_tSNE_custom_GK,9,average,0.28712772513427626,193.62476330364888,1.0267976641341934,9
tsne,joueurs_ligue1_tSNE_custom_GK,10,ward,0.31058192923803496,205.83344037339546,1.067069662862628,10
tsne,joueurs_ligue1_tSNE_custom_GK,10,complete,0.27167218152590883,201.5397592171522,1.1562655912733573,10
tsne,joueurs_ligue1_tSNE_custom_GK,10,average,0.29318564655233337,203.29073608796094,1.0039690194484991,10
