method,tag,n_clusters_param,linkage,silhouette,calinski_harabasz,davies_bouldin,n_clusters
tsne,joueurs_ligue1_tSNE_custom,3,ward,0.25915359962925477,127.57658145881341,1.2860387600836927,3
tsne,joueurs_ligue1_tSNE_custom,3,complete,0.27132946418553655,139.72993275843675,1.2723630440201497,3
tsne,joueurs_ligue1_tSNE_custom,3,average,0.26175976422528957,130.479317187806,1.2872547380022328,3
tsne,joueurs_ligue1_tSNE_custom,4,ward,0.24482145232460614,125.17922043730191,1.2261084448324797,4
tsne,joueurs_ligue1_tSNE_custom,4,complete,0.24716299919977114,123.72252586000288,1.193652481684417,4
tsne,joueurs_ligue1_tSNE_custom,4,average,0.24232892456223687,122.57699842259491,1.2208039351999025,4
tsne,joueurs_ligue1_tSNE_custom,5,ward,0.26259521192006713,132.21468417458453,1.2388166689925602,5
tsne,joueurs_ligue1_tSNE_custom,5,complete,0.24570820222708015,127.26707535720608,1.3303562628092866,5
tsne,joueurs_ligue1_tSNE_custom,5,average,0.25458352731072925,128.30978721637385,1.292090482463597,5
tsne,joueurs_ligue1_tSNE_custom,6,ward,0.24774828956357706,122.23766046845476,1.2755853375681936,6
tsne,joueurs_ligue1_tSNE_custom,6,complete,0.21400731551961624,106.8662977507577,1.4180104265867097,6
tsne,joueurs_ligue1_tSNE_custom,6,average,0.2489723242801374,117.37426229766744,1.2895861954045922,6
tsne,joueurs_ligue1_tSNE_custom,7,ward,0.23264801665314497,117.30085162560395,1.2297825558337918,7
tsne,joueurs_ligue1_tSNE_custom,7,complete,0.2202958666404048,106.97327087103304,1.4438227482381119,7
tsne,joueurs_ligue1_tSNE_custom,7,average,0.24837846190858287,118.37073711438751,1.2494865189962063,7
tsne,joueurs_ligue1_tSNE_custom,8,ward,0.2355560323984476,111.67527693850974,1.2731313456703655,8
tsne,joueurs_ligue1_tSNE_custom,8,complete,0.2241355842219159,104.15101462540083,1.3631571592671698,8
tsne,joueurs_ligue1_tSNE_custom,8,average,0.25203147883393623,113.24695970423353,1.2772896244340866,8
tsne,joueurs_ligue1_tSNE_custom,9,ward,0.23808465695184486,107.85665819154266,1.2519517093812444,9
tsne,joueurs_ligue1_tSNE_custom,9,complete,0.2287979594304803,103.36287489548212,1.3490712573444437,9
tsne,joueurs_ligue1_tSNE_custom,9,average,0.2508257846689192,110.41864231531616,1.2104747250350159,9
tsne,joueurs_ligue1_tSNE_custom,10,ward,0.2327341030422316,104.51658060522796,1.3066036281391944,10
tsne,joueurs_ligue1_tSNE_custom,10,complete,0.22189751294306043,99.71701645872692,1.3252374496650678,10
tsne,joueurs_ligue1_tSNE_custom,10,average,0.24418706744483862,103.25678980774512,1.1236943902505385,10
