method,tag,n_clusters_param,linkage,silhouette,calinski_harabasz,davies_bouldin,n_clusters
tsne,joueurs_ligue1_tSNE_raw,2,ward,0.30054900146825736,167.8310567660692,1.267004764554594,2
tsne,joueurs_ligue1_tSNE_raw,2,complete,0.3168846790367013,183.01231467696425,1.2809438861952245,2
tsne,joueurs_ligue1_tSNE_raw,2,average,0.31101215865810483,180.02287202937944,1.2842088779062997,2
tsne,joueurs_ligue1_tSNE_raw,3,ward,0.280022624313086,157.19645430127605,1.2765855095915857,3
tsne,joueurs_ligue1_tSNE_raw,3,complete,0.2648798051848551,146.9200733703155,1.115369627392056,3
tsne,joueurs_ligue1_tSNE_raw,3,average,0.26976543223400107,150.51675969636588,1.238527733166334,3
tsne,joueurs_ligue1_tSNE_raw,4,ward,0.2528424788857704,151.26023750249718,1.1806407029253723,4
tsne,joueurs_ligue1_tSNE_raw,4,complete,0.24707015571809673,156.5206486156665,1.210351809810438,4
tsne,joueurs_ligue1_tSNE_raw,4,average,0.25314979828060485,159.29566985438072,1.185564571113228,4
tsne,joueurs_ligue1_tSNE_raw,5,ward,0.2654878413377646,152.14882315115256,1.2401046800368898,5
tsne,joueurs_ligue1_tSNE_raw,5,complete,0.2196736087611566,137.50359809623612,1.3806982684832687,5
tsne,joueurs_ligue1_tSNE_raw,5,average,0.2753863078555979,153.64133817055367,1.2088454885634554,5
tsne,joueurs_ligue1_tSNE_raw,6,ward,0.2675548832458153,150.18146356355516,1.1674526879328977,6
tsne,joueurs_ligue1_tSNE_raw,6,complete,0.2250686538259468,139.3941185196722,1.275581063837379,6
tsne,joueurs_ligue1_tSNE_raw,6,average,0.25851285695145926,150.66926654230397,1.2499342601801628,6
tsne,joueurs_ligue1_tSNE_raw,7,ward,0.2595261462308195,145.80408588748094,1.1104731843410467,7
tsne,joueurs_ligue1_tSNE_raw,7,complete,0.2085543795705174,131.8434951492672,1.2692946272639596,7
tsne,joueurs_ligue1_tSNE_raw,7,average,0.24121782840844852,135.50067158578966,1.1878049341631305,7
tsne,joueurs_ligue1_tSNE_raw,8,ward,0.2606523717615071,139.56142017113467,1.0942326325998764,8
tsne,joueurs_ligue1_tSNE_raw,8,complete,0.2143223128999307,127.91546541470794,1.296033189432899,8
tsne,joueurs_ligue1_tSNE_raw,8,average,0.23471972463781784,119.37960367557643,1.1119166262931968,8
tsne,joueurs_ligue1_tSNE_raw,9,ward,0.24839763514494803,136.76506209743764,1.0975393993023603,9
tsne,joueurs_ligue1_tSNE_raw,9,complete,0.22086230820551248,126.59418043267134,1.3177184909735817,9
tsne,joueurs_ligue1_tSNE_raw,9,average,0.23824889616389883,118.62245992623917,1.0712520879497485,9
tsne,joueurs_ligue1_tSNE_raw,10,ward,0.2598307796366623,135.00631130595931,1.047262034040094,10
tsne,joueurs_ligue1_tSNE_raw,10,complete,0.24086204810008718,131.8657366487744,1.1613553731417392,10
tsne,joueurs_ligue1_tSNE_raw,10,average,0.2467752422813667,117.28230504444537,1.0238538141988438,10
