method,tag,n_clusters_param,linkage,silhouette,calinski_harabasz,davies_bouldin,n_clusters
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,2,ward,0.7503693945511021,546.606950522631,0.23912327321655882,2
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,2,complete,0.7503693945511021,546.606950522631,0.23912327321655882,2
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,2,average,0.7503693945511021,546.606950522631,0.23912327321655882,2
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,3,ward,0.4109940081269656,536.6161947011933,0.6623339867525803,3
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,3,complete,0.35791842852792055,527.2818275583278,0.9083719741538733,3
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,3,average,0.4104021581592931,531.4100296717392,0.6587023287639742,3
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,4,ward,0.3884826701517793,584.1167733616508,0.763156894468712,4
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,4,complete,0.3715616005930087,537.2994916424847,0.8336688038273481,4
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,4,average,0.3854915641239697,576.4007521636231,0.7597024034388414,4
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,5,ward,0.3797638522801235,614.261030657594,0.9410074387966428,5
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,5,complete,0.36127444440932655,571.0273994594468,0.9538224267325326,5
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,5,average,0.3773017262619011,606.562066975934,0.9348439423642183,5
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,6,ward,0.36848958998252684,573.2257133620757,0.9488775314540442,6
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,6,complete,0.35515824979503013,543.0192500986661,0.8631557378911588,6
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,6,average,0.3718779896263998,580.1256291992073,0.9931331127607491,6
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,7,ward,0.358925759338917,544.6547793961186,0.9683184090933097,7
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,7,complete,0.34422852157702816,557.4957915006075,0.9042610860328406,7
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,7,average,0.3581005849787464,546.6486345266579,0.9849401942647603,7
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,8,ward,0.35678454227981354,540.6624190636038,0.9504761598343241,8
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,8,complete,0.3482845802172713,550.4156161645523,0.9482080882373035,8
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,8,average,0.35582060762430034,547.5443930502291,0.9246676627641136,8
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,9,ward,0.3323817747242655,537.0940298182384,0.9930059222749716,9
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,9,complete,0.3573013320100582,527.7788453855551,1.0545769285537814,9
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,9,average,0.34274464257049914,488.38514925916013,0.9171381687206518,9
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,10,ward,0.3152344062208072,523.7201120100801,1.0350519011438934,10
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,10,complete,0.3248742479656266,505.9581146500428,1.108088479933667,10
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap10d_best_embedding,10,average,0.3307431553691925,500.96141434582347,0.9439492701229307,10
