method,tag,n_clusters_param,linkage,silhouette,calinski_harabasz,davies_bouldin,n_clusters
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,2,ward,0.34734048004690676,211.29550295762766,1.1437087681193243,2
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,2,complete,0.3258773625235152,193.62714853693188,1.228116775763772,2
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,2,average,0.3646511817111227,230.65791388984314,1.1210606328083874,2
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,3,ward,0.3541795518738574,228.97312820431947,0.9335946966738705,3
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,3,complete,0.3030398748560415,183.9113207235589,1.0479606179792877,3
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,3,average,0.3332000502726505,213.37774388630834,1.1177446527750847,3
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,4,ward,0.3233655826260454,203.77901367476693,1.0638520435817103,4
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,4,complete,0.2905971722735464,191.59929922263345,1.0882024403769022,4
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,4,average,0.31084444680834206,177.53468517017873,1.0145037982411127,4
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,5,ward,0.29121662613336413,207.04225856788662,1.1831343038344548,5
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,5,complete,0.2549597831907586,175.8412255676396,1.1132544375609137,5
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,5,average,0.2796201613742366,184.92899024263144,1.0604398989175476,5
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,6,ward,0.30393507198467923,201.31033186613664,1.0857897185595615,6
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,6,complete,0.22981296114773409,167.92518688563467,1.1051791928084564,6
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,6,average,0.2926912437719595,189.44590348064725,1.0633033832325964,6
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,7,ward,0.2988663788726198,193.94469123940078,1.0522333588446882,7
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,7,complete,0.23260714075053956,172.5102586405427,1.1453932931362978,7
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,7,average,0.29793571591426055,194.62445402427986,1.1006231124289567,7
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,8,ward,0.2831314653312314,186.12710371338596,1.0585297481458775,8
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,8,complete,0.2263159679774804,167.6442634369838,1.1722077349384727,8
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,8,average,0.27195625917325456,182.45469296434524,1.110351796599169,8
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,9,ward,0.26325622119584974,176.9716585677063,1.0223768005083873,9
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,9,complete,0.20223314304110307,156.1940598781632,1.1901377237066002,9
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,9,average,0.26886910342369424,178.1799858356438,1.0512900502468443,9
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,10,ward,0.2572438513888772,171.70752003984293,0.9677782147603262,10
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,10,complete,0.2032416258658099,152.51256684682164,1.1565075494528658,10
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,10,average,0.27813881868915713,177.53411173763763,1.0120162866378597,10
