method,tag,n_clusters_param,linkage,silhouette,calinski_harabasz,davies_bouldin,n_clusters
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,2,ward,0.3331840942628044,200.36485637366778,1.1972889363750625,2
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,2,complete,0.3331840942628044,200.36485637366778,1.1972889363750625,2
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,2,average,0.3331840942628044,200.36485637366778,1.1972889363750625,2
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,3,ward,0.3393475326336923,213.12365056600322,0.9906799436020357,3
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,3,complete,0.3319189967099704,208.77969449538486,0.9811971037233643,3
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,3,average,0.3283789838440074,207.17939139195235,0.9806182037764702,3
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,4,ward,0.3589614657480653,243.2636785520721,0.844490672429805,4
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,4,complete,0.35528082728839055,242.17077346070724,0.8442603456384702,4
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,4,average,0.34662004732652635,235.52145481304282,0.8362473252516178,4
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,5,ward,0.3288995058681468,227.99717654249338,1.0331412250834409,5
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,5,complete,0.3278481545053543,238.48156309518254,0.8262002675132575,5
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,5,average,0.3403690406484771,243.01642125121114,0.9062321385849593,5
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,6,ward,0.30719058453778497,228.01852661357236,1.0377654899435658,6
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,6,complete,0.3081962701751391,226.7649743320865,0.9884848441245829,6
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,6,average,0.32285648255022004,245.04369976989403,0.9558508092082031,6
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,7,ward,0.30564218781862273,229.41097426750608,0.9921531978142698,7
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,7,complete,0.28791657726938,230.38105333620237,0.9981201616343817,7
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,7,average,0.31758745716470743,240.41336244479155,0.9964715074143368,7
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,8,ward,0.3164354760627235,240.9768403647724,0.9287952824293262,8
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,8,complete,0.2837541288939707,225.244205394506,1.010524257923937,8
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,8,average,0.3093731739333228,236.82063720924393,1.0091446682805412,8
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,9,ward,0.3081796132876729,236.02767366207337,0.9609948497787055,9
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,9,complete,0.2780448842757251,225.96563760450113,0.9807578647640748,9
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,9,average,0.30756653804278977,231.08998080869273,0.980133439712578,9
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,10,ward,0.29481145775017226,229.8157619087061,1.0496405990995323,10
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,10,complete,0.26695267262309597,224.02787006913292,0.9876057144580006,10
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,10,average,0.3098946228736762,220.40998148951832,0.9121705647390671,10
