player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,umap_4,umap_5,cluster
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,7.92891,-15.195296,18.809334,2.5686905,-28.642654,0
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,8.070789,-17.027393,20.025686,2.79517,-29.648802,0
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,9.002709,-16.997957,19.407715,3.1048098,-30.085356,0
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,8.213233,-17.60797,20.080294,4.124198,-29.78158,-1
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,8.040165,-19.317184,20.944216,3.9191463,-30.32916,1
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,8.382726,-19.174133,20.579504,4.132343,-30.977161,1
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,8.218952,-15.504997,18.82278,2.159652,-28.951426,0
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,9.165635,-19.40107,20.195992,3.6008968,-31.365673,1
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,7.154756,-15.016345,20.27084,2.4426363,-28.535374,0
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,7.6288986,-17.558142,19.850197,4.431207,-30.608923,1
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,7.4386706,-15.020563,19.743643,2.7176285,-28.750423,0
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,7.026712,-16.120277,19.815952,2.9885898,-29.293709,0
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,6.9018106,-15.21608,20.251719,2.761935,-28.653986,0
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,7.764797,-17.142353,20.389318,2.9695418,-30.369402,-1
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,7.2691784,-16.882439,20.361658,2.9433327,-29.252716,0
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,7.755436,-18.492035,20.525587,4.111821,-31.065119,1
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,7.7394705,-18.467154,20.158169,4.534695,-30.740652,1
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,8.077327,-17.965387,20.373299,4.4545417,-30.665133,1
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,7.054826,-16.804537,20.197916,3.6751096,-30.428213,1
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,7.4686885,-16.774122,19.40155,3.5959241,-30.607868,-1
Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN,6.8211913,-16.273485,20.577375,3.1196234,-28.73124,0
Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA,8.646946,-18.15137,20.011301,3.5015109,-30.23335,1
Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN,8.772935,-19.08121,20.206701,3.6763735,-30.947945,1
Jubal,Auxerre,DF,30.0,56ae428b,BRA,8.482866,-15.045235,18.650887,1.739552,-28.905552,0
Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA,7.749192,-15.063253,19.953382,2.2385027,-28.939775,0
Léo Pétrot,Saint,DF,27.0,00638016,FRA,8.163771,-16.061941,18.880102,2.8299687,-30.294323,-1
Jean-Charles Castelletto,Nantes,"DF,MF",29.0,e0f3a1f6,CMR,8.128558,-14.635277,18.800648,2.2971575,-29.077534,0
Adrien Thomasson,Lens,MF,30.0,c76b7567,FRA,7.241403,-17.938137,20.342958,3.4683847,-29.787848,0
Luis Henrique,Marseille,"DF,FW",22.0,f36d5624,BRA,7.6130466,-18.805283,20.349167,4.3214183,-30.262115,1
Moses Simon,Nantes,"FW,MF",29.0,5f3eaaf5,NGA,8.344799,-18.959084,20.857105,4.2991433,-31.048838,1
Charlie Cresswell,Toulouse,DF,21.0,4654e5f5,ENG,7.884535,-15.353711,19.174124,1.799424,-28.517094,0
Arnaud Kalimuendo,Rennes,"FW,MF",22.0,bf4c41f9,FRA,9.426088,-19.30396,20.84086,3.2589302,-30.815098,1
