method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
isomap,joueurs_ligue1_ISOMap_custom_GK,1.219782015957319,5,0.3500166294259629,62.556162567715624,0.8133189642649442,2,61
isomap,joueurs_ligue1_ISOMap_custom_GK,1.2955003796494309,5,0.24585226358535492,36.75073455945828,0.8977213626561319,3,46
isomap,joueurs_ligue1_ISOMap_custom_GK,1.3712187433415428,5,0.24300969559157595,34.584039562516615,0.8680740670941095,3,37
isomap,joueurs_ligue1_ISOMap_custom_GK,1.4469371070336547,5,,,,1,28
isomap,joueurs_ligue1_ISOMap_custom_GK,1.5226554707257667,5,,,,1,20
isomap,joueurs_ligue1_ISOMap_custom_GK,1.5983738344178786,5,,,,1,16
isomap,joueurs_ligue1_ISOMap_custom_GK,1.6740921981099905,5,,,,1,13
isomap,joueurs_ligue1_ISOMap_custom_GK,1.7498105618021025,5,,,,1,7
isomap,joueurs_ligue1_ISOMap_custom_GK,1.8255289254942144,5,,,,1,3
isomap,joueurs_ligue1_ISOMap_custom_GK,1.9012472891863264,5,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom_GK,1.9769656528784383,5,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom_GK,2.0526840165705504,5,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom_GK,2.128402380262662,5,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom_GK,2.204120743954774,5,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom_GK,2.279839107646886,5,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom_GK,1.219782015957319,7,0.36378394593948205,65.7526825364956,0.79942654124668,2,79
isomap,joueurs_ligue1_ISOMap_custom_GK,1.2955003796494309,7,0.35481324052475527,63.68033320041676,0.8082683559932092,2,66
isomap,joueurs_ligue1_ISOMap_custom_GK,1.3712187433415428,7,0.33866419675654624,60.188290254227674,0.824369154062019,2,47
isomap,joueurs_ligue1_ISOMap_custom_GK,1.4469371070336547,7,,,,1,33
isomap,joueurs_ligue1_ISOMap_custom_GK,1.5226554707257667,7,,,,1,28
isomap,joueurs_ligue1_ISOMap_custom_GK,1.5983738344178786,7,,,,1,19
isomap,joueurs_ligue1_ISOMap_custom_GK,1.6740921981099905,7,,,,1,15
isomap,joueurs_ligue1_ISOMap_custom_GK,1.7498105618021025,7,,,,1,11
isomap,joueurs_ligue1_ISOMap_custom_GK,1.8255289254942144,7,,,,1,7
isomap,joueurs_ligue1_ISOMap_custom_GK,1.9012472891863264,7,,,,1,4
isomap,joueurs_ligue1_ISOMap_custom_GK,1.9769656528784383,7,,,,1,3
isomap,joueurs_ligue1_ISOMap_custom_GK,2.0526840165705504,7,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom_GK,2.128402380262662,7,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom_GK,2.204120743954774,7,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom_GK,2.279839107646886,7,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom_GK,1.219782015957319,10,0.36893706520812364,63.98859038236658,0.7783075341159214,2,90
isomap,joueurs_ligue1_ISOMap_custom_GK,1.2955003796494309,10,0.35752727332916884,61.98658231218477,0.7878128354739726,2,74
isomap,joueurs_ligue1_ISOMap_custom_GK,1.3712187433415428,10,0.35046726240736326,60.757621969182026,0.7940385348389022,2,64
isomap,joueurs_ligue1_ISOMap_custom_GK,1.4469371070336547,10,0.22592792777317158,38.798279768919734,1.0221634475473675,3,46
isomap,joueurs_ligue1_ISOMap_custom_GK,1.5226554707257667,10,0.323587407324535,59.00052265078086,0.8594512989086955,2,34
isomap,joueurs_ligue1_ISOMap_custom_GK,1.5983738344178786,10,,,,1,29
isomap,joueurs_ligue1_ISOMap_custom_GK,1.6740921981099905,10,,,,1,22
isomap,joueurs_ligue1_ISOMap_custom_GK,1.7498105618021025,10,,,,1,17
isomap,joueurs_ligue1_ISOMap_custom_GK,1.8255289254942144,10,,,,1,10
isomap,joueurs_ligue1_ISOMap_custom_GK,1.9012472891863264,10,,,,1,9
isomap,joueurs_ligue1_ISOMap_custom_GK,1.9769656528784383,10,,,,1,3
isomap,joueurs_ligue1_ISOMap_custom_GK,2.0526840165705504,10,,,,1,3
isomap,joueurs_ligue1_ISOMap_custom_GK,2.128402380262662,10,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom_GK,2.204120743954774,10,,,,1,2
isomap,joueurs_ligue1_ISOMap_custom_GK,2.279839107646886,10,,,,1,1
isomap,joueurs_ligue1_ISOMap_custom_GK,1.219782015957319,15,0.29025662362378424,73.98822272444092,1.1644115715509775,3,122
isomap,joueurs_ligue1_ISOMap_custom_GK,1.2955003796494309,15,0.37398243489770333,62.32412235499558,0.7610276487926017,2,100
isomap,joueurs_ligue1_ISOMap_custom_GK,1.3712187433415428,15,0.35886955062226267,62.6066806919824,0.7854195096396507,2,76
isomap,joueurs_ligue1_ISOMap_custom_GK,1.4469371070336547,15,0.34798687917642845,62.42822676107152,0.8170347691104131,2,70
isomap,joueurs_ligue1_ISOMap_custom_GK,1.5226554707257667,15,0.33684794343186136,61.87674488698591,0.8452780556844424,2,52
isomap,joueurs_ligue1_ISOMap_custom_GK,1.5983738344178786,15,0.3268968599297428,59.750151725071554,0.8553992483108384,2,38
isomap,joueurs_ligue1_ISOMap_custom_GK,1.6740921981099905,15,0.3280887934410396,61.96361337147576,0.871330736786569,2,34
isomap,joueurs_ligue1_ISOMap_custom_GK,1.7498105618021025,15,,,,1,23
isomap,joueurs_ligue1_ISOMap_custom_GK,1.8255289254942144,15,,,,1,16
isomap,joueurs_ligue1_ISOMap_custom_GK,1.9012472891863264,15,,,,1,12
isomap,joueurs_ligue1_ISOMap_custom_GK,1.9769656528784383,15,,,,1,10
isomap,joueurs_ligue1_ISOMap_custom_GK,2.0526840165705504,15,,,,1,6
isomap,joueurs_ligue1_ISOMap_custom_GK,2.128402380262662,15,,,,1,5
isomap,joueurs_ligue1_ISOMap_custom_GK,2.204120743954774,15,,,,1,4
isomap,joueurs_ligue1_ISOMap_custom_GK,2.279839107646886,15,,,,1,4
