method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
isomap,joueurs_ligue1_ISOMap_per90,1.2034585989253086,5,0.12098141270846259,9.821634164233465,1.2433167768956,2,86
isomap,joueurs_ligue1_ISOMap_per90,1.2921440156943915,5,0.0845231985888168,12.49110967307537,1.111209407597463,3,61
isomap,joueurs_ligue1_ISOMap_per90,1.3808294324634744,5,0.2519985941337887,7.43697993166128,0.8210575390000552,2,44
isomap,joueurs_ligue1_ISOMap_per90,1.4695148492325574,5,,,,1,33
isomap,joueurs_ligue1_ISOMap_per90,1.5582002660016403,5,,,,1,24
isomap,joueurs_ligue1_ISOMap_per90,1.6468856827707232,5,0.29065891457426885,7.9834301562965795,0.873458342755239,2,16
isomap,joueurs_ligue1_ISOMap_per90,1.7355710995398064,5,,,,1,9
isomap,joueurs_ligue1_ISOMap_per90,1.824256516308889,5,,,,1,8
isomap,joueurs_ligue1_ISOMap_per90,1.9129419330779722,5,,,,1,7
isomap,joueurs_ligue1_ISOMap_per90,2.001627349847055,5,,,,1,7
isomap,joueurs_ligue1_ISOMap_per90,2.090312766616138,5,,,,1,5
isomap,joueurs_ligue1_ISOMap_per90,2.1789981833852208,5,,,,1,3
isomap,joueurs_ligue1_ISOMap_per90,2.267683600154304,5,,,,1,3
isomap,joueurs_ligue1_ISOMap_per90,2.356369016923387,5,,,,1,2
isomap,joueurs_ligue1_ISOMap_per90,2.4450544336924698,5,,,,1,1
isomap,joueurs_ligue1_ISOMap_per90,1.2034585989253086,7,0.19670485313980862,44.54468602863866,1.5382925001768428,2,115
isomap,joueurs_ligue1_ISOMap_per90,1.2921440156943915,7,0.11182050581478599,9.42234402690242,1.2651482460793444,2,78
isomap,joueurs_ligue1_ISOMap_per90,1.3808294324634744,7,,,,1,62
isomap,joueurs_ligue1_ISOMap_per90,1.4695148492325574,7,0.2805493952829957,13.567812279201522,0.8180171922786791,2,39
isomap,joueurs_ligue1_ISOMap_per90,1.5582002660016403,7,,,,1,30
isomap,joueurs_ligue1_ISOMap_per90,1.6468856827707232,7,,,,1,22
isomap,joueurs_ligue1_ISOMap_per90,1.7355710995398064,7,,,,1,11
isomap,joueurs_ligue1_ISOMap_per90,1.824256516308889,7,,,,1,9
isomap,joueurs_ligue1_ISOMap_per90,1.9129419330779722,7,,,,1,7
isomap,joueurs_ligue1_ISOMap_per90,2.001627349847055,7,,,,1,7
isomap,joueurs_ligue1_ISOMap_per90,2.090312766616138,7,,,,1,5
isomap,joueurs_ligue1_ISOMap_per90,2.1789981833852208,7,,,,1,5
isomap,joueurs_ligue1_ISOMap_per90,2.267683600154304,7,,,,1,3
isomap,joueurs_ligue1_ISOMap_per90,2.356369016923387,7,,,,1,2
isomap,joueurs_ligue1_ISOMap_per90,2.4450544336924698,7,,,,1,1
isomap,joueurs_ligue1_ISOMap_per90,1.2034585989253086,10,0.2016538009866577,41.18073071078328,1.469558640706745,2,131
isomap,joueurs_ligue1_ISOMap_per90,1.2921440156943915,10,,,,1,109
