method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
isomap,joueurs_ligue1_ISOMap_raw,0.7234217331207965,5,0.20517654781399952,16.816756715756508,0.8049906203716092,3,146
isomap,joueurs_ligue1_ISOMap_raw,0.8507117132454122,5,0.33693592159429653,20.18377049546391,0.5774744057066198,3,109
isomap,joueurs_ligue1_ISOMap_raw,0.978001693370028,5,,,,1,88
isomap,joueurs_ligue1_ISOMap_raw,1.1052916734946436,5,,,,1,67
isomap,joueurs_ligue1_ISOMap_raw,1.2325816536192593,5,,,,1,58
isomap,joueurs_ligue1_ISOMap_raw,1.359871633743875,5,,,,1,46
isomap,joueurs_ligue1_ISOMap_raw,1.4871616138684907,5,,,,1,33
isomap,joueurs_ligue1_ISOMap_raw,1.6144515939931066,5,,,,1,24
isomap,joueurs_ligue1_ISOMap_raw,1.741741574117722,5,,,,1,20
isomap,joueurs_ligue1_ISOMap_raw,1.869031554242338,5,,,,1,16
isomap,joueurs_ligue1_ISOMap_raw,1.9963215343669534,5,,,,1,10
isomap,joueurs_ligue1_ISOMap_raw,2.1236115144915693,5,,,,1,4
isomap,joueurs_ligue1_ISOMap_raw,2.250901494616185,5,,,,1,3
isomap,joueurs_ligue1_ISOMap_raw,2.3781914747408006,5,,,,1,3
isomap,joueurs_ligue1_ISOMap_raw,2.5054814548654165,5,,,,1,2
isomap,joueurs_ligue1_ISOMap_raw,0.7234217331207965,7,0.406533212202096,51.69348437238454,0.7511551802505838,2,176
isomap,joueurs_ligue1_ISOMap_raw,0.8507117132454122,7,,,,1,127
isomap,joueurs_ligue1_ISOMap_raw,0.978001693370028,7,,,,1,100
isomap,joueurs_ligue1_ISOMap_raw,1.1052916734946436,7,,,,1,73
isomap,joueurs_ligue1_ISOMap_raw,1.2325816536192593,7,,,,1,64
isomap,joueurs_ligue1_ISOMap_raw,1.359871633743875,7,,,,1,48
isomap,joueurs_ligue1_ISOMap_raw,1.4871616138684907,7,,,,1,42
isomap,joueurs_ligue1_ISOMap_raw,1.6144515939931066,7,,,,1,28
isomap,joueurs_ligue1_ISOMap_raw,1.741741574117722,7,,,,1,23
isomap,joueurs_ligue1_ISOMap_raw,1.869031554242338,7,,,,1,18
isomap,joueurs_ligue1_ISOMap_raw,1.9963215343669534,7,,,,1,13
isomap,joueurs_ligue1_ISOMap_raw,2.1236115144915693,7,,,,1,6
isomap,joueurs_ligue1_ISOMap_raw,2.250901494616185,7,,,,1,3
isomap,joueurs_ligue1_ISOMap_raw,2.3781914747408006,7,,,,1,3
isomap,joueurs_ligue1_ISOMap_raw,2.5054814548654165,7,,,,1,3
isomap,joueurs_ligue1_ISOMap_raw,0.7234217331207965,10,,,,1,199
isomap,joueurs_ligue1_ISOMap_raw,0.8507117132454122,10,,,,1,151
isomap,joueurs_ligue1_ISOMap_raw,0.978001693370028,10,,,,1,116
isomap,joueurs_ligue1_ISOMap_raw,1.1052916734946436,10,,,,1,87
isomap,joueurs_ligue1_ISOMap_raw,1.2325816536192593,10,,,,1,69
isomap,joueurs_ligue1_ISOMap_raw,1.359871633743875,10,,,,1,54
isomap,joueurs_ligue1_ISOMap_raw,1.4871616138684907,10,,,,1,45
isomap,joueurs_ligue1_ISOMap_raw,1.6144515939931066,10,,,,1,35
isomap,joueurs_ligue1_ISOMap_raw,1.741741574117722,10,,,,1,26
isomap,joueurs_ligue1_ISOMap_raw,1.869031554242338,10,,,,1,21
isomap,joueurs_ligue1_ISOMap_raw,1.9963215343669534,10,,,,1,13
isomap,joueurs_ligue1_ISOMap_raw,2.1236115144915693,10,,,,1,10
isomap,joueurs_ligue1_ISOMap_raw,2.250901494616185,10,,,,1,5
isomap,joueurs_ligue1_ISOMap_raw,2.3781914747408006,10,,,,1,5
isomap,joueurs_ligue1_ISOMap_raw,2.5054814548654165,10,,,,1,3
isomap,joueurs_ligue1_ISOMap_raw,0.7234217331207965,15,,,,1,229
isomap,joueurs_ligue1_ISOMap_raw,0.8507117132454122,15,,,,1,193
isomap,joueurs_ligue1_ISOMap_raw,0.978001693370028,15,,,,1,138
isomap,joueurs_ligue1_ISOMap_raw,1.1052916734946436,15,,,,1,104
isomap,joueurs_ligue1_ISOMap_raw,1.2325816536192593,15,,,,1,82
isomap,joueurs_ligue1_ISOMap_raw,1.359871633743875,15,,,,1,62
isomap,joueurs_ligue1_ISOMap_raw,1.4871616138684907,15,,,,1,51
isomap,joueurs_ligue1_ISOMap_raw,1.6144515939931066,15,,,,1,43
isomap,joueurs_ligue1_ISOMap_raw,1.741741574117722,15,,,,1,34
isomap,joueurs_ligue1_ISOMap_raw,1.869031554242338,15,,,,1,25
