method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
pca,joueurs_ligue1_PCA_custom_GK,4.862859738237236,5,0.15010858006624975,6.038735941220049,1.5088534762733778,2,149
pca,joueurs_ligue1_PCA_custom_GK,5.081976172187974,5,0.1382221890471418,5.7986490664649635,1.527816952464315,2,126
pca,joueurs_ligue1_PCA_custom_GK,5.301092606138712,5,,,,1,105
pca,joueurs_ligue1_PCA_custom_GK,5.520209040089451,5,,,,1,83
pca,joueurs_ligue1_PCA_custom_GK,5.739325474040189,5,,,,1,71
pca,joueurs_ligue1_PCA_custom_GK,5.958441907990927,5,,,,1,58
pca,joueurs_ligue1_PCA_custom_GK,6.1775583419416655,5,,,,1,44
pca,joueurs_ligue1_PCA_custom_GK,6.396674775892404,5,,,,1,38
pca,joueurs_ligue1_PCA_custom_GK,6.615791209843143,5,,,,1,32
pca,joueurs_ligue1_PCA_custom_GK,6.834907643793881,5,,,,1,25
pca,joueurs_ligue1_PCA_custom_GK,7.054024077744619,5,,,,1,20
pca,joueurs_ligue1_PCA_custom_GK,7.273140511695358,5,,,,1,14
pca,joueurs_ligue1_PCA_custom_GK,7.492256945646096,5,,,,1,10
pca,joueurs_ligue1_PCA_custom_GK,7.711373379596834,5,,,,1,9
pca,joueurs_ligue1_PCA_custom_GK,7.930489813547572,5,,,,1,6
pca,joueurs_ligue1_PCA_custom_GK,4.862859738237236,7,,,,1,160
pca,joueurs_ligue1_PCA_custom_GK,5.081976172187974,7,,,,1,134
pca,joueurs_ligue1_PCA_custom_GK,5.301092606138712,7,,,,1,112
pca,joueurs_ligue1_PCA_custom_GK,5.520209040089451,7,,,,1,84
pca,joueurs_ligue1_PCA_custom_GK,5.739325474040189,7,,,,1,73
pca,joueurs_ligue1_PCA_custom_GK,5.958441907990927,7,,,,1,60
pca,joueurs_ligue1_PCA_custom_GK,6.1775583419416655,7,,,,1,45
pca,joueurs_ligue1_PCA_custom_GK,6.396674775892404,7,,,,1,39
pca,joueurs_ligue1_PCA_custom_GK,6.615791209843143,7,,,,1,32
pca,joueurs_ligue1_PCA_custom_GK,6.834907643793881,7,,,,1,25
pca,joueurs_ligue1_PCA_custom_GK,7.054024077744619,7,,,,1,20
pca,joueurs_ligue1_PCA_custom_GK,7.273140511695358,7,,,,1,14
pca,joueurs_ligue1_PCA_custom_GK,7.492256945646096,7,,,,1,10
pca,joueurs_ligue1_PCA_custom_GK,7.711373379596834,7,,,,1,10
pca,joueurs_ligue1_PCA_custom_GK,7.930489813547572,7,,,,1,7
pca,joueurs_ligue1_PCA_custom_GK,4.862859738237236,10,,,,1,166
pca,joueurs_ligue1_PCA_custom_GK,5.081976172187974,10,,,,1,134
pca,joueurs_ligue1_PCA_custom_GK,5.301092606138712,10,,,,1,116
pca,joueurs_ligue1_PCA_custom_GK,5.520209040089451,10,,,,1,91
