method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
pca,joueurs_ligue1_PCA_custom,5.038148036694812,5,,,,1,159
pca,joueurs_ligue1_PCA_custom,5.24914006073665,5,,,,1,128
pca,joueurs_ligue1_PCA_custom,5.460132084778488,5,,,,1,103
pca,joueurs_ligue1_PCA_custom,5.671124108820326,5,,,,1,87
pca,joueurs_ligue1_PCA_custom,5.882116132862164,5,,,,1,68
pca,joueurs_ligue1_PCA_custom,6.093108156904002,5,,,,1,55
pca,joueurs_ligue1_PCA_custom,6.30410018094584,5,,,,1,44
pca,joueurs_ligue1_PCA_custom,6.515092204987678,5,,,,1,38
pca,joueurs_ligue1_PCA_custom,6.7260842290295155,5,,,,1,33
pca,joueurs_ligue1_PCA_custom,6.9370762530713534,5,,,,1,26
pca,joueurs_ligue1_PCA_custom,7.148068277113191,5,,,,1,22
pca,joueurs_ligue1_PCA_custom,7.359060301155029,5,,,,1,20
pca,joueurs_ligue1_PCA_custom,7.570052325196866,5,,,,1,14
pca,joueurs_ligue1_PCA_custom,7.781044349238704,5,,,,1,10
pca,joueurs_ligue1_PCA_custom,7.992036373280542,5,,,,1,6
pca,joueurs_ligue1_PCA_custom,5.038148036694812,7,,,,1,163
pca,joueurs_ligue1_PCA_custom,5.24914006073665,7,,,,1,133
pca,joueurs_ligue1_PCA_custom,5.460132084778488,7,,,,1,109
pca,joueurs_ligue1_PCA_custom,5.671124108820326,7,,,,1,88
pca,joueurs_ligue1_PCA_custom,5.882116132862164,7,,,,1,68
pca,joueurs_ligue1_PCA_custom,6.093108156904002,7,,,,1,55
pca,joueurs_ligue1_PCA_custom,6.30410018094584,7,,,,1,44
pca,joueurs_ligue1_PCA_custom,6.515092204987678,7,,,,1,38
pca,joueurs_ligue1_PCA_custom,6.7260842290295155,7,,,,1,33
pca,joueurs_ligue1_PCA_custom,6.9370762530713534,7,,,,1,27
pca,joueurs_ligue1_PCA_custom,7.148068277113191,7,,,,1,23
pca,joueurs_ligue1_PCA_custom,7.359060301155029,7,,,,1,20
pca,joueurs_ligue1_PCA_custom,7.570052325196866,7,,,,1,14
pca,joueurs_ligue1_PCA_custom,7.781044349238704,7,,,,1,10
pca,joueurs_ligue1_PCA_custom,7.992036373280542,7,,,,1,6
pca,joueurs_ligue1_PCA_custom,5.038148036694812,10,,,,1,170
pca,joueurs_ligue1_PCA_custom,5.24914006073665,10,,,,1,140
pca,joueurs_ligue1_PCA_custom,5.460132084778488,10,,,,1,113
pca,joueurs_ligue1_PCA_custom,5.671124108820326,10,,,,1,90
pca,joueurs_ligue1_PCA_custom,5.882116132862164,10,,,,1,70
pca,joueurs_ligue1_PCA_custom,6.093108156904002,10,,,,1,57
pca,joueurs_ligue1_PCA_custom,6.30410018094584,10,,,,1,44
pca,joueurs_ligue1_PCA_custom,6.515092204987678,10,,,,1,39
pca,joueurs_ligue1_PCA_custom,6.7260842290295155,10,,,,1,33
pca,joueurs_ligue1_PCA_custom,6.9370762530713534,10,,,,1,27
pca,joueurs_ligue1_PCA_custom,7.148068277113191,10,,,,1,23
pca,joueurs_ligue1_PCA_custom,7.359060301155029,10,,,,1,20
pca,joueurs_ligue1_PCA_custom,7.570052325196866,10,,,,1,14
pca,joueurs_ligue1_PCA_custom,7.781044349238704,10,,,,1,10
pca,joueurs_ligue1_PCA_custom,7.992036373280542,10,,,,1,6
pca,joueurs_ligue1_PCA_custom,5.038148036694812,15,,,,1,178
pca,joueurs_ligue1_PCA_custom,5.24914006073665,15,,,,1,147
pca,joueurs_ligue1_PCA_custom,5.460132084778488,15,,,,1,119
pca,joueurs_ligue1_PCA_custom,5.671124108820326,15,,,,1,97
pca,joueurs_ligue1_PCA_custom,5.882116132862164,15,,,,1,71
pca,joueurs_ligue1_PCA_custom,6.093108156904002,15,,,,1,58
