method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
pca,joueurs_ligue1_PCA_per90,4.428318818450513,5,0.1627726251970299,6.428005882084595,1.4560614801174094,2,145
pca,joueurs_ligue1_PCA_per90,4.640707388326909,5,,,,1,122
pca,joueurs_ligue1_PCA_per90,4.853095958203306,5,,,,1,99
pca,joueurs_ligue1_PCA_per90,5.065484528079703,5,,,,1,82
pca,joueurs_ligue1_PCA_per90,5.2778730979561,5,,,,1,70
pca,joueurs_ligue1_PCA_per90,5.490261667832496,5,,,,1,56
pca,joueurs_ligue1_PCA_per90,5.702650237708893,5,,,,1,43
pca,joueurs_ligue1_PCA_per90,5.91503880758529,5,,,,1,34
pca,joueurs_ligue1_PCA_per90,6.127427377461687,5,,,,1,26
pca,joueurs_ligue1_PCA_per90,6.339815947338083,5,,,,1,20
pca,joueurs_ligue1_PCA_per90,6.55220451721448,5,,,,1,14
pca,joueurs_ligue1_PCA_per90,6.764593087090876,5,,,,1,13
pca,joueurs_ligue1_PCA_per90,6.976981656967274,5,,,,1,13
pca,joueurs_ligue1_PCA_per90,7.18937022684367,5,,,,1,12
pca,joueurs_ligue1_PCA_per90,7.401758796720067,5,,,,1,9
pca,joueurs_ligue1_PCA_per90,4.428318818450513,7,,,,1,154
pca,joueurs_ligue1_PCA_per90,4.640707388326909,7,,,,1,123
pca,joueurs_ligue1_PCA_per90,4.853095958203306,7,,,,1,101
pca,joueurs_ligue1_PCA_per90,5.065484528079703,7,,,,1,85
pca,joueurs_ligue1_PCA_per90,5.2778730979561,7,,,,1,71
pca,joueurs_ligue1_PCA_per90,5.490261667832496,7,,,,1,61
pca,joueurs_ligue1_PCA_per90,5.702650237708893,7,,,,1,44
pca,joueurs_ligue1_PCA_per90,5.91503880758529,7,,,,1,36
pca,joueurs_ligue1_PCA_per90,6.127427377461687,7,,,,1,28
pca,joueurs_ligue1_PCA_per90,6.339815947338083,7,,,,1,22
pca,joueurs_ligue1_PCA_per90,6.55220451721448,7,,,,1,14
pca,joueurs_ligue1_PCA_per90,6.764593087090876,7,,,,1,13
pca,joueurs_ligue1_PCA_per90,6.976981656967274,7,,,,1,13
pca,joueurs_ligue1_PCA_per90,7.18937022684367,7,,,,1,12
pca,joueurs_ligue1_PCA_per90,7.401758796720067,7,,,,1,9
pca,joueurs_ligue1_PCA_per90,4.428318818450513,10,,,,1,157
pca,joueurs_ligue1_PCA_per90,4.640707388326909,10,,,,1,130
pca,joueurs_ligue1_PCA_per90,4.853095958203306,10,,,,1,108
pca,joueurs_ligue1_PCA_per90,5.065484528079703,10,,,,1,86
pca,joueurs_ligue1_PCA_per90,5.2778730979561,10,,,,1,74
pca,joueurs_ligue1_PCA_per90,5.490261667832496,10,,,,1,61
pca,joueurs_ligue1_PCA_per90,5.702650237708893,10,,,,1,47
pca,joueurs_ligue1_PCA_per90,5.91503880758529,10,,,,1,40
pca,joueurs_ligue1_PCA_per90,6.127427377461687,10,,,,1,30
pca,joueurs_ligue1_PCA_per90,6.339815947338083,10,,,,1,24
pca,joueurs_ligue1_PCA_per90,6.55220451721448,10,,,,1,15
pca,joueurs_ligue1_PCA_per90,6.764593087090876,10,,,,1,14
pca,joueurs_ligue1_PCA_per90,6.976981656967274,10,,,,1,13
pca,joueurs_ligue1_PCA_per90,7.18937022684367,10,,,,1,12
pca,joueurs_ligue1_PCA_per90,7.401758796720067,10,,,,1,9
pca,joueurs_ligue1_PCA_per90,4.428318818450513,15,,,,1,173
pca,joueurs_ligue1_PCA_per90,4.640707388326909,15,,,,1,136
pca,joueurs_ligue1_PCA_per90,4.853095958203306,15,,,,1,112
pca,joueurs_ligue1_PCA_per90,5.065484528079703,15,,,,1,93
pca,joueurs_ligue1_PCA_per90,5.2778730979561,15,,,,1,78
pca,joueurs_ligue1_PCA_per90,5.490261667832496,15,,,,1,63
pca,joueurs_ligue1_PCA_per90,5.702650237708893,15,,,,1,48
pca,joueurs_ligue1_PCA_per90,5.91503880758529,15,,,,1,41
pca,joueurs_ligue1_PCA_per90,6.127427377461687,15,,,,1,33
pca,joueurs_ligue1_PCA_per90,6.339815947338083,15,,,,1,27
pca,joueurs_ligue1_PCA_per90,6.55220451721448,15,,,,1,17
pca,joueurs_ligue1_PCA_per90,6.764593087090876,15,,,,1,15
pca,joueurs_ligue1_PCA_per90,6.976981656967274,15,,,,1,14
pca,joueurs_ligue1_PCA_per90,7.18937022684367,15,,,,1,13
pca,joueurs_ligue1_PCA_per90,7.401758796720067,15,,,,1,9
pca,joueurs_ligue1_PCA_per90,4.428318818450513,20,,,,1,179
pca,joueurs_ligue1_PCA_per90,4.640707388326909,20,,,,1,147
pca,joueurs_ligue1_PCA_per90,4.853095958203306,20,,,,1,117
pca,joueurs_ligue1_PCA_per90,5.065484528079703,20,,,,1,95
pca,joueurs_ligue1_PCA_per90,5.2778730979561,20,,,,1,80
pca,joueurs_ligue1_PCA_per90,5.490261667832496,20,,,,1,63
pca,joueurs_ligue1_PCA_per90,5.702650237708893,20,,,,1,48
pca,joueurs_ligue1_PCA_per90,5.91503880758529,20,,,,1,41
pca,joueurs_ligue1_PCA_per90,6.127427377461687,20,,,,1,33
pca,joueurs_ligue1_PCA_per90,6.339815947338083,20,,,,1,29
pca,joueurs_ligue1_PCA_per90,6.55220451721448,20,,,,1,17
pca,joueurs_ligue1_PCA_per90,6.764593087090876,20,,,,1,15
pca,joueurs_ligue1_PCA_per90,6.976981656967274,20,,,,1,14
pca,joueurs_ligue1_PCA_per90,7.18937022684367,20,,,,1,13
pca,joueurs_ligue1_PCA_per90,7.401758796720067,20,,,,1,10
