method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
pca,joueurs_ligue1_PCA_raw,2.9030937669382464,5,,,,1,205
pca,joueurs_ligue1_PCA_raw,3.165418872948864,5,,,,1,187
pca,joueurs_ligue1_PCA_raw,3.4277439789594815,5,,,,1,159
pca,joueurs_ligue1_PCA_raw,3.6900690849700992,5,0.20448473396514097,8.81363444781433,1.3680668430340401,2,136
pca,joueurs_ligue1_PCA_raw,3.9523941909807165,5,0.1886900095123718,9.392490720095738,1.4375787899151855,2,116
pca,joueurs_ligue1_PCA_raw,4.214719296991334,5,,,,1,95
pca,joueurs_ligue1_PCA_raw,4.477044403001952,5,,,,1,78
pca,joueurs_ligue1_PCA_raw,4.73936950901257,5,,,,1,62
pca,joueurs_ligue1_PCA_raw,5.001694615023187,5,,,,1,45
pca,joueurs_ligue1_PCA_raw,5.2640197210338044,5,,,,1,32
pca,joueurs_ligue1_PCA_raw,5.526344827044422,5,,,,1,28
pca,joueurs_ligue1_PCA_raw,5.78866993305504,5,,,,1,23
pca,joueurs_ligue1_PCA_raw,6.050995039065658,5,,,,1,18
pca,joueurs_ligue1_PCA_raw,6.3133201450762755,5,,,,1,13
pca,joueurs_ligue1_PCA_raw,6.575645251086892,5,,,,1,11
pca,joueurs_ligue1_PCA_raw,2.9030937669382464,7,,,,1,210
pca,joueurs_ligue1_PCA_raw,3.165418872948864,7,,,,1,189
pca,joueurs_ligue1_PCA_raw,3.4277439789594815,7,,,,1,165
pca,joueurs_ligue1_PCA_raw,3.6900690849700992,7,,,,1,144
pca,joueurs_ligue1_PCA_raw,3.9523941909807165,7,,,,1,126
pca,joueurs_ligue1_PCA_raw,4.214719296991334,7,,,,1,97
pca,joueurs_ligue1_PCA_raw,4.477044403001952,7,,,,1,83
pca,joueurs_ligue1_PCA_raw,4.73936950901257,7,,,,1,64
pca,joueurs_ligue1_PCA_raw,5.001694615023187,7,,,,1,45
pca,joueurs_ligue1_PCA_raw,5.2640197210338044,7,,,,1,32
pca,joueurs_ligue1_PCA_raw,5.526344827044422,7,,,,1,28
pca,joueurs_ligue1_PCA_raw,5.78866993305504,7,,,,1,23
pca,joueurs_ligue1_PCA_raw,6.050995039065658,7,,,,1,18
pca,joueurs_ligue1_PCA_raw,6.3133201450762755,7,,,,1,14
pca,joueurs_ligue1_PCA_raw,6.575645251086892,7,,,,1,11
pca,joueurs_ligue1_PCA_raw,2.9030937669382464,10,,,,1,218
pca,joueurs_ligue1_PCA_raw,3.165418872948864,10,,,,1,190
pca,joueurs_ligue1_PCA_raw,3.4277439789594815,10,,,,1,166
pca,joueurs_ligue1_PCA_raw,3.6900690849700992,10,,,,1,146
pca,joueurs_ligue1_PCA_raw,3.9523941909807165,10,,,,1,128
pca,joueurs_ligue1_PCA_raw,4.214719296991334,10,,,,1,106
pca,joueurs_ligue1_PCA_raw,4.477044403001952,10,,,,1,86
pca,joueurs_ligue1_PCA_raw,4.73936950901257,10,,,,1,64
