method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
tsne,joueurs_ligue1_tSNE_custom,0.9521711055021824,5,,,,1,7
tsne,joueurs_ligue1_tSNE_custom,0.9892498191690862,5,,,,1,5
tsne,joueurs_ligue1_tSNE_custom,1.02632853283599,5,,,,1,4
tsne,joueurs_ligue1_tSNE_custom,1.0634072465028939,5,,,,1,2
tsne,joueurs_ligue1_tSNE_custom,1.1004859601697976,5,,,,1,1
tsne,joueurs_ligue1_tSNE_custom,1.1375646738367013,5,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.174643387503605,5,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.2117221011705088,5,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.2488008148374126,5,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.2858795285043163,5,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.3229582421712203,5,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.360036955838124,5,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.3971156695050277,5,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.4341943831719315,5,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.4712730968388352,5,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,0.9521711055021824,7,,,,1,14
tsne,joueurs_ligue1_tSNE_custom,0.9892498191690862,7,,,,1,8
tsne,joueurs_ligue1_tSNE_custom,1.02632853283599,7,,,,1,5
tsne,joueurs_ligue1_tSNE_custom,1.0634072465028939,7,,,,1,3
tsne,joueurs_ligue1_tSNE_custom,1.1004859601697976,7,,,,1,2
tsne,joueurs_ligue1_tSNE_custom,1.1375646738367013,7,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.174643387503605,7,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.2117221011705088,7,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.2488008148374126,7,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.2858795285043163,7,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.3229582421712203,7,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.360036955838124,7,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.3971156695050277,7,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.4341943831719315,7,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.4712730968388352,7,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,0.9521711055021824,10,,,,1,20
tsne,joueurs_ligue1_tSNE_custom,0.9892498191690862,10,,,,1,11
tsne,joueurs_ligue1_tSNE_custom,1.02632853283599,10,,,,1,10
tsne,joueurs_ligue1_tSNE_custom,1.0634072465028939,10,,,,1,5
tsne,joueurs_ligue1_tSNE_custom,1.1004859601697976,10,,,,1,3
tsne,joueurs_ligue1_tSNE_custom,1.1375646738367013,10,,,,1,1
tsne,joueurs_ligue1_tSNE_custom,1.174643387503605,10,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.2117221011705088,10,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.2488008148374126,10,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.2858795285043163,10,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.3229582421712203,10,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.360036955838124,10,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.3971156695050277,10,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.4341943831719315,10,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.4712730968388352,10,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,0.9521711055021824,15,0.24298251723349984,100.93052614924133,1.2178639998940068,3,72
tsne,joueurs_ligue1_tSNE_custom,0.9892498191690862,15,0.2935541847416097,129.28866582193,1.362806726412389,2,44
tsne,joueurs_ligue1_tSNE_custom,1.02632853283599,15,,,,1,30
tsne,joueurs_ligue1_tSNE_custom,1.0634072465028939,15,,,,1,20
tsne,joueurs_ligue1_tSNE_custom,1.1004859601697976,15,,,,1,13
tsne,joueurs_ligue1_tSNE_custom,1.1375646738367013,15,,,,1,4
tsne,joueurs_ligue1_tSNE_custom,1.174643387503605,15,,,,1,2
tsne,joueurs_ligue1_tSNE_custom,1.2117221011705088,15,,,,1,1
tsne,joueurs_ligue1_tSNE_custom,1.2488008148374126,15,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.2858795285043163,15,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.3229582421712203,15,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.360036955838124,15,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.3971156695050277,15,,,,1,0
tsne,joueurs_ligue1_tSNE_custom,1.4341943831719315,15,,,,1,0
