method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
tsne,joueurs_ligue1_tSNE_per90,0.9772066728952029,5,,,,1,7
tsne,joueurs_ligue1_tSNE_per90,1.01450332641079,5,,,,1,7
tsne,joueurs_ligue1_tSNE_per90,1.0517999799263773,5,,,,1,4
tsne,joueurs_ligue1_tSNE_per90,1.0890966334419647,5,,,,1,3
tsne,joueurs_ligue1_tSNE_per90,1.126393286957552,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.1636899404731391,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.2009865939887263,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.2382832475043135,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.2755799010199007,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.312876554535488,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.3501732080510753,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.3874698615666625,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.4247665150822497,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.462063168597837,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.4993598221134241,5,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,0.9772066728952029,7,,,,1,9
tsne,joueurs_ligue1_tSNE_per90,1.01450332641079,7,,,,1,9
tsne,joueurs_ligue1_tSNE_per90,1.0517999799263773,7,,,,1,6
tsne,joueurs_ligue1_tSNE_per90,1.0890966334419647,7,,,,1,4
tsne,joueurs_ligue1_tSNE_per90,1.126393286957552,7,,,,1,2
tsne,joueurs_ligue1_tSNE_per90,1.1636899404731391,7,,,,1,2
tsne,joueurs_ligue1_tSNE_per90,1.2009865939887263,7,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.2382832475043135,7,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.2755799010199007,7,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.312876554535488,7,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.3501732080510753,7,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.3874698615666625,7,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.4247665150822497,7,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.462063168597837,7,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.4993598221134241,7,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,0.9772066728952029,10,,,,1,15
tsne,joueurs_ligue1_tSNE_per90,1.01450332641079,10,,,,1,15
tsne,joueurs_ligue1_tSNE_per90,1.0517999799263773,10,,,,1,13
tsne,joueurs_ligue1_tSNE_per90,1.0890966334419647,10,,,,1,9
tsne,joueurs_ligue1_tSNE_per90,1.126393286957552,10,,,,1,3
tsne,joueurs_ligue1_tSNE_per90,1.1636899404731391,10,,,,1,2
tsne,joueurs_ligue1_tSNE_per90,1.2009865939887263,10,,,,1,1
tsne,joueurs_ligue1_tSNE_per90,1.2382832475043135,10,,,,1,1
tsne,joueurs_ligue1_tSNE_per90,1.2755799010199007,10,,,,1,1
tsne,joueurs_ligue1_tSNE_per90,1.312876554535488,10,,,,1,1
tsne,joueurs_ligue1_tSNE_per90,1.3501732080510753,10,,,,1,1
tsne,joueurs_ligue1_tSNE_per90,1.3874698615666625,10,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.4247665150822497,10,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.462063168597837,10,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,1.4993598221134241,10,,,,1,0
tsne,joueurs_ligue1_tSNE_per90,0.9772066728952029,15,,,,1,104
tsne,joueurs_ligue1_tSNE_per90,1.01450332641079,15,,,,1,62
tsne,joueurs_ligue1_tSNE_per90,1.0517999799263773,15,,,,1,25
tsne,joueurs_ligue1_tSNE_per90,1.0890966334419647,15,,,,1,19
tsne,joueurs_ligue1_tSNE_per90,1.126393286957552,15,,,,1,12
tsne,joueurs_ligue1_tSNE_per90,1.1636899404731391,15,,,,1,11
tsne,joueurs_ligue1_tSNE_per90,1.2009865939887263,15,,,,1,6
tsne,joueurs_ligue1_tSNE_per90,1.2382832475043135,15,,,,1,3
tsne,joueurs_ligue1_tSNE_per90,1.2755799010199007,15,,,,1,3
tsne,joueurs_ligue1_tSNE_per90,1.312876554535488,15,,,,1,3
tsne,joueurs_ligue1_tSNE_per90,1.3501732080510753,15,,,,1,1
tsne,joueurs_ligue1_tSNE_per90,1.3874698615666625,15,,,,1,1
tsne,joueurs_ligue1_tSNE_per90,1.4247665150822497,15,,,,1,1
tsne,joueurs_ligue1_tSNE_per90,1.462063168597837,15,,,,1,1
tsne,joueurs_ligue1_tSNE_per90,1.4993598221134241,15,,,,1,1
tsne,joueurs_ligue1_tSNE_per90,0.9772066728952029,20,0.4158072721746909,135.62807646652075,0.8194962848338271,3,172
tsne,joueurs_ligue1_tSNE_per90,1.01450332641079,20,0.3153138307445587,124.27686426800061,1.1986847120143815,3,125
tsne,joueurs_ligue1_tSNE_per90,1.0517999799263773,20,0.28802047639207035,121.05498040464077,1.2688402592960952,3,101
tsne,joueurs_ligue1_tSNE_per90,1.0890966334419647,20,,,,1,61
tsne,joueurs_ligue1_tSNE_per90,1.126393286957552,20,,,,1,37
tsne,joueurs_ligue1_tSNE_per90,1.1636899404731391,20,,,,1,30
tsne,joueurs_ligue1_tSNE_per90,1.2009865939887263,20,,,,1,14
tsne,joueurs_ligue1_tSNE_per90,1.2382832475043135,20,,,,1,7
tsne,joueurs_ligue1_tSNE_per90,1.2755799010199007,20,,,,1,5
tsne,joueurs_ligue1_tSNE_per90,1.312876554535488,20,,,,1,4
tsne,joueurs_ligue1_tSNE_per90,1.3501732080510753,20,,,,1,4
tsne,joueurs_ligue1_tSNE_per90,1.3874698615666625,20,,,,1,2
tsne,joueurs_ligue1_tSNE_per90,1.4247665150822497,20,,,,1,2
tsne,joueurs_ligue1_tSNE_per90,1.462063168597837,20,,,,1,2
tsne,joueurs_ligue1_tSNE_per90,1.4993598221134241,20,,,,1,1
