method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
tsne,joueurs_ligue1_tSNE_raw,0.8738924733433733,5,,,,1,5
tsne,joueurs_ligue1_tSNE_raw,0.9037538839352501,5,,,,1,5
tsne,joueurs_ligue1_tSNE_raw,0.933615294527127,5,,,,1,3
tsne,joueurs_ligue1_tSNE_raw,0.9634767051190039,5,,,,1,2
tsne,joueurs_ligue1_tSNE_raw,0.9933381157108806,5,,,,1,1
tsne,joueurs_ligue1_tSNE_raw,1.0231995263027576,5,,,,1,1
tsne,joueurs_ligue1_tSNE_raw,1.0530609368946342,5,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.082922347486511,5,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.112783758078388,5,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.1426451686702648,5,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.1725065792621416,5,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.2023679898540185,5,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.2322294004458954,5,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.2620908110377722,5,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.291952221629649,5,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,0.8738924733433733,7,,,,1,6
tsne,joueurs_ligue1_tSNE_raw,0.9037538839352501,7,,,,1,6
tsne,joueurs_ligue1_tSNE_raw,0.933615294527127,7,,,,1,3
tsne,joueurs_ligue1_tSNE_raw,0.9634767051190039,7,,,,1,2
tsne,joueurs_ligue1_tSNE_raw,0.9933381157108806,7,,,,1,2
tsne,joueurs_ligue1_tSNE_raw,1.0231995263027576,7,,,,1,2
tsne,joueurs_ligue1_tSNE_raw,1.0530609368946342,7,,,,1,1
tsne,joueurs_ligue1_tSNE_raw,1.082922347486511,7,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.112783758078388,7,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.1426451686702648,7,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.1725065792621416,7,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.2023679898540185,7,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.2322294004458954,7,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.2620908110377722,7,,,,1,0
tsne,joueurs_ligue1_tSNE_raw,1.291952221629649,7,,,,1,0
