method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.6823820201699978,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7015880913278015,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7207941624856053,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7400002336434091,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7592063048012128,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7784123759590166,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7976184471168203,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.8168245182746241,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.8360305894324278,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.8552366605902315,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.8744427317480352,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.893648802905839,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.9128548740636427,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.9320609452214466,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.9512670163792503,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.6823820201699978,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7015880913278015,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7207941624856053,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7400002336434091,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7592063048012128,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7784123759590166,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.7976184471168203,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.8168245182746241,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.8360305894324278,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.8552366605902315,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.8744427317480352,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.893648802905839,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.9128548740636427,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_custom_umap3d_best_embedding,0.9320609452214466,7,,,,1,0
