method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.5882860677401521,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6058452838998867,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6234045000596212,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6409637162193557,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6585229323790902,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6760821485388248,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6936413646985593,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7112005808582937,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7287597970180283,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7463190131777628,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7638782293374974,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7814374454972319,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7989966616569664,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.8165558778167009,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.8341150939764355,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.5882860677401521,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6058452838998867,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6234045000596212,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6409637162193557,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6585229323790902,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6760821485388248,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6936413646985593,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7112005808582937,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7287597970180283,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7463190131777628,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7638782293374974,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7814374454972319,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7989966616569664,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.8165558778167009,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.8341150939764355,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.5882860677401521,10,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6058452838998867,10,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6234045000596212,10,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6409637162193557,10,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6585229323790902,10,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6760821485388248,10,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.6936413646985593,10,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7112005808582937,10,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7287597970180283,10,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_per90_umap3d_best_embedding,0.7463190131777628,10,,,,1,0
