method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.6425727774154911,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.6569084206703075,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.6712440639251239,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.6855797071799403,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.6999153504347567,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7142509936895731,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7285866369443896,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7429222801992059,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7572579234540224,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7715935667088388,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7859292099636552,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.8002648532184716,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.814600496473288,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.8289361397281044,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.8432717829829208,5,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.6425727774154911,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.6569084206703075,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.6712440639251239,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.6855797071799403,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.6999153504347567,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7142509936895731,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7285866369443896,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7429222801992059,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7572579234540224,7,,,,1,0
umap,joueurs_ligue1_2024_2025_clean_raw_umap3d_best_embedding,0.7715935667088388,7,,,,1,0
