method,tag,n_clusters_param,silhouette,calinski_harabasz,davies_bouldin,n_clusters
pca,joueurs_ligue1_PCA_custom,2,0.033162047393018104,8.149361583202573,5.255244956179634,2
pca,joueurs_ligue1_PCA_custom,3,0.024604081726835,8.211357824863258,4.561009898696014,3
pca,joueurs_ligue1_PCA_custom,4,0.023236997117363215,8.050772921448619,4.608149022263511,4
pca,joueurs_ligue1_PCA_custom,5,0.01668567138411854,7.541697809257029,4.342322292755383,5
pca,joueurs_ligue1_PCA_custom,6,0.058730891354899235,7.045882171097911,3.552830742690745,6
pca,joueurs_ligue1_PCA_custom,7,0.03146381061592013,7.25264947816981,3.515740247749091,7
pca,joueurs_ligue1_PCA_custom,8,0.01543626508847625,7.367089596463421,3.407653762171787,8
pca,joueurs_ligue1_PCA_custom,9,0.007795881544669498,7.562136858572404,3.1141349465661956,9
pca,joueurs_ligue1_PCA_custom,10,0.022400806715237368,7.419000403894354,2.9743562421503347,10
pca,joueurs_ligue1_PCA_custom,11,0.024962196345511813,7.496418394558958,2.923087745936486,11
pca,joueurs_ligue1_PCA_custom,12,0.015928009559174706,7.017814139196854,2.8720704858017263,12
