method,tag,n_clusters_param,silhouette,calinski_harabasz,davies_bouldin,n_clusters
tsne,joueurs_ligue1_tSNE_custom_GK,3,0.3187847537930872,262.8555600844985,1.188656079784632,3
tsne,joueurs_ligue1_tSNE_custom_GK,4,0.31780254015098497,247.21108953306876,1.1010094677144022,4
tsne,joueurs_ligue1_tSNE_custom_GK,5,0.34205959361325405,253.93479111728544,1.0506179857593894,5
tsne,joueurs_ligue1_tSNE_custom_GK,6,0.36581988637859575,264.2474547032916,0.9429854909592662,6
tsne,joueurs_ligue1_tSNE_custom_GK,7,0.37171394908198646,258.8088950252677,0.9596840375723857,7
tsne,joueurs_ligue1_tSNE_custom_GK,8,0.36242680648564174,251.41639449970182,0.9773668874004285,8
tsne,joueurs_ligue1_tSNE_custom_GK,9,0.3308283710027065,243.87771740566927,1.070289494146333,9
tsne,joueurs_ligue1_tSNE_custom_GK,10,0.327022444525741,235.50201687623044,1.0792020912160531,10
tsne,joueurs_ligue1_tSNE_custom_GK,11,0.3208730742672966,226.3462408664126,1.0757728990648174,11
tsne,joueurs_ligue1_tSNE_custom_GK,12,0.3254163866062013,223.53815305002294,1.0603920243896237,12
