player_name,equipe,positions,age,player_id,player_country_code,UMAP_1,UMAP_2,UMAP_3
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,-3.5277228,-2.7908385,9.2581835
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,-7.1068993,-0.8447098,10.63724
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,-7.383501,-1.4816881,9.67852
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,-7.1227355,-1.0160434,11.704817
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,-7.2878346,-0.1486256,13.854176
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,-8.669589,-0.29029557,13.890249
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,-3.5119882,-2.7104337,8.414021
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,-9.565158,1.4592719,13.132022
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,-2.8434095,-1.233259,10.120508
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,-7.539536,-2.2379005,12.239155
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,-2.9738142,-1.578207,10.1876
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,-4.657185,-2.3730652,10.823536
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,-2.937257,-1.3489665,10.85579
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,-6.853689,-1.2066236,10.975495
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,-5.8362393,-0.5940924,10.653818
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,-8.117478,-1.150046,13.753768
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,-7.7458982,-1.3707843,13.492062
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,-7.8722124,-1.5590049,12.611004
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,-6.792353,-2.759358,11.723582
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,-6.806883,-3.0903976,10.92283
Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN,-4.312326,-0.5356461,11.763251
Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA,-7.7752094,-0.23333228,11.105021
Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN,-8.941314,1.1156526,12.976452
Jubal,Auxerre,DF,30.0,56ae428b,BRA,-3.562745,-2.716491,8.450723
Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA,-2.8639822,-1.7858822,8.907265
Léo Pétrot,Saint,DF,27.0,00638016,FRA,-6.8397408,-3.9071794,10.1223955
Jean-Charles Castelletto,Nantes,"DF,MF",29.0,e0f3a1f6,CMR,-2.7668078,-2.908414,8.705076
Adrien Thomasson,Lens,MF,30.0,c76b7567,FRA,-6.732341,-0.31424782,11.630773
Luis Henrique,Marseille,"DF,FW",22.0,f36d5624,BRA,-7.429501,-0.3255514,12.846064
Moses Simon,Nantes,"FW,MF",29.0,5f3eaaf5,NGA,-7.944364,-0.065743536,13.530977
Charlie Cresswell,Toulouse,DF,21.0,4654e5f5,ENG,-3.867954,-1.9581518,8.741216
Arnaud Kalimuendo,Rennes,"FW,MF",22.0,bf4c41f9,FRA,-9.179519,1.9863862,12.841653
Pierre Ekwah Elimby,Saint,MF,22.0,830371be,FRA,-5.9843316,-1.5970757,9.909957
Diego Moreira,Strasbourg,"DF,MF",19.0,12de1b0d,BEL,-7.991747,-0.9781395,12.4374485
Evann Guessand,Nice,"FW,MF",23.0,b73f17f8,CIV,-8.633746,0.9509118,13.926899
Jonathan David,Lille,FW,24.0,ce50fd99,CAN,-9.14921,2.1208448,12.921649
Facundo Medina,Lens,DF,25.0,6f5ec8bb,ARG,-4.454447,-1.4138758,10.58206
Sergio Akieme,Reims,DF,26.0,06efa9dc,ESP,-7.695306,-2.893785,10.531264
Dilane Bakwa,Strasbourg,"MF,DF",21.0,2b5a35e5,FRA,-7.5908284,-0.66867036,13.750434
Mark McKenzie,Toulouse,DF,25.0,a5f5d094,USA,-3.5239313,-2.0917945,8.645695
Ludovic Ajorque,Brest,FW,30.0,462475ed,FRA,-10.338721,1.8611473,12.760938
Clément Akpa,Auxerre,DF,22.0,0abb5072,CIV,-4.794837,-2.6038196,9.128374
Adrien Rabiot,Marseille,MF,29.0,8794e251,FRA,-6.3944435,-0.4287058,11.88732
Loïc Nego,Le Havre,"DF,FW",33.0,c3b6fa1e,HUN,-7.210013,-3.4551988,10.522763
Michael Amir Murillo,Marseille,DF,28.0,349cae8f,PAN,-4.836477,-1.6624862,11.321318
Hicham Boudaoui,Nice,MF,24.0,f9d5908e,ALG,-7.0734816,-0.20502214,10.995956
Brendan Chardonnet,Brest,DF,29.0,16aa7d4c,FRA,-4.058348,-2.6161487,8.639705
Maghnes Akliouche,Monaco,"FW,MF",22.0,b625b241,FRA,-7.106733,0.556751,13.179595
Vincent Sierro,Toulouse,MF,28.0,92ffb8f9,SUI,-6.781074,-1.3976012,11.482912
Thilo Kehrer,Monaco,DF,27.0,51dbeea9,GER,-3.0792952,-1.1353405,10.143031
Clinton Mata,Lyon,DF,31.0,55abe554,ANG,-4.086451,-1.8809564,10.69584
Mamadou Sarr,Strasbourg,DF,18.0,61f80c89,FRA,-3.0821376,-1.809973,9.781801
Téji Savanier,Montpellier,MF,32.0,6bde367b,FRA,-7.4064364,-1.6576627,13.283079
Lorenz Assignon,Rennes,"DF,MF",24.0,b026bbf6,TOG,-7.371986,-2.280353,11.627416
Habib Diarra,Strasbourg,"MF,FW",20.0,6d0fe035,SEN,-7.812209,-0.91362464,11.457601
Pedro Chirivella,Nantes,MF,27.0,68a26d51,ESP,-5.2895155,-1.045744,10.262858
Elisha Owusu,Auxerre,MF,26.0,e2781082,GHA,-7.436523,-1.0896156,9.466881
Yann Gboho,Toulouse,"MF,FW",23.0,6be41a31,FRA,-8.237441,0.47939998,13.375258
Corentin Tolisso,Lyon,MF,29.0,652d4c37,FRA,-5.7751765,-0.42675167,11.815842
Abdoulaye Touré,Le Havre,MF,30.0,ef7cd87a,GUI,-7.0902267,-1.5172592,10.621121
Hugo Magnetti,Brest,MF,26.0,d4d35152,FRA,-6.722927,-1.5574474,9.623589
Etienne Youte Kinkoue,Le Havre,DF,22.0,12a4e38c,FRA,-2.7799876,-3.1832051,8.972389
Douglas,Nantes,MF,27.0,301c287b,BRA,-6.229434,-1.1831601,9.980813
Mickael Nade,Saint,DF,25.0,a6b6fa6e,FRA,-3.371752,-2.579605,8.174165
Jonathan Clauss,Nice,"DF,MF",31.0,5219ab4a,FRA,-7.4345427,-1.6843452,12.825731
Lassine Sinayoko,Auxerre,"FW,MF",24.0,5e5249c8,MLI,-9.07125,0.8104994,13.86529
Ludovic Blas,Rennes,"MF,FW",26.0,6191093d,FRA,-8.2564335,-0.6879425,13.460157
Emanuel Emegha,Strasbourg,FW,21.0,a0c590b9,NED,-9.042388,2.3966815,13.760427
Gideon Mensah,Auxerre,DF,26.0,9bdd8118,GHA,-6.759106,-3.3119118,11.246505
Leonardo Balerdi,Marseille,DF,25.0,7c3ed041,ARG,-3.4044244,-1.086302,10.786321
Takumi Minamino,Monaco,"MF,FW",29.0,f833a830,JPN,-8.258768,1.1655301,12.965412
Andy Diouf,Lens,MF,21.0,9b5237b1,FRA,-7.4465876,-0.25095958,12.206777
Moïse Bombito,Nice,DF,24.0,c2f23fc8,CAN,-2.7701201,-1.9434472,10.110872
Cédric Kipré,Reims,DF,27.0,9f30e7ed,CIV,-2.8584654,-2.762604,9.531304
Bradley Barcola,Paris S,FW,21.0,a0d55a09,FRA,-7.0614824,0.81719226,13.360129
Kelvin Amian,Nantes,DF,26.0,bcc81786,FRA,-7.911929,-3.2969348,10.364891
Gabriel Suazo,Toulouse,DF,26.0,39b326ed,CHI,-7.1367655,-1.9696492,12.387392
Denis Zakaria,Monaco,MF,27.0,384d58d9,SUI,-6.6624494,-0.54120785,10.457708
Modibo Sagnan,Montpellier,DF,25.0,76d679c7,MLI,-4.367326,-2.6823142,8.4545765
Willian Pacho,Paris S,DF,22.0,ecbe2839,ECU,-3.2681177,-1.085515,10.524375
Dennis Appiah,Saint,DF,32.0,feb5d3ab,FRA,-6.731973,-3.8660622,10.602132
Ki-Jana Hoever,Auxerre,DF,22.0,9a71e978,NED,-7.200804,-3.146325,11.384946
Jonathan Gradit,Lens,DF,31.0,06c48679,FRA,-4.145485,-1.9064305,9.966813
Sebastian Nanasi,Strasbourg,"MF,FW",22.0,ce747d2a,SWE,-7.910698,-0.83084434,13.398809
Djibril Sidibé,Toulouse,DF,32.0,4c5b714f,FRA,-6.117683,-2.570879,11.155621
Yassine Kechta,Le Havre,"MF,FW",22.0,abefc3af,MAR,-8.34332,-0.9168039,10.422632
Wilfried Singo,Monaco,DF,23.0,8b609c34,CIV,-4.0192447,-2.153789,10.382988
Hamed Junior Traorè,Auxerre,MF,24.0,570bb4b9,CIV,-8.67146,0.1825082,13.413701
Azor Matusiwa,Rennes,MF,26.0,a17a94d6,NED,-6.436138,-0.6308922,10.046583
Achraf Hakimi,Paris S,DF,25.0,e42d61c7,MAR,-4.765721,-0.53602743,12.144715
Vanderson,Monaco,DF,23.0,ee45fd85,BRA,-6.005671,-3.0671537,12.033416
Lamine Camara,Monaco,MF,20.0,19c2ffa4,SEN,-6.5993195,-1.3154666,11.915572
Alexandre Lacazette,Lyon,FW,33.0,9dbb75ca,FRA,-9.0112915,2.4871032,13.462551
Nicolas Cozza,Nantes,"DF,MF",25.0,8f325097,FRA,-7.8097067,-2.9263396,10.145215
Warren Zaïre-Emery,Paris S,"MF,DF",18.0,6b9960cf,FRA,-4.799892,-0.84371626,11.481053
Johann Lepenant,Nantes,MF,21.0,1e52971c,FRA,-7.7056956,-0.7017163,10.125141
Carlens Arcus,Angers,DF,28.0,5e837126,HAI,-6.744959,-2.9932973,10.338849
Vitinha,Paris S,MF,24.0,3b029691,POR,-4.0907784,-0.46234283,11.856723
Rayan Cherki,Lyon,"FW,MF",20.0,b34c63a5,FRA,-6.627261,-0.11128048,13.717783
Geoffrey Kondogbia,Marseille,"DF,MF",31.0,cce181df,CTA,-3.9569817,-1.3402163,10.977157
Nicolas Pallois,Nantes,DF,36.0,779847d6,FRA,-4.050985,-2.9699423,8.173586
Dylan Batubinsika,Saint,DF,28.0,37d39918,COD,-3.0878086,-2.6837718,8.899176
Lucas Beraldo,Paris S,DF,20.0,b8aedf06,BRA,-3.1076474,-0.7875266,11.0074
Nemanja Matić,Lyon,MF,35.0,eb7822d7,SRB,-4.9848676,-1.0879681,10.814753
Josué Casimir,Le Havre,"FW,MF",22.0,481f76cf,FRA,-9.211261,0.37033913,13.848202
Ainsley Maitland-Niles,Lyon,DF,26.0,e3a5814e,ENG,-6.0598083,-2.890221,12.013716
Aurélio Buta,Reims,DF,27.0,b4705807,POR,-7.3247705,-3.050746,10.35091
Dante,Nice,DF,40.0,fd2bc67d,BRA,-3.549424,-1.8404125,10.509094
Jean-Eudes Aholou,Angers,MF,30.0,48b28bfd,CIV,-7.7592344,-1.0596358,9.882155
Sinaly Diomande,Auxerre,DF,23.0,6de23ab0,CIV,-3.5963094,-2.3906004,8.088844
Melvin Bard,Nice,"DF,MF",23.0,1ddbc7ca,FRA,-6.4729705,-3.3058076,11.761776
Youssouf Ndayishimiye,Nice,DF,25.0,65c55288,BDI,-2.8793228,-1.1936293,9.598458
Caio Henrique Oliveira Silva,Monaco,DF,27.0,30af8b93,BRA,-6.7845464,-1.9228334,12.8105345
Thomas Meunier,Lille,DF,32.0,e162b013,BEL,-5.659071,-2.6483974,11.538655
Fabián Ruiz Peña,Paris S,MF,28.0,c0c7ff58,ESP,-5.182002,-0.58008474,12.056005
Issa Soumaré,Le Havre,"FW,MF",23.0,1d8aa290,SEN,-9.687753,0.7604975,12.929085
Nicolás Tagliafico,Lyon,DF,31.0,f0661424,ARG,-5.592729,-1.9654826,11.548456
Zakaria Aboukhlal,Toulouse,"MF,FW",24.0,c2a6033c,MAR,-9.431098,1.6591773,13.702007
Enzo Tchato,Montpellier,DF,21.0,7f783431,CMR,-7.2527156,-3.7265723,10.366678
Farid El Melali,Angers,FW,27.0,d21e361a,ALG,-8.4402485,-0.60407853,14.086053
Joris Chotard,Montpellier,MF,22.0,7909ffa4,FRA,-5.979142,-2.3145685,9.406378
Lucas Stassin,Saint,FW,19.0,a47d6f3a,BEL,-9.654115,1.8148156,12.530401
João Neves,Paris S,"MF,DF",19.0,c2a15a27,POR,-4.813832,-0.8249195,11.82652
Breel Embolo,Monaco,"FW,MF",27.0,0b4f388a,SUI,-8.925876,2.0441127,13.897461
Gaëtan Laborde,Nice,FW,30.0,7cdda3bf,FRA,-8.996193,2.262119,13.042223
Deiver Machado,Lens,"DF,MF",30.0,b3f8bdef,COL,-7.69307,-2.491927,11.592106
Becir Omeragic,Montpellier,DF,22.0,c284d6fb,SUI,-3.1710296,-3.1848884,8.677255
Florian Sotoca,Lens,"FW,MF",33.0,7a42d0df,FRA,-7.8273954,-0.60214067,12.210491
Haris Belkebla,Angers,MF,30.0,2b1bed19,ALG,-6.7555704,-0.9357671,9.455821
Gabriel Gudmundsson,Lille,DF,25.0,d5d22a58,SWE,-6.974387,-2.476939,11.335701
Félix Lemaréchal,Strasbourg,"MF,FW",20.0,8ca9415f,FRA,-8.153694,0.030322619,12.022792
Pablo Rosario,Nice,"MF,DF",27.0,1a6b7ea4,DOM,-6.6551456,-1.339398,9.519376
Jordan Ferri,Montpellier,MF,32.0,375622c5,FRA,-5.532193,-1.3269132,10.147247
Benjamin Bouchouari,Saint,MF,22.0,599f9013,MAR,-6.5252285,-1.4421784,10.17613
Hákon Arnar Haraldsson,Lille,"MF,FW",21.0,e2ae54db,ISL,-7.4231143,-0.7995039,13.370129
Jim Allevinah,Angers,FW,29.0,1956b948,GAB,-9.680733,0.60588413,13.354833
Eliesse Ben Seghir,Monaco,"MF,FW",19.0,3bd65247,MAR,-6.9428177,-0.30417168,13.58754
Aïssa Mandi,Lille,DF,32.0,fbd6378b,ALG,-4.6098156,-1.3431013,10.383655
Ousmane Dembélé,Paris S,FW,27.0,b19db005,FRA,-6.780513,0.23357345,13.727375
Désiré Doué,Paris S,"FW,MF",19.0,9e7483ff,FRA,-7.037362,0.3676436,13.612989
Marquinhos,Paris S,DF,30.0,d5f2f82b,BRA,-3.3777742,-0.8384793,11.114375
Abdoulaye Niakhate Ndiaye,Brest,DF,22.0,b8cd2ae4,SEN,-3.93534,-2.4835398,8.391522
Joseph Okumu,Reims,DF,27.0,039f1983,KEN,-2.7636206,-2.5905118,10.347868
Marshall Munetsi,Reims,MF,28.0,2acf0cd7,ZIM,-10.074637,0.6855416,12.502348
Rabby Nzingoula,Montpellier,MF,18.0,627c7a3d,FRA,-8.115401,-0.84926623,10.115755
Hans Hateboer,Rennes,DF,30.0,3b333ac3,NED,-4.8163476,-2.0191114,10.455818
Massadio Haïdara,Brest,DF,31.0,5167c97e,MLI,-7.4068427,-3.2637255,10.851245
Nuno Mendes,Paris S,DF,22.0,f20e4cc9,POR,-5.0098243,-0.70155674,12.38534
Joshua King,Toulouse,"FW,MF",32.0,43458538,NOR,-9.375487,1.6733332,13.382584
