player_name,equipe,positions,age,player_id,player_country_code,UMAP_1,UMAP_2,UMAP_3
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,14.566432,9.810942,4.3364706
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,17.77826,7.2307134,4.855935
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,18.493729,7.7016582,4.936848
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,18.176573,6.276661,3.6805966
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,18.485327,5.3003182,1.0539836
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,19.02887,6.164304,0.8803614
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,14.960215,9.743692,4.656247
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,20.989386,7.7847767,1.6321763
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,13.5362215,8.133282,4.527286
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,17.745232,7.5702567,2.3583736
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,13.912039,8.364356,4.3792176
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,15.2596245,7.791269,3.6796932
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,13.506,7.446962,4.3263006
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,17.466461,7.313201,4.085968
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,16.875225,6.660762,4.7749753
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,18.144314,6.587411,1.2736174
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,17.748806,6.4732413,1.4155877
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,17.988817,6.8594227,2.2098172
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,16.8956,7.626625,2.5259252
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,17.169981,8.530726,2.8516243
Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN,15.487354,5.5646763,4.0771194
Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA,18.843008,6.984657,3.8456633
Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN,20.15567,7.186357,1.8396051
Jubal,Auxerre,DF,30.0,56ae428b,BRA,15.029839,10.536875,4.945206
Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA,14.068963,9.418449,4.349471
Léo Pétrot,Saint,DF,27.0,00638016,FRA,17.271538,9.777144,3.8662326
Jean-Charles Castelletto,Nantes,"DF,MF",29.0,e0f3a1f6,CMR,14.330967,9.897345,4.552334
Adrien Thomasson,Lens,MF,30.0,c76b7567,FRA,17.336332,6.1018634,3.95306
Luis Henrique,Marseille,"DF,FW",22.0,f36d5624,BRA,18.565557,6.068884,2.1685705
