player_name,equipe,positions,age,player_id,player_country_code,UMAP_1,UMAP_2,UMAP_3
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,7.729465,5.8610373,6.032965
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,7.692766,4.046442,9.388248
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,7.972329,3.522265,9.303483
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,6.6257253,3.5002117,9.082858
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,5.336975,1.3249314,9.014792
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,5.337199,1.6677707,9.378557
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,7.5813065,5.5785313,5.725451
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,5.5203233,0.26755166,8.159823
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,7.114532,6.55032,6.7369056
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,5.52286,4.071208,9.052097
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,7.164935,6.116616,6.6850104
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,6.4804564,5.533412,7.8580165
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,6.904033,6.5449977,6.8765016
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,7.159011,3.738743,9.095298
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,7.3445334,4.430268,9.382911
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,5.3267016,2.5437176,9.448353
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,5.126893,2.4395614,9.452211
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,5.684852,3.3135538,9.276947
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,5.4795184,4.398031,8.53913
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,5.5176444,4.855834,8.350244
