tsne_1,tsne_2,tsne_3,player_name,equipe,positions
20.897505,-102.32917,27.977888,Jordan Lefort,Angers,DF
-6.9763017,-39.2152,37.744843,Andrey Santos,Strasbourg,MF
10.400644,-1.3814036,51.779446,Valentin Atangana Edoa,Reims,MF
-3.8853607,6.97396,9.008665,Himad Abdelli,Angers,"MF,FW"
-66.13959,42.567093,-40.9751,Mason Greenwood,Marseille,"FW,MF"
-36.236053,74.150154,-33.105103,Zuriko Davitashvili,Saint,"FW,MF"
26.777775,-87.023796,24.98641,Gautier Lloris,Le Havre,DF
-20.575464,95.04952,11.937356,Matthis Abline,Nantes,FW
-13.8059845,-129.78163,-0.6446064,Bafodé Diakité,Lille,DF
33.187496,24.762674,-16.644512,Adrien Truffert,Rennes,"DF,MF"
11.416289,-120.47094,20.165987,Moussa Niakhate,Lyon,DF
-33.202995,-67.60197,6.814278,Guela Doué,Strasbourg,DF
-20.408794,-122.33178,-14.952241,Alexsandro Ribeiro,Lille,DF
42.950386,14.0284195,-65.99078,Cristian Cásseres Jr.,Toulouse,MF
32.48754,-50.05961,-36.447445,Benjamin André,Lille,MF
-29.690409,58.571903,-61.140816,Gaëtan Perrin,Auxerre,"MF,FW"
-16.252035,34.5908,-67.02417,Junya Ito,Reims,"FW,MF"
21.93351,31.70807,-20.463348,Aron Dønnum,Toulouse,"DF,MF"
88.42563,-19.826118,-15.724642,Kenny Lala,Brest,DF
80.22136,-7.310204,-3.5694928,Florent Hanin,Angers,DF
-52.767826,-60.115433,-40.252625,Pierre Højbjerg,Marseille,MF
-3.8240438,26.892515,37.493748,Mahdi Camara,Brest,"MF,FW"
-28.153713,85.37395,7.8505216,Keito Nakamura,Reims,"FW,MF"
15.547296,-103.083405,49.40892,Jubal,Auxerre,DF
-2.254513,-136.096,6.697746,Ismaël Doukouré,Strasbourg,"DF,MF"
79.18527,0.031758916,25.798672,Léo Pétrot,Saint,DF
69.399506,-103.16624,32.96299,Jean-Charles Castelletto,Nantes,"DF,MF"
-29.307232,-7.807826,-29.85613,Adrien Thomasson,Lens,MF
-40.687153,26.92329,0.60555184,Luis Henrique,Marseille,"DF,FW"
-45.427105,69.61733,-40.777157,Moses Simon,Nantes,"FW,MF"
16.81615,-85.893616,4.8217955,Charlie Cresswell,Toulouse,DF
-55.396683,118.20362,-29.803055,Arnaud Kalimuendo,Rennes,"FW,MF"
9.330753,-25.015873,31.311314,Pierre Ekwah Elimby,Saint,MF
4.1114864,32.021626,0.52113974,Diego Moreira,Strasbourg,"DF,MF"
-43.903812,76.5263,-11.2304735,Evann Guessand,Nice,"FW,MF"
-45.61585,118.31067,-25.890085,Jonathan David,Lille,FW
-19.926151,-79.74906,-20.824577,Facundo Medina,Lens,DF
56.31998,16.953506,15.629785,Sergio Akieme,Reims,DF
-36.63605,48.31254,-46.16362,Dilane Bakwa,Strasbourg,"MF,DF"
14.797461,-86.9639,19.709332,Mark McKenzie,Toulouse,DF
3.4047754,113.03626,25.274292,Ludovic Ajorque,Brest,FW
6.2652617,-83.958954,43.329407,Clément Akpa,Auxerre,DF
-39.14659,-20.51062,-9.819144,Adrien Rabiot,Marseille,MF
80.138435,4.3943305,4.86205,Loïc Nego,Le Havre,"DF,FW"
-32.47997,-65.64108,-4.32866,Michael Amir Murillo,Marseille,DF
-14.4039345,18.809553,37.7602,Hicham Boudaoui,Nice,MF
18.133556,-92.94024,38.78759,Brendan Chardonnet,Brest,DF
-57.01189,23.925114,-19.220203,Maghnes Akliouche,Monaco,"FW,MF"
-8.447955,-26.271204,-17.069164,Vincent Sierro,Toulouse,MF
-18.12404,-123.288246,12.480207,Thilo Kehrer,Monaco,DF
-28.296818,-83.10641,-1.1302159,Clinton Mata,Lyon,DF
9.926477,-115.71543,-1.5698127,Mamadou Sarr,Strasbourg,DF
-15.907498,-11.947436,-75.33339,Téji Savanier,Montpellier,MF
11.4565735,25.75519,-3.3650036,Lorenz Assignon,Rennes,"DF,MF"
