tsne_1,tsne_2,tsne_3,player_name,equipe,positions
44.833935,-45.307793,7.177383,Jordan Lefort,Angers,DF
30.660685,14.754595,1.5116653,Andrey Santos,Strasbourg,MF
24.985481,4.1222324,-23.134212,Valentin Atangana Edoa,Reims,MF
-2.6880918,25.434702,14.262766,Himad Abdelli,Angers,"MF,FW"
-59.796883,44.687553,23.756763,Mason Greenwood,Marseille,"FW,MF"
-47.852432,38.642204,10.009989,Zuriko Davitashvili,Saint,"FW,MF"
49.56078,-48.69971,-2.379893,Gautier Lloris,Le Havre,DF
-17.563755,66.67261,-15.238121,Matthis Abline,Nantes,FW
49.153847,-63.058937,25.680923,Bafodé Diakité,Lille,DF
-30.53969,-12.978956,2.7162967,Adrien Truffert,Rennes,"DF,MF"
40.17683,-59.005444,18.009638,Moussa Niakhate,Lyon,DF
8.04182,-47.903835,11.25123,Guela Doué,Strasbourg,DF
55.111088,-58.554253,32.482834,Alexsandro Ribeiro,Lille,DF
34.226,21.294167,6.4545116,Cristian Cásseres Jr.,Toulouse,MF
11.461116,-3.7884517,5.355018,Benjamin André,Lille,MF
-46.16665,20.064497,18.571491,Gaëtan Perrin,Auxerre,"MF,FW"
-47.4742,0.9290032,30.138279,Junya Ito,Reims,"FW,MF"
-41.385315,-4.740447,5.730484,Aron Dønnum,Toulouse,"DF,MF"
-14.455245,-23.508087,11.8164425,Kenny Lala,Brest,DF
-15.295483,-23.591694,1.6457138,Florent Hanin,Angers,DF
20.02583,-27.26583,52.18494,Pierre Højbjerg,Marseille,MF
9.111124,15.051442,-3.802976,Mahdi Camara,Brest,"MF,FW"
-18.464212,48.36196,-3.0675433,Keito Nakamura,Reims,"FW,MF"
61.72623,-43.51173,-23.331665,Jubal,Auxerre,DF
51.63966,-57.599777,10.994385,Ismaël Doukouré,Strasbourg,"DF,MF"
-8.850564,-28.78016,-17.540785,Léo Pétrot,Saint,DF
59.577675,-51.984447,2.778005,Jean-Charles Castelletto,Nantes,"DF,MF"
-1.5868349,5.142847,12.499869,Adrien Thomasson,Lens,MF
-47.097664,10.800192,-1.017365,Luis Henrique,Marseille,"DF,FW"
-54.8787,42.89307,10.323152,Moses Simon,Nantes,"FW,MF"
68.23923,-43.79602,-7.29614,Charlie Cresswell,Toulouse,DF
-33.479267,96.598595,-6.112745,Arnaud Kalimuendo,Rennes,"FW,MF"
17.892164,-26.400269,13.505566,Pierre Ekwah Elimby,Saint,MF
-38.736454,5.2923,-2.4881961,Diego Moreira,Strasbourg,"DF,MF"
-38.63552,56.780872,5.5628457,Evann Guessand,Nice,"FW,MF"
-40.11497,96.872894,-8.185706,Jonathan David,Lille,FW
13.020429,-39.454216,21.191748,Facundo Medina,Lens,DF
-17.099257,-12.778949,-13.732477,Sergio Akieme,Reims,DF
-51.581005,32.39119,16.650328,Dilane Bakwa,Strasbourg,"MF,DF"
52.3579,-54.989517,-1.2303777,Mark McKenzie,Toulouse,DF
5.612289,74.08883,-36.79558,Ludovic Ajorque,Brest,FW
41.45926,-35.855015,-6.265502,Clément Akpa,Auxerre,DF
-4.9465227,11.129085,0.37655312,Adrien Rabiot,Marseille,MF
-11.394991,-20.565601,-5.688915,Loïc Nego,Le Havre,"DF,FW"
9.375665,-50.831417,17.89612,Michael Amir Murillo,Marseille,DF
13.005413,14.826814,2.063664,Hicham Boudaoui,Nice,MF
15.269503,-68.41123,10.536132,Brendan Chardonnet,Brest,DF
-50.03824,48.87124,36.598255,Maghnes Akliouche,Monaco,"FW,MF"
5.1411757,-15.081635,22.357588,Vincent Sierro,Toulouse,MF
37.62588,-64.51368,22.344803,Thilo Kehrer,Monaco,DF
19.942247,-53.8705,21.714592,Clinton Mata,Lyon,DF
48.60171,-58.4871,19.21212,Mamadou Sarr,Strasbourg,DF
-17.405931,-23.605856,35.95447,Téji Savanier,Montpellier,MF
-36.235035,-1.5625681,-2.2803357,Lorenz Assignon,Rennes,"DF,MF"
-17.576645,-0.60644627,-15.064225,Habib Diarra,Strasbourg,"MF,FW"
14.968743,-29.668037,20.333384,Pedro Chirivella,Nantes,MF
26.741146,10.151224,-13.190502,Elisha Owusu,Auxerre,MF
-36.334106,52.462784,15.186138,Yann Gboho,Toulouse,"MF,FW"
-2.5590072,5.7217565,4.859025,Corentin Tolisso,Lyon,MF
53.45812,8.674124,9.385108,Abdoulaye Touré,Le Havre,MF
28.74568,-4.27365,-10.9247675,Hugo Magnetti,Brest,MF
69.19277,-55.105927,0.47949857,Etienne Youte Kinkoue,Le Havre,DF
32.273567,5.1645355,-1.1866459,Douglas,Nantes,MF
24.256851,-69.22124,0.6957299,Mickael Nade,Saint,DF
-24.546137,-13.478505,24.312769,Jonathan Clauss,Nice,"DF,MF"
-37.324203,62.585976,-0.90781146,Lassine Sinayoko,Auxerre,"FW,MF"
-46.147053,26.484621,15.085722,Ludovic Blas,Rennes,"MF,FW"
