tsne_1,tsne_2,tsne_3,tsne_4,player_name,equipe,positions
-3.3039112,1.9528476,1.2142566,-3.6114588,Jordan Lefort,Angers,DF
-3.8845046,0.48089862,-1.987045,-0.6509061,Andrey Santos,Strasbourg,MF
-2.8697135,-0.44913283,-1.6870011,-0.17712834,Valentin Atangana Edoa,Reims,MF
-2.4908879,1.0426522,-2.0993803,1.6970873,Himad Abdelli,Angers,"MF,FW"
-1.4166684,2.2415369,-2.7904997,3.4999971,Mason Greenwood,Marseille,"FW,MF"
-0.6948266,2.4414885,-1.8930362,3.3334386,Zuriko Davitashvili,Saint,"FW,MF"
-2.9147754,1.547219,1.227415,-3.5903158,Gautier Lloris,Le Havre,DF
-0.43908867,0.08683271,-1.6176634,3.6319604,Matthis Abline,Nantes,FW
-3.2305164,2.9471643,-0.16044301,-3.5407426,Bafodé Diakité,Lille,DF
-2.282325,2.8429635,-0.66566104,0.9417959,Adrien Truffert,Rennes,"DF,MF"
-3.0834694,2.1423728,0.22577688,-3.3095915,Moussa Niakhate,Lyon,DF
-3.338482,2.818616,-0.19949341,-1.4673669,Guela Doué,Strasbourg,DF
-3.3491774,3.0469248,-0.26946372,-3.511435,Alexsandro Ribeiro,Lille,DF
-3.983635,0.38736135,-2.0573812,-0.70854396,Cristian Cásseres Jr.,Toulouse,MF
-4.1234756,1.2193527,-1.7665263,-0.47621343,Benjamin André,Lille,MF
-0.7448296,3.301505,-1.9114635,2.3242002,Gaëtan Perrin,Auxerre,"MF,FW"
-1.3245097,3.058214,-1.9110194,2.0975785,Junya Ito,Reims,"FW,MF"
-1.9992586,2.7887373,-1.2130613,1.5189352,Aron Dønnum,Toulouse,"DF,MF"
-2.8499749,3.4604967,-0.38256633,0.13155916,Kenny Lala,Brest,DF
-2.8887627,2.9430501,0.21541628,0.38885158,Florent Hanin,Angers,DF
-3.2757697,3.0458624,-2.017583,-1.3102918,Pierre Højbjerg,Marseille,MF
-3.0667684,0.3479131,-1.956342,0.35247153,Mahdi Camara,Brest,"MF,FW"
-0.8334028,0.5532814,-1.9051131,2.9964924,Keito Nakamura,Reims,"FW,MF"
-2.7467468,0.27740094,1.5045583,-4.366287,Jubal,Auxerre,DF
-2.5395863,1.6178527,-0.0048624417,-3.779897,Ismaël Doukouré,Strasbourg,"DF,MF"
-3.0995355,2.3030279,0.931866,-0.5694462,Léo Pétrot,Saint,DF
-1.6757368,1.0358582,1.3554956,-4.2805185,Jean-Charles Castelletto,Nantes,"DF,MF"
-3.6902747,1.4105402,-2.1377168,0.43877086,Adrien Thomasson,Lens,MF
-1.9919761,2.24517,-2.401036,1.3810179,Luis Henrique,Marseille,"DF,FW"
-0.8583419,2.6599944,-1.9963605,3.2477965,Moses Simon,Nantes,"FW,MF"
-2.8259158,0.85082126,1.0594409,-4.2588,Charlie Cresswell,Toulouse,DF
1.2282825,0.5745969,0.02819585,5.016479,Arnaud Kalimuendo,Rennes,"FW,MF"
-2.6804368,1.7376562,-1.1048231,-1.8134115,Pierre Ekwah Elimby,Saint,MF
-2.2724361,2.1742077,-1.3186748,1.8589035,Diego Moreira,Strasbourg,"DF,MF"
-0.58719975,1.1229626,-1.6488622,3.7783995,Evann Guessand,Nice,"FW,MF"
1.2222214,0.5550229,-0.014121604,4.9532094,Jonathan David,Lille,FW
-3.0498085,2.8981192,-0.86202383,-2.1298923,Facundo Medina,Lens,DF
-1.7616693,1.6869551,0.1710894,0.13325547,Sergio Akieme,Reims,DF
-0.97373426,2.8028276,-2.017425,2.5807748,Dilane Bakwa,Strasbourg,"MF,DF"
-2.3268425,1.4005809,1.0320438,-3.2968366,Mark McKenzie,Toulouse,DF
0.16323876,-0.8614261,-0.5386101,4.3615956,Ludovic Ajorque,Brest,FW
-2.8806736,0.36987117,1.0950857,-2.6285806,Clément Akpa,Auxerre,DF
-2.9827247,1.4957658,-2.1547387,0.7697752,Adrien Rabiot,Marseille,MF
-2.675254,1.8515974,0.35449156,0.005815673,Loïc Nego,Le Havre,"DF,FW"
-3.0397825,2.58585,-0.40855208,-1.2102829,Michael Amir Murillo,Marseille,DF
-3.1150947,0.40362015,-1.9366138,0.17220561,Hicham Boudaoui,Nice,MF
-2.5152085,0.48517466,1.1690351,-4.116574,Brendan Chardonnet,Brest,DF
-1.5491226,1.870658,-2.4637933,2.9654877,Maghnes Akliouche,Monaco,"FW,MF"
-1.2466232,1.9406208,-2.0627518,-0.8340362,Vincent Sierro,Toulouse,MF
-3.0899355,2.0057251,0.10761253,-3.2666776,Thilo Kehrer,Monaco,DF
-2.782319,1.9819514,-0.1584086,-2.3666916,Clinton Mata,Lyon,DF
-2.8828905,1.9320368,0.39968115,-3.6669834,Mamadou Sarr,Strasbourg,DF
-0.8194942,3.810817,-1.8813118,1.5317365,Téji Savanier,Montpellier,MF
-2.4524643,2.3034103,-0.9613048,1.4363896,Lorenz Assignon,Rennes,"DF,MF"
-0.82405925,0.65952647,-2.6241395,0.8988031,Habib Diarra,Strasbourg,"MF,FW"
