UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,player_name,equipe,positions,age,player_id,player_country_code
1.8121468,7.9001994,5.580852,-2.7357972,-8.114206,10.185704,3.9088588,7.7080064,5.551605,11.056669,Gautier Larsonneur,Saint,GK,27.0,b49729cb,FRA
-4.7122836,12.968387,9.419631,12.574704,5.8266153,9.075832,9.280522,8.301776,3.3492713,15.246998,Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA
1.6508191,8.004889,6.10727,-2.6996403,-8.289156,10.069745,3.5938816,7.6766496,5.4331923,10.756964,Gerónimo Rulli,Marseille,GK,32.0,625c144a,ARG
1.8777531,8.020141,5.771734,-2.6268172,-8.160446,10.002778,3.3539727,7.6759667,5.633504,10.602912,Lucas Chevalier,Lille,GK,22.0,b3d76d84,FRA
1.9087471,8.067875,5.873105,-2.8626375,-8.583155,9.8251505,3.580606,7.812397,5.605132,10.861387,Marcin Bułka,Nice,GK,24.0,db87a2c4,POL
1.4616268,7.9483056,5.6940203,-2.719581,-8.139897,10.4510975,3.652237,7.9742928,5.2088113,11.18608,Yehvann Diouf,Reims,GK,24.0,eedea60b,SEN
1.802479,8.06863,5.6468725,-2.6747222,-8.317862,10.083837,3.429906,7.6769733,5.6923366,10.811111,Lucas Perri,Lyon,GK,26.0,5dbd461a,BRA
1.5509001,7.998489,5.6583805,-2.580179,-7.867466,10.307264,3.6380372,7.5517225,5.4686184,10.838443,Yahia Fofana,Angers,GK,23.0,9d420dad,CIV
1.9971814,7.9938,5.920805,-2.9377685,-8.313028,10.121599,3.6048357,7.765363,5.394129,10.867098,Marco Bizot,Brest,GK,33.0,3d214e5f,NED
1.6667013,7.9818616,5.5152183,-2.6488545,-8.138212,10.30172,3.7355335,7.8970504,5.324208,11.193831,Donovan Léon,Auxerre,GK,31.0,51c83a90,GUF
-3.8661149,11.959877,11.501168,11.611161,7.0015073,10.796045,9.086889,7.23655,4.0123386,15.266329,Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA
-3.7100139,11.743834,11.397166,12.029714,6.5166078,10.8923855,9.002825,7.438095,3.5364034,15.837822,Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA
-4.1469417,12.064401,11.756016,11.728853,7.1055408,10.772391,9.605749,7.371499,2.9873552,14.506569,Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG
-4.23906,11.321959,13.385115,10.986403,7.873197,11.799367,10.004084,7.291728,2.6183145,13.70541,Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG
1.5477066,8.095802,5.9438477,-2.6454518,-7.9757786,10.180496,3.430717,7.859106,5.1657906,10.91657,Đorđe Petrović,Strasbourg,GK,24.0,0cf321c8,SRB
