UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,player_name,equipe,positions,age,player_id,player_country_code
13.981038,7.859321,6.6409802,4.9170628,6.1937914,Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA
15.196253,9.311122,4.8551073,6.2362175,6.022041,Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA
14.652905,9.695915,4.643275,6.4425173,6.324705,Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA
15.992946,10.377324,5.3124943,5.9807553,6.4048553,Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG
16.410416,11.968113,6.0759616,6.2479763,6.850604,Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG
16.564281,12.038346,5.816367,6.581857,7.0368056,Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO
13.80673,7.992801,6.8469896,4.988693,6.3257504,Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA
16.05591,12.791388,6.051598,5.9405,7.275061,Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA
14.717056,7.4111814,6.096524,5.1642,6.154829,Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA
16.36053,9.897483,5.823203,6.9448404,6.2307553,Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA
14.594968,7.6446295,6.4291787,5.0950594,6.1187234,Moussa Niakhate,Lyon,DF,28.0,00242715,SEN
15.217347,8.353534,6.0480695,5.884818,5.899143,Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV
14.971057,7.505436,5.8933086,5.3476243,6.127818,Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA
15.511761,9.690694,5.2774982,6.8202167,6.17546,Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN
15.427165,9.242182,4.7086015,6.3924274,6.1545324,Benjamin André,Lille,MF,33.0,ef9c1c95,FRA
16.571505,11.191858,5.936463,6.887507,7.0126557,Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA
16.911684,11.094588,5.789001,6.779117,6.871323,Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN
16.476206,10.660731,5.6163554,6.808611,6.494395,Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR
