player_name,equipe,positions,age,player_id,player_country_code,UMAP_1,UMAP_2
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,-2.18077,-11.076656
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,-4.018884,-13.503023
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,-4.805477,-13.443376
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,-2.8178635,-14.918939
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,-1.48829,-16.100815
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,-1.9452211,-16.880714
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,-2.5597482,-10.805065
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,-1.0351148,-17.85695
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,-1.9356258,-12.284452
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,-3.53991,-15.716709
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,-1.8103445,-12.074668
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,-2.4939232,-13.002966
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,-1.8771209,-12.634868
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,-3.773305,-14.350886
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,-3.468022,-13.757868
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,-2.4099572,-16.230408
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,-2.657289,-16.134357
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,-3.0967944,-15.830003
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,-3.789602,-15.290256
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,-5.1007404,-15.003281
Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN,-2.359919,-13.636839
Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA,-4.1822157,-13.916925
Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN,-1.3229913,-17.205929
Jubal,Auxerre,DF,30.0,56ae428b,BRA,-2.402957,-10.641263
Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA,-2.2772534,-11.406796
Léo Pétrot,Saint,DF,27.0,00638016,FRA,-5.785799,-14.800219
Jean-Charles Castelletto,Nantes,"DF,MF",29.0,e0f3a1f6,CMR,-2.032811,-10.495964
Adrien Thomasson,Lens,MF,30.0,c76b7567,FRA,-3.2370195,-14.338381
Luis Henrique,Marseille,"DF,FW",22.0,f36d5624,BRA,-2.1352339,-15.95208
Moses Simon,Nantes,"FW,MF",29.0,5f3eaaf5,NGA,-1.8049731,-16.44694
Charlie Cresswell,Toulouse,DF,21.0,4654e5f5,ENG,-2.702998,-11.280207
Arnaud Kalimuendo,Rennes,"FW,MF",22.0,bf4c41f9,FRA,-0.71983296,-17.571634
Pierre Ekwah Elimby,Saint,MF,22.0,830371be,FRA,-3.3985941,-13.072789
Diego Moreira,Strasbourg,"DF,MF",19.0,12de1b0d,BEL,-2.6927695,-15.79832
Evann Guessand,Nice,"FW,MF",23.0,b73f17f8,CIV,-1.3732336,-16.796663
Jonathan David,Lille,FW,24.0,ce50fd99,CAN,-0.8134457,-17.508417
Facundo Medina,Lens,DF,25.0,6f5ec8bb,ARG,-2.7312398,-12.835011
Sergio Akieme,Reims,DF,26.0,06efa9dc,ESP,-5.680644,-15.076454
Dilane Bakwa,Strasbourg,"MF,DF",21.0,2b5a35e5,FRA,-2.0802557,-16.194279
Mark McKenzie,Toulouse,DF,25.0,a5f5d094,USA,-2.7168813,-11.119349
Ludovic Ajorque,Brest,FW,30.0,462475ed,FRA,-0.906658,-18.277296
Clément Akpa,Auxerre,DF,22.0,0abb5072,CIV,-2.8724082,-11.268193
Adrien Rabiot,Marseille,MF,29.0,8794e251,FRA,-2.6979332,-14.471332
Loïc Nego,Le Havre,"DF,FW",33.0,c3b6fa1e,HUN,-5.3795013,-14.873841
Michael Amir Murillo,Marseille,DF,28.0,349cae8f,PAN,-2.6131842,-13.507359
Hicham Boudaoui,Nice,MF,24.0,f9d5908e,ALG,-3.7375107,-13.846953
Brendan Chardonnet,Brest,DF,29.0,16aa7d4c,FRA,-2.628521,-11.012397
Maghnes Akliouche,Monaco,"FW,MF",22.0,b625b241,FRA,-1.7169967,-16.015444
Vincent Sierro,Toulouse,MF,28.0,92ffb8f9,SUI,-3.3566833,-14.626109
Thilo Kehrer,Monaco,DF,27.0,51dbeea9,GER,-2.1145039,-12.184319
Clinton Mata,Lyon,DF,31.0,55abe554,ANG,-2.3799286,-12.547114
Mamadou Sarr,Strasbourg,DF,18.0,61f80c89,FRA,-1.9764017,-11.711493
Téji Savanier,Montpellier,MF,32.0,6bde367b,FRA,-3.0763814,-15.536016
Lorenz Assignon,Rennes,"DF,MF",24.0,b026bbf6,TOG,-3.659053,-15.332145
Habib Diarra,Strasbourg,"MF,FW",20.0,6d0fe035,SEN,-2.5846639,-15.45108
Pedro Chirivella,Nantes,MF,27.0,68a26d51,ESP,-3.042508,-13.182578
Elisha Owusu,Auxerre,MF,26.0,e2781082,GHA,-4.737968,-13.175253
Yann Gboho,Toulouse,"MF,FW",23.0,6be41a31,FRA,-1.7366779,-16.76059
Corentin Tolisso,Lyon,MF,29.0,652d4c37,FRA,-2.8109832,-14.172273
Abdoulaye Touré,Le Havre,MF,30.0,ef7cd87a,GUI,-4.2359743,-13.742915
Hugo Magnetti,Brest,MF,26.0,d4d35152,FRA,-4.39771,-13.236357
Etienne Youte Kinkoue,Le Havre,DF,22.0,12a4e38c,FRA,-1.9552339,-10.597515
Douglas,Nantes,MF,27.0,301c287b,BRA,-4.160042,-13.332038
Mickael Nade,Saint,DF,25.0,a6b6fa6e,FRA,-2.6715229,-10.65706
Jonathan Clauss,Nice,"DF,MF",31.0,5219ab4a,FRA,-3.1427565,-15.7564
Lassine Sinayoko,Auxerre,"FW,MF",24.0,5e5249c8,MLI,-1.2569373,-17.1354
Ludovic Blas,Rennes,"MF,FW",26.0,6191093d,FRA,-2.3286953,-16.403294
Emanuel Emegha,Strasbourg,FW,21.0,a0c590b9,NED,-0.4169578,-17.532814
Gideon Mensah,Auxerre,DF,26.0,9bdd8118,GHA,-4.8065186,-15.14314
Leonardo Balerdi,Marseille,DF,25.0,7c3ed041,ARG,-1.9385135,-12.623271
Takumi Minamino,Monaco,"MF,FW",29.0,f833a830,JPN,-1.0681045,-16.70693
Andy Diouf,Lens,MF,21.0,9b5237b1,FRA,-2.4590006,-15.424302
Moïse Bombito,Nice,DF,24.0,c2f23fc8,CAN,-1.769726,-11.729043
Cédric Kipré,Reims,DF,27.0,9f30e7ed,CIV,-1.9454533,-11.018455
Bradley Barcola,Paris S,FW,21.0,a0d55a09,FRA,-1.5265899,-16.02877
Kelvin Amian,Nantes,DF,26.0,bcc81786,FRA,-5.9102206,-14.920852
Gabriel Suazo,Toulouse,DF,26.0,39b326ed,CHI,-3.5487914,-15.454058
Denis Zakaria,Monaco,MF,27.0,384d58d9,SUI,-3.8011675,-13.368399
Modibo Sagnan,Montpellier,DF,25.0,76d679c7,MLI,-2.6392133,-10.722824
Willian Pacho,Paris S,DF,22.0,ecbe2839,ECU,-1.9664512,-12.458579
Dennis Appiah,Saint,DF,32.0,feb5d3ab,FRA,-5.5537996,-14.880763
Ki-Jana Hoever,Auxerre,DF,22.0,9a71e978,NED,-4.950305,-15.310422
Jonathan Gradit,Lens,DF,31.0,06c48679,FRA,-2.6881301,-11.848306
Sebastian Nanasi,Strasbourg,"MF,FW",22.0,ce747d2a,SWE,-2.3987153,-16.052458
Djibril Sidibé,Toulouse,DF,32.0,4c5b714f,FRA,-4.4421287,-14.894031
Yassine Kechta,Le Havre,"MF,FW",22.0,abefc3af,MAR,-4.8191557,-13.617051
Wilfried Singo,Monaco,DF,23.0,8b609c34,CIV,-2.4305117,-12.304358
Hamed Junior Traorè,Auxerre,MF,24.0,570bb4b9,CIV,-1.85891,-16.955162
Azor Matusiwa,Rennes,MF,26.0,a17a94d6,NED,-3.9810152,-13.198825
Achraf Hakimi,Paris S,DF,25.0,e42d61c7,MAR,-2.4495807,-13.996936
Vanderson,Monaco,DF,23.0,ee45fd85,BRA,-4.250067,-15.163295
Lamine Camara,Monaco,MF,20.0,19c2ffa4,SEN,-3.1839092,-14.9916315
Alexandre Lacazette,Lyon,FW,33.0,9dbb75ca,FRA,-0.5664616,-17.386272
Nicolas Cozza,Nantes,"DF,MF",25.0,8f325097,FRA,-5.8486276,-14.748278
Warren Zaïre-Emery,Paris S,"MF,DF",18.0,6b9960cf,FRA,-2.3842082,-13.772215
Johann Lepenant,Nantes,MF,21.0,1e52971c,FRA,-4.58516,-13.637921
Carlens Arcus,Angers,DF,28.0,5e837126,HAI,-5.2366166,-14.678458
Vitinha,Paris S,MF,24.0,3b029691,POR,-2.2879598,-13.527572
Rayan Cherki,Lyon,"FW,MF",20.0,b34c63a5,FRA,-2.0272245,-15.784875
Geoffrey Kondogbia,Marseille,"DF,MF",31.0,cce181df,CTA,-2.1595507,-12.771927
Nicolas Pallois,Nantes,DF,36.0,779847d6,FRA,-2.7762322,-10.680838
Dylan Batubinsika,Saint,DF,28.0,37d39918,COD,-2.1354585,-10.667496
Lucas Beraldo,Paris S,DF,20.0,b8aedf06,BRA,-1.9072821,-12.804187
Nemanja Matić,Lyon,MF,35.0,eb7822d7,SRB,-2.8465385,-13.361803
Josué Casimir,Le Havre,"FW,MF",22.0,481f76cf,FRA,-1.7263622,-17.309187
Ainsley Maitland-Niles,Lyon,DF,26.0,e3a5814e,ENG,-4.05826,-15.043292
Aurélio Buta,Reims,DF,27.0,b4705807,POR,-5.3418565,-14.76909
Dante,Nice,DF,40.0,fd2bc67d,BRA,-2.2185073,-12.136287
Jean-Eudes Aholou,Angers,MF,30.0,48b28bfd,CIV,-4.767926,-13.426502
Sinaly Diomande,Auxerre,DF,23.0,6de23ab0,CIV,-2.613443,-10.683938
Melvin Bard,Nice,"DF,MF",23.0,1ddbc7ca,FRA,-4.5167947,-15.211792
